File ClockOutputData2020_7.dat generated using ClockLSA, version 1.0 on 17-Mar-2021 11:59:13 
Operator: Helen Margolis 

Input data:

Number of adjusted frequency ratios = 14 
Starting values: 
s1 	1.02787582346 
s2 	1.09255511496 
s3 	1.00674379464 
s4 	1.05287183314 
s5 	1.54675342648 
s6 	1.07200737363 
s7 	1.23890923183 
s8 	1.13664797435 
s9 	1.02519722218 
s10 	1.03623010444 
s11 	1.00000014488 
s12 	1.04424333452 
s13 	60140.6317128 
s14 	0.743495745495 

Number of measured frequency ratios = 106 
ID 	Type 		Value 			Uncertainty 	Reference
r(q98,q99) 	-2.000000e-03 
r(q13,q14) 	3.000000e-02 
r(q13,q63) 	6.000000e-02 
r(q16,q18) 	4.000000e-03 
r(q16,q63) 	-7.000000e-03 
r(q18,q19) 	9.000000e-03 
r(q19,q63) 	-1.500000e-02 
r(q16,q19) 	6.000000e-03 
r(q81,q91) 	-1.230000e-01 
r(q7,q60) 	4.490000e-01 
r(q7,q61) 	2.210000e-01 
r(q47,q60) 	-3.300000e-02 
r(q47,q69) 	1.800000e-02 
r(q47,q84) 	-1.800000e-02 
r(q47,q85) 	-2.200000e-02 
r(q47,q100) 	-2.600000e-02 
r(q47,q101) 	-2.200000e-02 
r(q49,q86) 	-4.000000e-03 
r(q49,q87) 	-7.000000e-03 
r(q58,q61) 	-6.360000e-01 
r(q58,q69) 	-7.130000e-01 
r(q60,q61) 	4.560000e-01 
r(q60,q69) 	-2.800000e-02 
r(q60,q84) 	2.800000e-02 
r(q60,q85) 	3.500000e-02 
r(q60,q100) 	4.100000e-02 
r(q60,q101) 	3.500000e-02 
r(q61,q69) 	5.970000e-01 
r(q69,q84) 	-1.500000e-02 
r(q69,q85) 	-1.900000e-02 
r(q69,q100) 	-2.200000e-02 
r(q69,q101) 	-1.900000e-02 
r(q71,q84) 	9.200000e-02 
r(q71,q85) 	1.120000e-01 
r(q71,q86) 	8.600000e-02 
r(q71,q87) 	1.510000e-01 
r(q84,q85) 	1.550000e-01 
r(q84,q86) 	1.050000e-01 
r(q84,q87) 	1.830000e-01 
r(q84,q100) 	1.170000e-01 
r(q84,q101) 	1.000000e-01 
r(q85,q86) 	1.280000e-01 
r(q85,q87) 	2.240000e-01 
r(q85,q100) 	2.700000e-02 
r(q85,q101) 	2.300000e-02 
r(q86,q87) 	1.780000e-01 
r(q100,q101) 	2.700000e-02 
r(q31,q57) 	1.650000e-01 
r(q53,q68) 	-6.720000e-01 
r(q56,q106) 	-2.770000e-01 
r(q58,q106) 	-3.920000e-01 
r(q61,q106) 	3.290000e-01 
r(q69,q106) 	3.690000e-01 
r(q95,q106) 	2.210000e-01 
r(q24,q81) 	8.800000e-02 
r(q76,q82) 	1.910000e-01 
r(q76,q83) 	1.750000e-01 
r(q82,q83) 	3.860000e-01 
