08/13/2024	10:22:34	(analyzed:  8/14/2024)
MJD	timer	SDR:fb_Al_TiS	SDR:fb_Yb_TiS	SDR:frep_TiS	fo_TiS	fb_Si_TiS
60535.683604	108739.000000	43718652.545049	142219736.836197	379043.157310	9999999.999980	640000000.001000
60535.683616	109795.000000	43718652.53431	142219736.859764	379043.156934	9999999.999900	640000000.005000
60535.683628	110849.000000	43718652.560499	142219736.853191	379043.157502	9999999.999910	639999999.999000
60535.683640	111902.000000	43718652.583426	142219736.842903	379043.157087	9999999.999990	640000000.001000
60535.683653	112956.000000	43718652.544823	142219736.876924	379043.157104	9999999.999980	640000000.008000
60535.683665	114010.000000	43718652.547193	142219736.829647	379043.157308	9999999.999920	640000000.002000
60535.683677	115064.000000	43718652.527054995	142219736.81902	379043.157181	9999999.999880	639999999.993000
60535.683689	116122.000000	43718652.581226	142219736.878752	379043.157506	10000000.000080	640000000.001000
60535.683701	117180.000000	43718652.54114	142219736.848918	379043.156906	10000000.000050	639999999.996000
60535.683714	118234.000000	43718652.570075	142219736.852018	379043.157171	10000000.000050	640000000.001000
60535.683726	119290.000000	43718652.567889	142219736.85953602	379043.157529	9999999.999910	640000000.002000
60535.683738	120345.000000	43718652.586454	142219736.843218	379043.157174	9999999.999970	640000000.000000
60535.683750	121398.000000	43718652.573858	142219736.836941	379043.157166	9999999.999960	640000000.004000
60535.683762	122452.000000	43718652.571917	142219736.864685	379043.157117	9999999.999880	640000000.001000
60535.683775	123507.000000	43718652.606438994	142219736.86443302	379043.157501	9999999.999910	640000000.001000
60535.683787	124560.000000	43718652.567269	142219736.860009	379043.157256	10000000.000110	640000000.003000
60535.683799	125615.000000	43718652.589691	142219736.836751	379043.157157	9999999.999980	640000000.005000
60535.683811	126670.000000	43718652.612089	142219736.879726	379043.157211	9999999.999990	639999999.997000
60535.683823	127724.000000	43718652.561428994	142219736.833283	379043.157288	9999999.999920	640000000.003000
60535.683836	128778.000000	43718652.603327	142219736.88384202	379043.156990	10000000.000040	639999999.998000
60535.683848	129831.000000	43718652.568078995	142219736.831528	379043.157396	9999999.999960	639999999.998000
60535.683860	130883.000000	43718652.594666995	142219736.857069	379043.157362	10000000.000030	640000000.001000
60535.683872	131935.000000	43718652.580579996	142219736.848001	379043.157039	10000000.000010	639999999.999000
60535.683884	132989.000000	43718652.593346	142219736.858316	379043.156837	9999999.999970	640000000.001000
60535.683897	134043.000000	43718652.534416996	142219736.86067	379043.157340	10000000.000010	639999999.999000
60535.683909	135099.000000	43718652.543987	142219736.842971	379043.156919	9999999.999950	640000000.004000
60535.683921	136153.000000	43718652.520353	142219736.850692	379043.157094	9999999.999970	639999999.999000
60535.683933	137208.000000	43718652.531441994	142219736.841253	379043.157244	9999999.999950	639999999.999000
60535.683945	138262.000000	43718652.552347995	142219736.872055	379043.157261	10000000.000000	640000000.002000
60535.683958	139315.000000	43718652.538135	142219736.853038	379043.157133	9999999.999980	640000000.000000
60535.683970	140368.000000	43718652.544978	142219736.829808	379043.157253	9999999.999970	639999999.998000
60535.683982	141421.000000	43718652.527686	142219736.867578	379043.157215	10000000.000080	640000000.002000
60535.683994	142477.000000	43718652.531583995	142219736.84499	379043.157392	9999999.999900	640000000.001000
60535.684006	143532.000000	43718652.561400995	142219736.87532	379043.157015	10000000.000130	640000000.002000
60535.684019	144586.000000	43718652.527197994	142219736.83631602	379043.157313	10000000.000020	640000000.003000
