08/13/2024	15:54:55	(analyzed:  8/14/2024)
MJD	timer	SDR:frep_ErYb	fo_ErYb	fb_Si_ErYb	fb_Al_ErYb	fb_Yb_ErYb
60535.913440	25374.000000	113927.229684	105000000.001200	99999999.998300	22737007.998910	28855440.099830
60535.913452	26428.000000	113927.229099	104999999.999600	99999999.999400	22737007.998830	28855440.099760
60535.913465	27482.000000	113927.229194	104999999.999700	100000000.000100	22737007.998590	28855440.100180
60535.913477	28535.000000	113927.229591	104999999.999900	100000000.000400	22737007.999000	28855440.100040
60535.913489	29589.000000	113927.229172	105000000.001500	100000000.000400	22737007.999630	28855440.100030
60535.913501	30643.000000	113927.229453	105000000.001000	99999999.998200	22737008.000590	28855440.099770
60535.913513	31696.000000	113927.229216	104999999.999300	99999999.999900	22737008.001120	28855440.100620
60535.913526	32751.000000	113927.229541	105000000.000100	100000000.000900	22737008.001500	28855440.099690
60535.913538	33804.000000	113927.229243	105000000.001400	99999999.999200	22737008.001240	28855440.099210
60535.913550	34858.000000	113927.229446	105000000.000500	100000000.001100	22737008.000940	28855440.099600
60535.913562	35914.000000	113927.229363	104999999.999500	99999999.998700	22737007.999580	28855440.099410
60535.913574	36969.000000	113927.229308	105000000.001200	100000000.000700	22737007.998620	28855440.099860
60535.913587	38022.000000	113927.229344	105000000.000800	100000000.000900	22737007.998750	28855440.099460
60535.913599	39077.000000	113927.229488	104999999.999900	99999999.999900	22737007.998870	28855440.100660
60535.913611	40131.000000	113927.229631	104999999.999800	100000000.000300	22737007.999260	28855440.100850
60535.913623	41185.000000	113927.228907	105000000.001600	99999999.998100	22737007.999800	28855440.100470
60535.913635	42237.000000	113927.229122	105000000.000800	99999999.999600	22737008.000520	28855440.099590
60535.913648	43291.000000	113927.229497	105000000.000900	100000000.000300	22737008.001470	28855440.099720
60535.913660	44345.000000	113927.229537	105000000.000500	99999999.998800	22737008.001330	28855440.099380
60535.913672	45397.000000	113927.228973	104999999.999600	100000000.000700	22737008.001170	28855440.099870
60535.913684	46452.000000	113927.229396	105000000.001400	99999999.999200	22737008.000380	28855440.100640
60535.913696	47507.000000	113927.229313	104999999.999600	100000000.000200	22737007.999260	28855440.100290
60535.913709	48561.000000	113927.229459	105000000.001000	100000000.000500	22737007.998430	28855440.099810
60535.913721	49615.000000	113927.229523	104999999.999900	99999999.999200	22737007.998880	28855440.100170
60535.913733	50669.000000	113927.229342	105000000.001600	100000000.000300	22737007.998710	28855440.100470
60535.913745	51722.000000	113927.229310	105000000.000700	99999999.999000	22737007.999150	28855440.100030
60535.913757	52776.000000	113927.229342	105000000.000200	100000000.000900	22737008.000250	28855440.099700
60535.913770	53831.000000	113927.229131	105000000.000300	100000000.000900	22737008.000710	28855440.099580
60535.913782	54883.000000	113927.229559	105000000.001000	99999999.998700	22737008.001290	28855440.099230
60535.913794	55939.000000	113927.229165	105000000.000700	99999999.999900	22737008.001400	28855440.099750
60535.913806	56993.000000	113927.229382	104999999.999500	99999999.999400	22737008.001300	28855440.099510
60535.913818	58046.000000	113927.229258	105000000.000700	99999999.999200	22737008.000240	28855440.099940
60535.913831	59101.000000	113927.229480	104999999.999900	100000000.000600	22737007.999140	28855440.100200
60535.913843	60157.000000	113927.229312	104999999.999900	99999999.999100	22737007.998770	28855440.100430
60535.913855	61209.000000	113927.229207	105000000.001400	100000000.000900	22737007.998650	28855440.100410
60535.913867	62264.000000	113927.229266	105000000.001100	100000000.000300	22737007.998830	28855440.100150
60535.913879	63318.000000	113927.229726	105000000.000700	99999999.998700	22737007.999350	28855440.100200
60535.913891	64371.000000	113927.229260	104999999.999600	100000000.000500	22737008.000460	28855440.099820
60535.913904	65424.000000	113927.228957	104999999.999700	99999999.998300	22737008.001090	28855440.099440
60535.913916	66478.000000	113927.229346	104999999.999900	99999999.998800	22737008.001350	28855440.100000
60535.913928	67531.000000	113927.229523	105000000.000300	100000000.000600	22737008.001060	28855440.100010
60535.913940	68584.000000	113927.229448	105000000.000400	100000000.001400	22737008.001060	28855440.099640
60535.913952	69640.000000	113927.228925	105000000.000100	100000000.001300	22737007.999830	28855440.100370
60535.913965	70693.000000	113927.229500	105000000.001900	99999999.997600	22737007.998820	28855440.099390
60535.913977	71746.000000	113927.229297	105000000.000400	100000000.000200	22737007.998590	28855440.100100
60535.913989	72802.000000	113927.229400	105000000.000700	100000000.000900	22737007.998740	28855440.100730
60535.914001	73855.000000	113927.229657	104999999.999200	99999999.999600	22737007.999110	28855440.099660
60535.914013	74910.000000	113927.229408	105000000.001500	100000000.000500	22737007.999830	28855440.100360
60535.914026	75964.000000	113927.228863	104999999.999800	99999999.998400	22737008.000560	28855440.099730
60535.914038	77018.000000	113927.229263	104999999.999500	99999999.999000	22737008.001350	28855440.100210
60535.914050	78073.000000	113927.229366	105000000.000300	100000000.001000	22737008.001280	28855440.099810
60535.914062	79129.000000	113927.229246	105000000.000500	99999999.999000	22737008.001260	28855440.099750
60535.914075	80184.000000	113927.229413	105000000.001300	99999999.999600	22737008.000800	28855440.099840
60535.914087	81237.000000	113927.229468	104999999.999600	99999999.999300	22737007.999650	28855440.099910
60535.914099	82292.000000	113927.229609	105000000.000000	100000000.001300	22737007.998630	28855440.100120
60535.914111	83346.000000	113927.229159	105000000.001100	100000000.000500	22737007.998720	28855440.099680
60535.914123	84401.000000	113927.229426	104999999.999800	99999999.998700	22737007.998530	28855440.099950
