01/24/2025	11:15:08	(analyzed:  1/24/2025)
MJD	timer	SDR:fb_Al_TiS	SDR:fb_Yb_TiS	SDR:frep_TiS	fo_TiS	fb_Si_TiS
60699.762145	140700.000000	NaN	nan	NaN	NaN	NaN
60699.762157	141755.000000	NaN	nan	NaN	NaN	NaN
60699.762169	142813.000000	NaN	nan	NaN	NaN	NaN
60699.762182	143870.000000	NaN	nan	NaN	NaN	NaN
60699.762194	144926.000000	NaN	nan	NaN	NaN	NaN
60699.762206	145986.000000	NaN	nan	NaN	NaN	NaN
60699.762218	147042.000000	NaN	nan	NaN	NaN	NaN
60699.762231	148098.000000	NaN	nan	NaN	NaN	NaN
60699.762243	149154.000000	NaN	nan	NaN	NaN	NaN
60699.762255	150210.000000	NaN	nan	NaN	NaN	NaN
60699.762267	151267.000000	NaN	nan	NaN	NaN	NaN
60699.762279	152323.000000	NaN	nan	NaN	NaN	NaN
60699.762292	153380.000000	NaN	nan	NaN	NaN	NaN
60699.762304	154436.000000	NaN	nan	NaN	NaN	NaN
60699.762316	155493.000000	NaN	nan	NaN	NaN	NaN
60699.762328	156550.000000	NaN	nan	NaN	NaN	NaN
60699.762341	157606.000000	NaN	nan	NaN	NaN	NaN
60699.762353	158661.000000	NaN	nan	NaN	NaN	NaN
60699.762365	159719.000000	NaN	nan	NaN	NaN	NaN
60699.762377	160776.000000	NaN	nan	NaN	NaN	NaN
60699.762390	161833.000000	NaN	nan	NaN	NaN	NaN
60699.762402	162890.000000	NaN	nan	NaN	NaN	NaN
60699.762414	163946.000000	NaN	nan	NaN	NaN	NaN
60699.762426	165004.000000	NaN	nan	NaN	NaN	NaN
60699.762439	166060.000000	NaN	nan	NaN	NaN	NaN
60699.762451	167114.000000	NaN	nan	NaN	NaN	NaN
60699.762463	168173.000000	NaN	nan	NaN	NaN	NaN
60699.762475	169228.000000	NaN	nan	NaN	NaN	NaN
60699.762487	170286.000000	NaN	nan	NaN	NaN	NaN
60699.762500	171343.000000	NaN	nan	NaN	NaN	NaN
60699.762512	172399.000000	NaN	nan	NaN	NaN	NaN
60699.762524	173456.000000	NaN	nan	NaN	NaN	NaN
60699.762536	174512.000000	NaN	nan	NaN	NaN	NaN
60699.762549	175568.000000	NaN	nan	NaN	NaN	NaN
60699.762561	176625.000000	NaN	nan	NaN	NaN	NaN
60699.762573	177682.000000	NaN	nan	NaN	NaN	NaN
60699.762585	178739.000000	NaN	nan	NaN	NaN	NaN
60699.762597	179796.000000	NaN	nan	NaN	NaN	NaN
60699.762610	180852.000000	NaN	nan	NaN	NaN	NaN
60699.762622	181909.000000	NaN	nan	NaN	NaN	NaN
60699.762634	182965.000000	NaN	nan	NaN	NaN	NaN
60699.762646	184021.000000	NaN	nan	NaN	NaN	NaN
60699.762659	185078.000000	NaN	nan	NaN	NaN	NaN
60699.762671	186134.000000	NaN	nan	NaN	NaN	NaN
60699.762683	187191.000000	NaN	nan	NaN	NaN	NaN
60699.762695	188248.000000	NaN	nan	NaN	NaN	NaN
60699.762708	189305.000000	NaN	nan	NaN	NaN	NaN
60699.762720	190362.000000	NaN	nan	NaN	NaN	NaN
60699.762732	191417.000000	NaN	nan	NaN	NaN	NaN
60699.762744	192471.000000	NaN	nan	NaN	NaN	NaN
60699.762756	193528.000000	NaN	nan	NaN	NaN	NaN
60699.762769	194584.000000	NaN	nan	NaN	NaN	NaN
60699.762781	195642.000000	NaN	nan	NaN	NaN	NaN
60699.762793	196698.000000	NaN	nan	NaN	NaN	NaN
60699.762805	197753.000000	NaN	nan	NaN	NaN	NaN
60699.762818	198811.000000	NaN	nan	NaN	NaN	NaN
60699.762830	199866.000000	NaN	nan	NaN	NaN	NaN
60699.762842	200923.000000	NaN	nan	NaN	NaN	NaN
60699.762854	201980.000000	NaN	nan	NaN	NaN	NaN
60699.762866	203034.000000	NaN	nan	NaN	NaN	NaN
60699.762879	204092.000000	NaN	nan	NaN	NaN	NaN
60699.762891	205149.000000	NaN	nan	NaN	NaN	NaN
60699.762903	206206.000000	NaN	nan	NaN	NaN	NaN
60699.762915	207263.000000	NaN	nan	NaN	NaN	NaN
60699.762928	208319.000000	NaN	nan	NaN	NaN	NaN
60699.762940	209377.000000	NaN	nan	NaN	NaN	NaN
60699.762952	210434.000000	NaN	nan	NaN	NaN	NaN
60699.762964	211491.000000	NaN	nan	NaN	NaN	NaN
60699.762977	212549.000000	NaN	nan	NaN	NaN	NaN
60699.762989	213604.000000	NaN	nan	NaN	NaN	NaN
60699.763001	214659.000000	NaN	nan	NaN	NaN	NaN
60699.763013	215717.000000	NaN	nan	NaN	NaN	NaN
60699.763025	216773.000000	NaN	nan	NaN	NaN	NaN
60699.763038	217830.000000	NaN	nan	NaN	NaN	NaN
60699.763050	218887.000000	NaN	nan	NaN	NaN	NaN
60699.763062	219941.000000	NaN	nan	NaN	NaN	NaN
60699.763074	220999.000000	NaN	nan	NaN	NaN	NaN
60699.763087	222055.000000	NaN	nan	NaN	NaN	NaN
60699.763099	223111.000000	NaN	nan	NaN	NaN	NaN
60699.763111	224168.000000	NaN	nan	NaN	NaN	NaN
60699.763123	225224.000000	NaN	nan	NaN	NaN	NaN
60699.763136	226282.000000	NaN	nan	NaN	NaN	NaN
60699.763148	227339.000000	NaN	nan	NaN	NaN	NaN
60699.763160	228393.000000	NaN	nan	NaN	NaN	NaN
60699.763172	229451.000000	NaN	nan	NaN	NaN	NaN
60699.763184	230508.000000	NaN	nan	NaN	NaN	NaN
60699.763197	231565.000000	NaN	nan	NaN	NaN	NaN
60699.763209	232622.000000	NaN	nan	NaN	NaN	NaN
60699.763221	233678.000000	NaN	nan	NaN	NaN	NaN
60699.763233	234735.000000	NaN	nan	NaN	NaN	NaN
60699.763246	235792.000000	NaN	nan	NaN	NaN	NaN
60699.763258	236847.000000	NaN	nan	NaN	NaN	NaN
60699.763270	237906.000000	NaN	nan	NaN	NaN	NaN
60699.763282	238963.000000	NaN	nan	NaN	NaN	NaN
60699.763295	240022.000000	NaN	nan	NaN	NaN	NaN
60699.763307	241078.000000	NaN	nan	NaN	NaN	NaN
60699.763319	242135.000000	NaN	nan	NaN	NaN	NaN
60699.763331	243191.000000	NaN	nan	NaN	NaN	NaN
60699.763343	244247.000000	NaN	nan	NaN	NaN	NaN
60699.763356	245303.000000	NaN	nan	NaN	NaN	NaN
60699.763368	246359.000000	NaN	nan	NaN	NaN	NaN
60699.763380	247416.000000	NaN	nan	NaN	NaN	NaN
60699.763392	248473.000000	NaN	nan	NaN	NaN	NaN
60699.763405	249530.000000	NaN	nan	NaN	NaN	NaN
60699.763417	250586.000000	NaN	nan	NaN	NaN	NaN
60699.763429	251643.000000	NaN	nan	NaN	NaN	NaN
60699.763441	252699.000000	NaN	nan	NaN	NaN	NaN
60699.763453	253755.000000	NaN	nan	NaN	NaN	NaN
