"","x"
"242",-0.158921015152774
"243",2.04570093989812
"244",3.58701709952813
"245",-4.85957618586994
"246",0.551320457015543
"247",2.05061672586153
"248",-0.975532778724992
"249",-1.05448057756615
"250",-0.92016057234757
"251",1.35004784352933
"252",-4.85490582544002
"253",-2.10411618580168
"254",-1.66449406075829
"255",-2.15924784378454
"256",2.65934861907342
"257",-3.81442241173173
"258",4.27762184709214
"259",2.62180509467654
"260",-1.02122267500035
"261",-1.33058158251885
"262",-5.47610379404152
"263",2.07781959893329
"264",1.56350331148242
"265",-4.09045781170868
"266",-4.68876878593474
"267",-4.67524114010308
"268",2.44478008747556
"269",1.33280651539534
"270",-0.656048561471189
"271",-1.66738999215891
"272",-1.0330585063915
"273",-2.1531164053458
"274",0.117098727179002
"275",-5.05708103032715
"276",-5.13138270228743
"277",1.05519148081062
"278",-4.36111183472708
"279",-3.26748478254875
"280",-3.06918151812972
"281",0.579026428718672
"282",-0.784884320774126
"283",1.64699842265213
"284",0.329889244365406
"285",1.41342756216703
"286",-0.241347231297284
"287",0.666147198873883
"288",1.94645013702217
"289",0.875025129428977
"290",0.578239224877468
"291",-0.637906373534054
"292",-2.31138861453566
"293",0.0285052936191652
"294",-3.30991652847279
"295",-5.04995361497711
"296",-4.29729152122979
"297",-3.95233672957878
"298",2.68443279588467
"299",0.951608086621428
"300",-1.67526096406202
"301",0.720834284255689
"302",-0.490801117848343
"303",-0.818106544563111
"304",0.085658130255269
"305",1.8644986126001
"306",3.92656635657786
"307",-0.347296332116587
"308",2.7345877678093
"309",1.61852645377262
"310",0.772941989588809
"311",0.839313124506263
"312",-2.41282379348179
"313",-0.0567659835232931
"314",-0.822208609145363
"315",-0.244172162212949
"316",2.10500649772646
"317",0.500786670430544
"318",1.74091272339555
"319",1.31739894879167
"320",2.13083962852926
"321",1.78068020707243
"322",-0.704489479102748
"323",4.17454765578749
"324",-0.0619947537293171
"325",1.00821414522616
"326",2.50641307956202
"327",0.525247664933145
"328",-4.94229388739624
"329",1.80341014868585
"330",0.150415869730453
"331",0.969133265626272
"332",2.55200675910096
"333",0.372903035738094
"334",1.96821664072882
"335",-1.09969227685205
"336",-7.19102768974747
"337",0.108496723560097
"338",3.45526291318964
"339",-1.3869737490873
"340",-0.576143670055904
"341",2.69119056737262
"342",1.63305944344943
"343",-1.0705921301105
"344",0.642775575084207
"345",-4.44825776440076
"346",-5.0029747897056
"347",1.40480489073759
"348",0.981776869662477
"349",0.491446017274129
"350",0.653949101389261
"351",-0.99400002465496
"352",1.6223135295367
"353",1.52338568496205
"354",-1.99231698909312
"355",-5.84376032052032
"356",-4.05051995399118
"357",1.28409291016117
"358",1.77085580994084
"359",1.99542840302383
"360",-1.34362815192766
"361",3.09629961628237
"362",-3.02618530123369
"363",4.10864896009331
"364",-0.0109268004592282
"365",1.35012496325537
"366",-0.934093097567295
"367",-0.876270466948017
"368",3.49710702697829
"369",-5.56878926212896
"370",-0.359924936385392
"371",-2.96595372377134
"372",0.100990043728959
"373",-4.50376509661328
"374",1.32004442233016
"375",0.855957364340813
"376",2.11810319772786
"377",-1.28478668445139
"378",0.522517919334921
"379",-6.21381843664314
"380",-1.21151637244986
"381",3.88178457460918
"382",2.59758690871844
"383",-4.41685810805242
"384",-0.377162518847141
"385",3.63457995943249
"386",0.184418526179186
"387",-3.75436297015653
"388",0.0530729696756418
"389",-4.25272909992792
"390",-1.08951392952271
"391",-1.98078977581705
"392",1.55176278437039
"393",2.70639526778226
"394",-0.472281165406676
"395",-0.330443288908675
"396",2.28890299368594
"397",1.98468432037192
"398",-0.207904507806844
"399",4.74385186373825
"400",-1.71701218009901
"401",-6.02587659005387
"402",1.45254645407606
"403",-0.500503657412939
"404",1.16076967477992
"405",0.11242954038261
"406",1.3149978735602
"407",0.692838371136511
"408",-4.04707482278503
"409",-0.602699028700167
"410",-4.43861347940562
"411",-2.56281330448378
"412",-2.54470724766697
"413",4.09793189580778
"414",1.62928752717269
"415",0.111192928855924
"416",-1.08059590204191
"417",0.802642375859314
"418",-1.09399413417374
"419",-1.31993238858362
"420",1.38969551131243
"421",-0.613378260244999
"422",-2.794637161358
"423",3.35681043724133
"424",0.724361660048546
"425",3.26214034803786
"426",4.09871541707029
"427",1.38088998698964
"428",-3.33270824238909
"429",2.49559484803643
"430",-1.73053680083199
"431",-0.86705283658977
"432",-3.00194003010985
"433",-3.52599387319735
"434",1.8612858717525
"435",-1.11136951427925
"436",0.635034369701793
"437",-3.41313993595846
"438",-3.1855751267898
"439",4.4084897720556
"440",-1.65141253517359
"441",-0.542825881634295
"442",4.01967529894001
"443",0.510002738924266
"444",2.25429208761707
"445",2.60078373976193
"446",2.27420972430315
"447",-0.253134841241567
"448",1.54185776200261
"449",1.7674582553346
"450",1.86810839991899
"451",-3.66545198135515
"452",3.10177055972866
"453",4.58134071523213
"454",-2.68073243025903
"455",-1.79181573555571
"456",-5.00481010711275
"457",-1.1333809953955
"458",-0.163811926060289
"459",1.0082802559995
"460",3.03851675962446
"461",0.142153827207698
"462",1.5337033203787
"463",0.799707875818121
"464",1.98242034739692
"465",-1.74949583958248
"466",3.08079650783402
"467",2.02240959297213
"468",-0.22835863007276
"469",2.81914583427773
"470",4.36468326399623
"471",2.71001861000657
"472",3.72030151096158
"473",-0.543198868698705
"474",3.87681073470428
"475",-2.15958645991256
"476",2.38156207480127
"477",-0.0351910440743308
"478",-3.40786590681299
"479",-2.21388302792042
"480",2.79745596334743
"481",-2.98467951533618
"482",2.93088805070418
"483",-5.89860327491083
"484",0.476907513326492
"485",-1.66513061373446
"486",-0.372152025696459
"487",2.01787846247965
"488",-0.822310035782224
"489",2.06269689048044
"490",-0.204999363071026
"491",-0.334321553954752
"492",-4.3675282452787
"493",-1.81517833302929
"494",-1.41243089390534
"495",-6.40116716139527
"496",-4.90671262887316
"497",-3.92934162976366
"498",2.56172616505157
"499",-3.49488980819201
"500",0.415004129162173
"501",-2.71663147887183
"502",-0.74869825725787
"503",-3.27662984014442
"504",-3.74952028971725
"505",0.825378178861327
"506",1.10550862317832
"507",-0.0500654479558725
"508",-2.17774810179085
"509",1.44253023249354
"510",-1.19030921069127
"511",2.14223581907853
"512",-4.84475771696672
"513",3.21191531075761
"514",-2.44354019856487
"515",-0.655536609274585
"516",0.800614453276445
"517",0.0624300871430347
"518",-4.89604764762522
"519",2.05106076834194
"520",4.01035257621646
"521",1.17122447655301
"522",1.17241643201027
"523",-0.515586481484981
"524",1.94674105212766
"525",1.93613568016947
"526",-5.92811456532471
"527",1.87967549934188
"528",1.14405736708423
"529",2.31038106721436
"530",1.5051947178206
"531",2.50113162199688
"532",-1.68804183346581
"533",0.413965934893903
"534",-2.80127068614535
"535",0.191927620621933
"536",-1.74590531123065
"537",1.13588053422722
"538",-1.70186367140738
"539",-0.432748285749035
"540",1.09618799937121
"541",0.775384826854277
"542",-4.65947074359447
"543",-0.40010106698058
"544",-1.75036675757441
"545",-0.0461724615391503
"546",-1.79253203044793
"547",4.45411101565542
"548",-0.53261234667583
