02/06/2025	10:41:47	(analyzed:  2/6/2025)
MJD	timer	SDR:frep_ErYb	fo_ErYb	fb_Si_ErYb	fb_Yb_ErYb	fb_Al_ErYb
60712.737867	44449.000000	113927.228276	105000000.001700	99999999.999800	28855036.000340	22737007.999960
60712.737880	45505.000000	113927.228507	105000000.000400	99999999.999100	28855036.000130	22737007.999760
60712.737892	46561.000000	113927.228532	105000000.000700	100000000.000900	28855035.999860	22737008.000040
60712.737904	47618.000000	113927.228457	105000000.000600	99999999.999900	28855036.000060	22737008.000150
60712.737916	48676.000000	113927.228201	105000000.000300	99999999.999600	28855035.999920	22737007.999990
60712.737928	49732.000000	113927.228596	105000000.000600	100000000.000800	28855036.000480	22737007.999800
60712.737941	50788.000000	113927.228307	104999999.999400	99999999.998700	28855036.000290	22737007.999830
60712.737953	51844.000000	113927.228229	105000000.000900	100000000.000700	28855035.999930	22737007.999920
60712.737965	52902.000000	113927.228612	105000000.001400	99999999.999500	28855035.999940	22737008.000150
60712.737977	53959.000000	113927.228235	104999999.999300	99999999.999900	28855036.000060	22737008.000040
60712.737990	55016.000000	113927.228508	105000000.000000	100000000.000900	28855035.999810	22737007.999970
60712.738002	56072.000000	113927.228443	105000000.001300	99999999.998600	28855035.999820	22737007.999870
60712.738014	57130.000000	113927.228386	104999999.999200	100000000.000100	28855035.999840	22737007.999990
60712.738026	58186.000000	113927.228312	105000000.000000	100000000.000100	28855036.000100	22737008.000110
60712.738039	59244.000000	113927.228372	105000000.000300	99999999.999700	28855036.000310	22737008.000210
60712.738051	60300.000000	113927.228344	105000000.001000	99999999.999800	28855036.000150	22737007.999970
60712.738063	61359.000000	113927.228447	104999999.999500	99999999.998000	28855035.999750	22737007.999920
60712.738075	62416.000000	113927.228485	105000000.000000	100000000.000700	28855035.999950	22737007.999990
60712.738088	63471.000000	113927.228393	105000000.001200	99999999.999700	28855036.000060	22737007.999970
60712.738100	64528.000000	113927.228422	105000000.000900	99999999.999800	28855036.000120	22737007.999970
60712.738112	65587.000000	113927.228518	104999999.999400	100000000.001200	28855035.999990	22737008.000040
60712.738124	66644.000000	113927.228178	105000000.001300	99999999.999600	28855036.000200	22737008.000040
60712.738136	67702.000000	113927.228337	105000000.000800	99999999.999700	28855035.999950	22737007.999900
60712.738149	68760.000000	113927.228787	104999999.998700	100000000.000500	28855036.000340	22737008.000140
60712.738161	69817.000000	113927.228209	105000000.001400	100000000.000300	28855035.999670	22737008.000040
60712.738173	70874.000000	113927.228430	105000000.001000	100000000.001000	28855036.000020	22737007.999890
60712.738185	71931.000000	113927.228400	105000000.000900	99999999.998500	28855035.999830	22737007.999910
60712.738198	72989.000000	113927.228292	104999999.999300	100000000.000000	28855035.999710	22737007.999920
60712.738210	74045.000000	113927.228390	104999999.999600	99999999.999900	28855035.999860	22737007.999950
60712.738222	75101.000000	113927.228508	105000000.000000	99999999.999700	28855035.999840	22737008.000050
60712.738234	76157.000000	113927.228118	105000000.000400	100000000.000900	28855035.999910	22737007.999880
60712.738247	77213.000000	113927.228436	105000000.000600	99999999.998800	28855036.000230	22737008.000070
60712.738259	78271.000000	113927.228544	105000000.001700	100000000.000500	28855036.000240	22737008.000130
60712.738271	79328.000000	113927.228440	104999999.999400	99999999.999900	28855036.000530	22737007.999890
60712.738283	80385.000000	113927.228142	105000000.001100	99999999.999500	28855036.000180	22737007.999990
60712.738295	81441.000000	113927.228406	105000000.000700	100000000.000700	28855036.000110	22737007.999930
60712.738308	82497.000000	113927.228780	104999999.999700	99999999.998100	28855036.000300	22737008.000050
60712.738320	83554.000000	113927.228227	105000000.001200	99999999.999800	28855036.000080	22737007.999950
60712.738332	84611.000000	113927.228115	104999999.999100	100000000.000300	28855035.999910	22737008.000010
60712.738344	85665.000000	113927.228610	105000000.001200	99999999.999500	28855035.999880	22737008.000070
60712.738357	86722.000000	113927.228194	105000000.001300	100000000.000600	28855035.999990	22737008.000030
60712.738369	87779.000000	113927.228710	105000000.001200	99999999.998300	28855036.000090	22737008.000000
60712.738381	88836.000000	113927.228398	105000000.000200	100000000.000200	28855035.999880	22737007.999890
60712.738393	89893.000000	113927.228110	104999999.998800	100000000.000000	28855036.000070	22737008.000070
60712.738406	90949.000000	113927.228370	105000000.001200	99999999.999700	28855036.000050	22737008.000010
60712.738418	92005.000000	113927.228706	105000000.000700	100000000.000500	28855036.000080	22737008.000130
60712.738430	93062.000000	113927.228241	104999999.999300	99999999.998500	28855035.999950	22737007.999850
60712.738442	94119.000000	113927.228258	105000000.001200	100000000.000400	28855036.000050	22737007.999990
60712.738454	95176.000000	113927.228742	105000000.000100	100000000.000700	28855035.999950	22737008.000110
60712.738467	96232.000000	113927.228336	105000000.000200	99999999.999600	28855035.999990	22737007.999950
60712.738479	97290.000000	113927.228117	105000000.000400	100000000.000800	28855035.999880	22737008.000120
60712.738491	98346.000000	113927.228351	105000000.001200	99999999.998500	28855035.999780	22737007.999960
60712.738503	99402.000000	113927.228689	105000000.000900	100000000.000500	28855035.999610	22737008.000130
60712.738516	100459.000000	113927.228667	105000000.000600	100000000.000400	28855036.000040	22737008.000020
60712.738528	101515.000000	113927.228050	105000000.000500	100000000.000000	28855035.999520	22737008.000170
60712.738540	102573.000000	113927.228330	105000000.000100	100000000.000600	28855036.000080	22737008.000060
60712.738552	103629.000000	113927.228610	105000000.000900	99999999.998700	28855036.000390	22737008.000090
60712.738565	104685.000000	113927.228497	105000000.000000	100000000.000500	28855036.000390	22737008.000130
60712.738577	105743.000000	113927.228242	104999999.999100	100000000.000500	28855036.000000	22737008.000110
60712.738589	106800.000000	113927.228358	105000000.000200	99999999.999400	28855035.999590	22737008.000060
60712.738601	107856.000000	113927.228339	105000000.001500	100000000.001200	28855036.000330	22737007.999920
60712.738613	108912.000000	113927.228470	104999999.999700	99999999.998100	28855036.000100	22737008.000220
60712.738626	109968.000000	113927.228412	104999999.999400	99999999.999900	28855035.999390	22737008.000110
60712.738638	111026.000000	113927.228522	104999999.999900	100000000.000400	28855036.000340	22737007.999910
60712.738650	112084.000000	113927.228531	105000000.000800	100000000.000100	28855036.000110	22737008.000090
60712.738662	113139.000000	113927.228046	105000000.000100	100000000.000400	28855035.999910	22737008.000040
60712.738675	114195.000000	113927.228474	105000000.000200	99999999.998100	28855036.000010	22737007.999910
