03/13/2025	10:18:34	(analyzed:  3/14/2025, filtered by KK: 3/18/2025)
MJD	timer	SDR:frep_ErYb	fo_ErYb	fb_Si_ErYb	fb_Yb_ErYb	fb_Al_ErYb
60747.729418	4306704.000000	113927.228352	105000000.001500	100000000.000400	28854969.000080	22737008.000050
60747.729430	4307760.000000	113927.227953	104999999.999400	100000000.000200	28854968.999620	22737008.000080
60747.729442	4308817.000000	113927.228225	104999999.999900	100000000.000000	28854968.999790	22737007.999840
60747.729454	4309875.000000	113927.228113	105000000.001100	100000000.000900	28854969.000300	22737008.000030
60747.729467	4310933.000000	113927.228611	104999999.999100	99999999.998300	28854968.999920	22737007.999980
60747.729479	4311991.000000	113927.228164	105000000.001400	100000000.000100	28854968.999760	22737007.999970
60747.729491	4313049.000000	113927.228196	105000000.001600	100000000.000100	28854968.999720	22737007.999800
60747.729503	4314104.000000	113927.228298	105000000.000600	99999999.999900	28854969.000180	22737008.000170
60747.729516	4315162.000000	113927.228177	105000000.000400	100000000.000500	28854969.000210	22737007.999890
60747.729528	4316218.000000	113927.228013	104999999.999300	99999999.998500	28854968.999800	22737007.999890
60747.729540	4317275.000000	113927.228302	105000000.002100	100000000.000300	28854968.999760	22737008.000140
60747.729552	4318333.000000	113927.228360	105000000.000300	99999999.999900	28854969.000110	22737007.999990
60747.729565	4319390.000000	113927.228098	104999999.999400	99999999.999800	28854969.000090	22737008.000060
60747.729577	4320446.000000	113927.228130	105000000.000000	100000000.000900	28854968.999930	22737008.000030
60747.729589	4321503.000000	113927.228092	105000000.001500	99999999.998600	28854969.000160	22737008.000000
60747.729601	4322558.000000	113927.228305	105000000.000300	100000000.000700	28854969.000100	22737007.999940
60747.729613	4323614.000000	113927.228235	105000000.001000	99999999.999800	28854968.999980	22737007.999860
60747.729626	4324671.000000	113927.228189	105000000.000600	100000000.000100	28854969.000330	22737008.000250
60747.729638	4325727.000000	113927.228451	104999999.999000	100000000.001000	28854968.999780	22737007.999960
60747.729650	4326785.000000	113927.228230	104999999.999900	99999999.999100	28854969.000020	22737007.999940
60747.729662	4327841.000000	113927.228054	105000000.001200	100000000.000400	28854969.000230	22737007.999920
