MJD,shift
60507.69769724356,-165702996.695539414882659912109375
60507.697789960264,-165702996.710016667842864990234375
60507.69788264059,-165702996.63542020320892333984375
60507.697975389136,-165702996.591134965419769287109375
60507.698068019396,-165702996.63911092281341552734375
60507.698160692795,-165702996.638654768466949462890625
60507.69825340607,-165702996.640277922153472900390625
60507.698346131496,-165702996.696357190608978271484375
60507.69843881761,-165702996.677684307098388671875
60507.6985314478,-165702996.66342258453369140625
60507.69862419311,-165702996.63724219799041748046875
60507.69871682491,-165702996.617545664310455322265625
60507.69880958245,-165702996.675379455089569091796875
60507.698902224016,-165702996.673515975475311279296875
60507.69899491459,-165702996.5675890445709228515625
60507.69908758906,-165702996.573592841625213623046875
60507.69918031535,-165702996.600723743438720703125
60507.69927303823,-165702996.6444027423858642578125
60507.699365667155,-165702996.586479365825653076171875
60507.699458407566,-165702996.54687249660491943359375
60507.69955104131,-165702996.62191259860992431640625
60507.699643780186,-165702996.62114560604095458984375
60507.69973642531,-165702996.611451685428619384765625
60507.699829140794,-165702996.626298427581787109375
60507.69992182594,-165702996.56027972698211669921875
60507.7000144862,-165702996.5575428009033203125
60507.70010715674,-165702996.6208591461181640625
60507.70019989012,-165702996.650906145572662353515625
60507.700292606576,-165702996.63021457195281982421875
60507.700385228025,-165702996.5280869007110595703125
60507.700477948725,-165702996.606372654438018798828125
60507.70057061238,-165702996.586971461772918701171875
60507.70066333768,-165702996.633247435092926025390625
60507.70075598363,-165702996.68996942043304443359375
60507.70084867591,-165702996.6646778583526611328125
60507.70094139325,-165702996.613175332546234130859375
60507.70103409031,-165702996.62257373332977294921875
60507.70112678095,-165702996.61134040355682373046875
60507.70121947856,-165702996.69124889373779296875
60507.7013121776,-165702996.689918041229248046875
60507.70140486116,-165702996.752120792865753173828125
60507.701497462105,-165702996.6425006389617919921875
60507.70159019207,-165702996.606561124324798583984375
60507.7016829284,-165702996.594658553600311279296875
60507.70177556566,-165702996.587101876735687255859375
60507.70186831141,-165702996.623406887054443359375
60507.70196099222,-165702996.65219056606292724609375
