MJD,shift,IS_GOOD
60507.71276514,NaN,False
60507.71277581,NaN,False
60507.71278707,NaN,False
60507.71279715,NaN,False
60507.71280781,NaN,False
60507.71281847,NaN,False
60507.71282915,NaN,False
60507.71283984,NaN,False
60507.71285051,NaN,False
60507.71286117,NaN,False
60507.71287184,NaN,False
60507.71288251,NaN,False
60507.71289318,NaN,False
60507.71290385,NaN,False
60507.71291453,NaN,False
60507.71292518,NaN,False
60507.71293586,NaN,False
60507.71294653,NaN,False
60507.7129572,NaN,False
60507.71296788,NaN,False
60507.71297853,NaN,False
60507.71298922,NaN,False
60507.71299988,NaN,False
60507.71301055,NaN,False
60507.71302124,NaN,False
60507.71303192,NaN,False
60507.71304258,NaN,False
60507.71305323,NaN,False
60507.7130639,NaN,False
60507.71307456,NaN,False
60507.71308524,NaN,False
60507.71309592,NaN,False
60507.71310658,NaN,False
60507.71311726,NaN,False
60507.71312793,NaN,False
60507.71313861,NaN,False
60507.71314927,NaN,False
60507.71315994,NaN,False
60507.71317064,NaN,False
60507.71318128,NaN,False
60507.71319194,NaN,False
60507.71320261,NaN,False
60507.71321328,NaN,False
60507.71322395,NaN,False
60507.71323463,NaN,False
60507.71324531,NaN,False
60507.71325597,NaN,False
60507.71326664,NaN,False
60507.71327731,NaN,False
60507.713288,NaN,False
60507.71329866,NaN,False
60507.71330933,NaN,False
60507.71331999,NaN,False
60507.71333066,NaN,False
60507.71334134,NaN,False
60507.713352,NaN,False
60507.71336267,NaN,False
60507.71337335,NaN,False
60507.71338401,NaN,False
60507.71339468,NaN,False
60507.71340535,NaN,False
60507.71341603,NaN,False
60507.7134267,NaN,False
60507.71343736,NaN,False
60507.71344804,NaN,False
60507.71345872,NaN,False
60507.71346939,NaN,False
60507.71348005,NaN,False
60507.71349072,NaN,False
60507.71350139,NaN,False
60507.71351206,NaN,False
60507.71352274,NaN,False
60507.7135334,NaN,False
60507.71354407,NaN,False
60507.71355473,NaN,False
60507.71356542,NaN,False
60507.71357609,NaN,False
60507.71358675,NaN,False
60507.71359741,NaN,False
60507.71360809,NaN,False
60507.71361877,NaN,False
60507.71362943,NaN,False
60507.7136401,NaN,False
60507.71365079,NaN,False
60507.71366145,NaN,False
60507.71367212,NaN,False
60507.71368279,NaN,False
60507.71369345,NaN,False
60507.71370412,NaN,False
60507.7137148,NaN,False
60507.71372546,NaN,False
60507.71373613,NaN,False
60507.71374681,NaN,False
60507.71375747,NaN,False
60507.71376814,NaN,False
60507.71377883,NaN,False
60507.71378949,NaN,False
60507.71380018,NaN,False
60507.71381082,NaN,False
60507.71382149,NaN,False
60507.71383215,NaN,False
60507.71384282,NaN,False
60507.71385351,NaN,False
60507.71386418,NaN,False
60507.71387485,NaN,False
60507.71388552,NaN,False
60507.71389619,NaN,False
60507.71390688,NaN,False
60507.71391755,NaN,False
60507.71392822,NaN,False
60507.71393887,NaN,False
60507.71394953,NaN,False
60507.71396022,NaN,False
60507.71397089,NaN,False
60507.71398156,NaN,False
60507.71399222,NaN,False
60507.7140029,NaN,False
60507.71401357,NaN,False
60507.71402425,NaN,False
60507.7140349,NaN,False
60507.71404559,NaN,False
60507.71405625,NaN,False
60507.71406691,NaN,False
60507.71407759,NaN,False
60507.71408825,NaN,False
60507.71409892,NaN,False
60507.71410959,NaN,False
60507.71412026,NaN,False
60507.71413093,NaN,False
60507.71414161,NaN,False
60507.71415228,NaN,False
60507.71416295,NaN,False
60507.71417362,NaN,False
60507.71418429,NaN,False
60507.71419496,NaN,False
60507.71420563,NaN,False
60507.7142163,NaN,False
60507.71422761,NaN,False
60507.71423766,NaN,False
60507.71424832,NaN,False
60507.71425899,NaN,False
60507.71426965,NaN,False
60507.71428032,NaN,False
60507.71429101,NaN,False
60507.71430166,NaN,False
60507.71431233,NaN,False
60507.71432301,NaN,False
60507.71433367,NaN,False
60507.71434434,NaN,False
