07/16/2024	11:01:52	(analyzed:  7/19/2024)
MJD	timer	SDR:fb_Al_ErYb	SDR:fb_Yb_ErYb	SDR:frep_ErYb	fo_ErYb	fb_Si_ErYb	fb_Yb_ErYb
60507.71000500	31811.00000000	22737008.00394200	28855436.80021600	113927.22928900	104999999.99890000	99999999.99910000	28855436.80016000
60507.71001700	32866.00000000	22737007.99866300	28855436.80008900	113927.22919500	105000000.00160000	99999999.99950001	28855436.80013000
60507.71002900	33923.00000000	22737007.99950300	28855436.79993500	113927.22961000	104999999.99969999	100000000.00090000	28855436.80017000
60507.71004100	34978.00000000	22737007.99915700	28855436.80011900	113927.22947500	104999999.99980000	99999999.99980000	28855436.80007000
60507.71005400	36033.00000000	22737008.00114000	28855436.80016500	113927.22961200	105000000.00030001	100000000.00000000	28855436.79968000
60507.71006600	37088.00000000	22737007.99882000	28855436.79970600	113927.22974700	105000000.00139999	99999999.99920000	28855436.80016000
60507.71007800	38143.00000000	22737007.99568800	28855436.79949100	113927.22940900	104999999.99900000	100000000.00010000	28855436.79988000
60507.71009000	39198.00000000	22737008.00216000	28855436.79986500	113927.22980300	105000000.00010000	100000000.00080000	28855436.80008000
60507.71010200	40253.00000000	22737007.99982500	28855436.80001700	113927.22958600	105000000.00040001	99999999.99910000	28855436.79995000
60507.71011500	41309.00000000	22737008.00491900	28855436.79992500	113927.22976800	105000000.00139999	100000000.00070000	28855436.79992000
60507.71012700	42365.00000000	22737008.00126700	28855436.80001400	113927.22940100	105000000.00060000	100000000.00030001	28855436.80007000
60507.71013900	43422.00000000	22737007.99319500	28855436.80010100	113927.22941100	104999999.99940000	100000000.00010000	28855436.80040000
60507.71015100	44478.00000000	22737007.99671000	28855436.80012700	113927.22955200	105000000.00180000	100000000.00080000	28855436.80007000
60507.71016400	45534.00000000	22737008.01278100	28855436.80004200	113927.22938100	104999999.99930000	99999999.99770001	28855436.79994000
60507.71017600	46590.00000000	22737007.99073000	28855436.80000600	113927.22960100	105000000.00150000	100000000.00000000	28855436.80009000
60507.71018800	47647.00000000	22737008.00531600	28855436.80000900	113927.22953200	105000000.00100000	100000000.00090000	28855436.79992000
60507.71020000	48703.00000000	22737007.99629700	28855436.79984000	113927.22971500	105000000.00100000	100000000.00000000	28855436.80028000
60507.71021200	49759.00000000	22737008.00075800	28855436.79994800	113927.22944300	105000000.00040001	100000000.00080000	28855436.80018000
60507.71022500	50814.00000000	22737007.99771900	28855436.80015300	113927.22940500	105000000.00060000	99999999.99869999	28855436.79989000
60507.71023700	51867.00000000	22737008.00436800	28855436.79996600	113927.22946800	105000000.00060000	99999999.99959999	NaN
60507.71024900	52924.00000000	22737007.99709100	28855436.79996000	113927.22985000	105000000.00030001	100000000.00130001	28855436.80035000
60507.71026100	53980.00000000	22737008.00551400	28855436.80040700	113927.22948800	105000000.00000000	99999999.99990000	28855436.80008000
60507.71027300	55034.00000000	22737007.99408700	28855436.80042300	113927.22949400	105000000.00040001	100000000.00120001	28855436.79965000
60507.71028600	56090.00000000	22737007.99655200	28855436.79939900	113927.22930100	104999999.99930000	99999999.99860001	28855436.79982000
60507.71029800	57146.00000000	22737007.99940100	28855436.79960800	113927.22959100	104999999.99990000	100000000.00000000	28855436.79993000
60507.71031000	58203.00000000	22737008.00091800	28855436.79983200	113927.22961900	105000000.00049999	100000000.00020000	28855436.79982000
60507.71032200	59259.00000000	22737007.99272300	28855436.80023800	113927.22955300	105000000.00139999	99999999.99930000	28855436.79988000
60507.71033500	60313.00000000	22737008.00449500	28855436.80000100	113927.22956300	105000000.00100000	100000000.00100000	28855436.79995000
60507.71034700	61369.00000000	22737008.00395400	28855436.79979500	113927.22924000	104999999.99940000	99999999.99940000	28855436.79974000
