07/16/2024	11:01:52	(analyzed:  7/19/2024)
MJD	timer	SDR:fb_Al_ErYb	SDR:fb_Yb_ErYb	SDR:frep_ErYb	fo_ErYb	fb_Si_ErYb	fb_Yb_ErYb
60507.72183100	1053617.00000000	22737008.00343800	28855436.80002500	113927.22949200	105000000.00139999	99999999.99779999	28855436.80033000
60507.72184300	1054672.00000000	22737007.99338900	28855436.80010200	113927.22958700	105000000.00060000	99999999.99930000	28855436.79981000
60507.72185600	1055728.00000000	22737008.00204600	28855436.79997700	113927.22965000	105000000.00080000	100000000.00090000	28855436.79993000
60507.72186800	1056783.00000000	22737008.00320100	28855436.79990100	113927.22972800	105000000.00080000	100000000.00000000	28855436.79992000
60507.72188000	1057838.00000000	22737008.00260700	28855436.79992500	113927.22905800	104999999.99940000	100000000.00139999	28855436.80000000
60507.72189200	1058894.00000000	22737008.00292800	28855436.79997300	113927.22953300	105000000.00160000	99999999.99820000	28855436.80010000
60507.72190500	1059951.00000000	22737007.99855300	28855436.80028200	113927.22968900	104999999.99940000	99999999.99950001	28855436.79996000
60507.72191700	1061005.00000000	22737007.99832000	28855436.80002500	113927.22975200	104999999.99959999	99999999.99990000	28855436.80007000
60507.72192900	1062061.00000000	22737007.99849500	28855436.80058500	113927.22920500	105000000.00040001	99999999.99990000	28855436.80000000
60507.72194100	1063119.00000000	22737007.99728000	28855436.79952300	113927.22930000	105000000.00160000	100000000.00010000	28855436.79993000
60507.72195300	1064175.00000000	22737008.00998200	28855436.80029900	113927.22965600	104999999.99940000	99999999.99890000	28855436.80021000
60507.72196600	1065231.00000000	22737007.99176700	28855436.79982700	113927.22979800	105000000.00080000	100000000.00049999	28855436.79993000
60507.72197800	1066287.00000000	22737007.99622600	28855436.79990500	113927.22918800	105000000.00070000	100000000.00110000	28855436.79994000
60507.72199000	1067342.00000000	22737008.00014800	28855436.80000800	113927.22933800	105000000.00110000	99999999.99910000	28855436.79984000
60507.72200200	1068398.00000000	22737007.99804800	28855436.79988700	113927.22967000	105000000.00090000	100000000.00010000	28855436.80041000
60507.72201500	1069454.00000000	22737008.01350900	28855436.80012200	113927.22963400	105000000.00049999	99999999.99930000	28855436.79995000
60507.72202700	1070510.00000000	22737007.98064800	28855436.80005000	113927.22934100	105000000.00040001	100000000.00000000	28855436.79997000
60507.72203900	1071566.00000000	22737008.01419400	28855436.79996400	113927.22965600	105000000.00090000	100000000.00139999	28855436.79981000
60507.72205100	1072622.00000000	22737007.98847000	28855436.80000000	113927.22955800	104999999.99869999	99999999.99830000	28855436.80008000
60507.72206300	1073678.00000000	22737008.00231000	28855436.80012200	113927.22967300	105000000.00020000	100000000.00000000	28855436.79979000
60507.72207600	1074731.00000000	22737008.01601600	28855436.80006200	113927.22930600	105000000.00170000	99999999.99980000	28855436.79974000
60507.72208800	1075789.00000000	22737007.98757600	28855436.79991000	113927.22944200	104999999.99959999	99999999.99930000	28855436.80025000
60507.72210000	1076845.00000000	22737008.00107800	28855436.79991200	113927.22971400	105000000.00139999	100000000.00090000	28855436.79987000
60507.72211200	1077899.00000000	22737007.99825400	28855436.79997800	113927.22955800	105000000.00000000	99999999.99800000	28855436.80009000
60507.72212500	1078955.00000000	22737008.01093400	28855436.80001300	113927.22943300	105000000.00000000	100000000.00000000	28855436.79985000
60507.72213700	1080011.00000000	22737007.99028100	28855436.79986500	113927.22953900	105000000.00160000	100000000.00030001	28855436.80034000
60507.72214900	1081066.00000000	22737007.99712600	28855436.80064200	113927.22964700	104999999.99980000	99999999.99980000	28855436.79992000
60507.72216100	1082122.00000000	22737007.99728300	28855436.79948400	113927.22931600	105000000.00130001	100000000.00100000	28855436.79993000
60507.72217300	1083177.00000000	22737008.01389600	28855436.79983900	113927.22948200	104999999.99980000	99999999.99820000	28855436.79979000
60507.72218600	1084234.00000000	22737007.99462200	28855436.79986700	113927.22956600	104999999.99980000	100000000.00020000	28855436.79979000
60507.72219800	1085289.00000000	22737008.00262900	28855436.79981500	113927.22954800	105000000.00180000	100000000.00130001	28855436.80011000
60507.72221000	1086344.00000000	22737007.99884100	28855436.80010800	113927.22980600	104999999.99950001	99999999.99990000	28855436.80003000
60507.72222200	1087399.00000000	22737007.99767400	28855436.79997700	113927.22913300	104999999.99980000	100000000.00090000	28855436.80026000
60507.72223500	1088457.00000000	22737008.00515700	28855436.80022300	113927.22962400	104999999.99969999	99999999.99830000	28855436.80025000
60507.72224700	1089515.00000000	22737007.99765300	28855436.79992300	113927.22930800	105000000.00210001	100000000.00040001	28855436.80002000
60507.72225900	1090570.00000000	22737007.99455300	28855436.79994500	113927.22970000	104999999.99950001	100000000.00070000	28855436.79995000
60507.72227100	1091627.00000000	22737008.00332300	28855436.79983400	113927.22963700	105000000.00010000	99999999.99950001	28855436.79993000
60507.72228300	1092685.00000000	22737007.99039800	28855436.80004300	113927.22944100	105000000.00180000	100000000.00030001	28855436.80000000
60507.72229600	1093740.00000000	22737008.00424900	28855436.80014200	113927.22950800	104999999.99920000	99999999.99890000	28855436.79999000
60507.72230800	1094794.00000000	22737007.99247400	28855436.79985600	113927.22971500	105000000.00040001	99999999.99940000	28855436.79976000
60507.72232000	1095851.00000000	22737008.00416500	28855436.79975600	113927.22954700	105000000.00020000	100000000.00060000	28855436.79979000
60507.72233200	1096908.00000000	22737008.00604200	28855436.80015500	113927.22921500	105000000.00030001	99999999.99959999	28855436.80003000
60507.72234500	1097965.00000000	22737008.00108100	28855436.80044900	113927.22952300	105000000.00180000	100000000.00090000	28855436.79999000
60507.72235700	1099021.00000000	22737007.99577600	28855436.79964800	113927.22955400	104999999.99980000	100000000.00040001	28855436.79995000
60507.72236900	1100077.00000000	22737008.00482700	28855436.80031100	113927.22942600	105000000.00030001	99999999.99959999	28855436.80018000
60507.72238100	1101134.00000000	22737007.99833700	28855436.79964400	113927.22971400	105000000.00130001	100000000.00010000	28855436.80012000
60507.72239300	1102190.00000000	22737007.99360200	28855436.79993900	113927.22934500	105000000.00049999	99999999.99920000	28855436.80001000
60507.72240600	1103247.00000000	22737008.01162000	28855436.80011000	113927.22924400	104999999.99969999	100000000.00060000	28855436.79983000
60507.72241800	1104303.00000000	22737008.00736900	28855436.79996600	113927.22965200	104999999.99990000	100000000.00100000	28855436.80000000
60507.72243000	1105359.00000000	22737008.00014700	28855436.79993600	113927.22936100	105000000.00040001	100000000.00010000	28855436.79998000
60507.72244200	1106413.00000000	22737008.00129400	28855436.80004200	113927.22957600	105000000.00110000	100000000.00090000	28855436.79993000
60507.72245500	1107468.00000000	22737008.00456700	28855436.80004600	113927.22959400	104999999.99940000	99999999.99860001	28855436.79983000
60507.72246700	1108524.00000000	22737008.00794700	28855436.79990100	113927.22959900	105000000.00100000	100000000.00010000	28855436.79983000
60507.72247900	1109580.00000000	22737007.99582500	28855436.80013000	113927.22946800	105000000.00090000	100000000.00100000	28855436.80005000
60507.72249100	1110637.00000000	22737007.99322000	28855436.80009800	113927.22932800	104999999.99980000	99999999.99959999	28855436.80008000
60507.72250300	1111692.00000000	22737007.99336600	28855436.79983000	113927.22950100	105000000.00190000	100000000.00000000	28855436.79996000
60507.72251600	1112749.00000000	22737008.00895400	28855436.80006100	113927.22964900	105000000.00130001	99999999.99820000	28855436.79996000
60507.72252800	1113804.00000000	22737008.00318800	28855436.80007100	113927.22962300	104999999.99879999	100000000.00049999	28855436.80013000
60507.72254000	1114860.00000000	22737007.99274500	28855436.80001600	113927.22953700	104999999.99990000	100000000.00070000	28855436.80000000
60507.72255200	1115916.00000000	22737007.99230600	28855436.80017000	113927.22945000	105000000.00139999	99999999.99980000	28855436.80008000
60507.72256500	1116973.00000000	22737008.00602800	28855436.80054400	113927.22954200	105000000.00120001	100000000.00060000	28855436.79983000
60507.72257700	1118029.00000000	22737008.01002500	28855436.79943500	113927.22950500	104999999.99969999	99999999.99890000	28855436.80012000
60507.72258900	1119086.00000000	22737008.00645600	28855436.80011500	113927.22935800	105000000.00010000	99999999.99980000	28855436.79981000
60507.72260100	1120143.00000000	22737007.99599100	28855436.79988000	113927.22990200	105000000.00010000	100000000.00070000	28855436.79981000
60507.72261300	1121198.00000000	22737007.98539000	28855436.79981600	113927.22933500	104999999.99980000	99999999.99900000	28855436.80000000
60507.72262600	1122255.00000000	22737007.99730700	28855436.79999700	113927.22948300	105000000.00150000	100000000.00060000	28855436.80029000
60507.72263800	1123311.00000000	22737008.00332800	28855436.80012300	113927.22966800	104999999.99940000	100000000.00000000	28855436.80001000
60507.72265000	1124365.00000000	22737007.99263300	28855436.79992700	113927.22974100	104999999.99959999	99999999.99959999	28855436.79990000
60507.72266200	1125423.00000000	22737007.99962800	28855436.79993200	113927.22936900	105000000.00200000	100000000.00090000	28855436.80017000
60507.72267500	1126476.00000000	22737007.99532100	28855436.80004900	113927.22934100	104999999.99980000	99999999.99800000	28855436.80004000
60507.72268700	1127532.00000000	22737008.01433200	28855436.79996500	113927.22967800	105000000.00100000	100000000.00100000	28855436.80015000
60507.72269900	1128588.00000000	22737007.98473200	28855436.80007400	113927.22965100	104999999.99940000	100000000.00030001	28855436.80007000
60507.72271100	1129644.00000000	22737008.00973200	28855436.80017900	113927.22943000	105000000.00010000	99999999.99950001	28855436.79982000
60507.72272300	1130701.00000000	22737008.00728400	28855436.80004700	113927.22971300	105000000.00000000	100000000.00090000	28855436.80016000
60507.72273600	1131757.00000000	22737007.99580200	28855436.79990300	113927.22969400	105000000.00030001	99999999.99820000	28855436.80004000
60507.72274800	1132812.00000000	22737008.00558500	28855436.80006400	113927.22921900	105000000.00040001	100000000.00070000	28855436.80002000
60507.72276000	1133868.00000000	22737007.99086500	28855436.80021600	113927.22947300	105000000.00060000	100000000.00049999	28855436.80012000
60507.72277200	1134925.00000000	22737008.00145100	28855436.79981800	113927.22984800	105000000.00139999	99999999.99980000	28855436.80006000
60507.72278500	1135982.00000000	22737007.98963000	28855436.80052200	113927.22944600	104999999.99969999	100000000.00090000	28855436.80004000
60507.72279700	1137038.00000000	22737008.01038200	28855436.79961300	113927.22922300	105000000.00130001	99999999.99879999	28855436.80019000
60507.72280900	1138092.00000000	22737007.98892500	28855436.80009000	113927.22968400	104999999.99990000	100000000.00030001	28855436.80014000
60507.72282100	1139147.00000000	22737008.01015700	28855436.80005100	113927.22950100	105000000.00000000	100000000.00060000	28855436.79985000
60507.72283300	1140204.00000000	22737008.00000400	28855436.79999300	113927.22959400	105000000.00170000	99999999.99930000	28855436.79987000
60507.72284600	1141262.00000000	22737008.00966800	28855436.79976900	113927.22970300	105000000.00010000	100000000.00049999	28855436.80008000
60507.72285800	1142318.00000000	22737007.99603900	28855436.80017300	113927.22938600	105000000.00100000	99999999.99900000	28855436.79980000
60507.72287000	1143374.00000000	22737008.00165300	28855436.80004600	113927.22972800	104999999.99959999	100000000.00040001	28855436.80009000
60507.72288200	1144429.00000000	22737008.00326000	28855436.80000900	113927.22947000	105000000.00160000	100000000.00000000	28855436.80012000
60507.72289500	1145487.00000000	22737007.99836400	28855436.79985900	113927.22942800	105000000.00090000	99999999.99879999	28855436.79999000
60507.72290700	1146545.00000000	22737008.00095900	28855436.80003900	113927.22957300	104999999.99950001	100000000.00010000	28855436.80008000
60507.72291900	1147600.00000000	22737007.99628400	28855436.80010300	113927.22954300	104999999.99950001	99999999.99990000	28855436.79990000
60507.72293100	1148656.00000000	22737007.99746000	28855436.79995100	113927.22948600	105000000.00170000	100000000.00010000	28855436.80010000
60507.72294300	1149710.00000000	22737007.99327300	28855436.80013900	113927.22943900	105000000.00170000	100000000.00049999	28855436.79983000
60507.72295600	1150767.00000000	22737008.00577800	28855436.79990300	113927.22970900	105000000.00070000	99999999.99920000	28855436.80017000
60507.72296800	1151822.00000000	22737008.00222200	28855436.80014500	113927.22945000	104999999.99959999	100000000.00010000	28855436.79989000
60507.72298000	1152877.00000000	22737008.00482800	28855436.80024500	113927.22931600	105000000.00120001	100000000.00030001	28855436.79964000
60507.72299200	1153934.00000000	22737007.99996200	28855436.79932900	113927.22951300	104999999.99959999	100000000.00030001	28855436.79988000
60507.72300500	1154989.00000000	22737008.00528300	28855436.80022700	113927.22945500	105000000.00040001	100000000.00060000	28855436.80002000
60507.72301700	1156045.00000000	22737007.99612700	28855436.79987400	113927.22963000	105000000.00170000	99999999.99650000	28855436.79997000
60507.72302900	1157101.00000000	22737007.99960500	28855436.79971500	113927.22951400	104999999.99920000	100000000.00010000	28855436.79982000
60507.72304100	1158157.00000000	22737007.99928400	28855436.80001700	113927.22932200	104999999.99980000	100000000.00120001	28855436.80004000
60507.72305300	1159215.00000000	22737007.99742700	28855436.80020400	113927.22957600	105000000.00130001	99999999.99930000	28855436.80021000
60507.72306600	1160272.00000000	22737008.00309100	28855436.80008900	113927.22971400	104999999.99950001	100000000.00100000	28855436.80004000
60507.72307800	1161326.00000000	22737007.99358400	28855436.80006600	113927.22954800	105000000.00139999	99999999.99779999	28855436.79997000
60507.72309000	1162384.00000000	22737008.00078900	28855436.80003200	113927.22970500	105000000.00070000	100000000.00040001	28855436.79979000
60507.72310200	1163439.00000000	22737007.98618800	28855436.79996000	113927.22982900	104999999.99940000	100000000.00090000	28855436.79998000
60507.72311500	1164496.00000000	22737008.01053700	28855436.79998900	113927.22916900	105000000.00120001	99999999.99950001	28855436.80010000
60507.72312700	1165552.00000000	22737008.00673500	28855436.79998200	113927.22958300	105000000.00130001	100000000.00110000	28855436.80011000
60507.72313900	1166607.00000000	22737007.98981400	28855436.79996300	113927.22961700	105000000.00040001	99999999.99900000	28855436.79994000
60507.72315100	1167661.00000000	22737008.00498500	28855436.80003800	113927.22969000	105000000.00060000	99999999.99980000	28855436.80015000
60507.72316300	1168717.00000000	22737007.99545200	28855436.80004700	113927.22941400	105000000.00090000	100000000.00130001	28855436.80010000
60507.72317600	1169773.00000000	22737007.99300100	28855436.79999800	113927.22968700	105000000.00049999	99999999.99959999	28855436.80013000
60507.72318800	1170827.00000000	22737008.00556800	28855436.80016800	113927.22966600	105000000.00120001	100000000.00060000	28855436.79991000
60507.72320000	1171883.00000000	22737008.00756000	28855436.80046600	113927.22925700	104999999.99900000	99999999.99959999	28855436.80026000
60507.72321200	1172939.00000000	22737007.99757100	28855436.79954800	113927.22945800	105000000.00120001	99999999.99940000	28855436.79965000
60507.72322500	1173995.00000000	22737007.98713700	28855436.80003800	113927.22946700	104999999.99950001	100000000.00000000	28855436.79988000
60507.72323700	1175053.00000000	22737008.00700900	28855436.79992400	113927.22959700	105000000.00010000	99999999.99910000	28855436.80008000
60507.72324900	1176110.00000000	22737008.00924700	28855436.79990100	113927.22955200	105000000.00020000	100000000.00049999	28855436.79980000
60507.72326100	1177166.00000000	22737007.99808100	28855436.80004500	113927.22938600	105000000.00160000	99999999.99959999	28855436.80037000
60507.72327300	1178223.00000000	22737007.98623100	28855436.80023700	113927.22974000	104999999.99900000	99999999.99980000	28855436.79950000
60507.72328600	1179278.00000000	22737008.01265600	28855436.79991700	113927.22942900	105000000.00180000	100000000.00080000	28855436.79990000
60507.72329800	1180334.00000000	22737007.99502500	28855436.80006300	113927.22962700	105000000.00090000	99999999.99789999	28855436.80024000
60507.72331000	1181390.00000000	22737008.00342000	28855436.80001900	113927.22949900	104999999.99969999	100000000.00100000	28855436.80027000
60507.72332200	1182446.00000000	22737008.00578200	28855436.79983800	113927.22942100	105000000.00040001	100000000.00040001	28855436.79999000
60507.72333500	1183503.00000000	22737007.98496500	28855436.80009500	113927.22954300	105000000.00170000	100000000.00020000	28855436.80002000
60507.72334700	1184563.00000000	22737008.00612400	28855436.79994000	113927.22953500	105000000.00049999	100000000.00049999	28855436.79970000
60507.72335900	1185619.00000000	22737008.00319700	28855436.80005700	113927.22951200	104999999.99959999	99999999.99850000	28855436.80028000
60507.72337100	1186674.00000000	22737008.00296500	28855436.79998500	113927.22931800	105000000.00120001	99999999.99990000	28855436.79981000
60507.72338400	1187731.00000000	22737007.99221700	28855436.79997100	113927.22979300	105000000.00120001	100000000.00080000	28855436.79991000
60507.72339600	1188787.00000000	22737007.99463800	28855436.80030500	113927.22969600	104999999.99980000	100000000.00010000	28855436.79994000
60507.72340800	1189843.00000000	22737008.00466000	28855436.79966000	113927.22925800	104999999.99990000	100000000.00049999	28855436.79993000
60507.72342000	1190897.00000000	22737007.99731900	28855436.80042200	113927.22932300	105000000.00040001	99999999.99830000	28855436.79982000
60507.72343200	1191953.00000000	22737008.01221300	28855436.79948500	113927.22974300	105000000.00180000	100000000.00049999	28855436.80000000
60507.72344500	1193010.00000000	22737007.98413600	28855436.80005800	113927.22953700	104999999.99920000	100000000.00040001	28855436.79998000
60507.72345700	1194067.00000000	22737008.00802800	28855436.80001200	113927.22960200	105000000.00150000	99999999.99930000	28855436.80031000
60507.72346900	1195122.00000000	22737007.99655200	28855436.80010300	113927.22963300	104999999.99930000	100000000.00049999	28855436.79993000
60507.72348100	1196179.00000000	22737007.99391200	28855436.79986100	113927.22972500	105000000.00010000	99999999.99869999	28855436.79982000
60507.72349400	1197235.00000000	22737008.01371400	28855436.79991900	113927.22922900	105000000.00160000	99999999.99950001	28855436.80014000
60507.72350600	1198290.00000000	22737007.99855600	28855436.80008000	113927.22945300	104999999.99910000	100000000.00049999	28855436.80001000
60507.72351800	1199345.00000000	22737008.00683100	28855436.80003200	113927.22968400	105000000.00160000	99999999.99860001	28855436.79977000
60507.72353000	1200400.00000000	22737008.01029500	28855436.79987000	113927.22917800	105000000.00100000	100000000.00030001	28855436.79997000
60507.72354200	1201456.00000000	22737007.99301700	28855436.79995700	113927.22982600	104999999.99940000	99999999.99980000	28855436.79992000
60507.72355500	1202512.00000000	22737007.99234600	28855436.80002000	113927.22962500	105000000.00000000	100000000.00000000	28855436.79999000
60507.72356700	1203567.00000000	22737008.00460300	28855436.80011900	113927.22935800	105000000.00010000	100000000.00080000	28855436.80026000
60507.72357900	1204622.00000000	22737007.99460400	28855436.80000700	113927.22943600	105000000.00000000	99999999.99900000	28855436.79989000
60507.72359100	1205679.00000000	22737008.00348500	28855436.79975500	113927.22947500	105000000.00020000	100000000.00049999	28855436.79987000
60507.72360300	1206735.00000000	22737008.01116900	28855436.79996200	113927.22962200	105000000.00180000	100000000.00020000	28855436.80009000
60507.72361600	1207791.00000000	22737007.99427300	28855436.80049200	113927.22943000	104999999.99969999	100000000.00030001	28855436.80007000
60507.72362800	1208846.00000000	22737008.00216000	28855436.79951600	113927.22943900	105000000.00000000	100000000.00040001	28855436.79992000
60507.72364000	1209902.00000000	22737008.00407500	28855436.80033400	113927.22967300	105000000.00020000	99999999.99869999	28855436.80015000
60507.72365200	1210957.00000000	22737007.99451700	28855436.79981100	113927.22944000	105000000.00150000	100000000.00010000	28855436.79991000
60507.72366500	1212014.00000000	22737008.00445200	28855436.80001900	113927.22949700	104999999.99959999	100000000.00090000	28855436.80007000
60507.72367700	1213070.00000000	22737007.99050800	28855436.80003100	113927.22944900	104999999.99990000	99999999.99980000	28855436.79966000
60507.72368900	1214125.00000000	22737008.00851700	28855436.79990800	113927.22970600	105000000.00010000	100000000.00020000	28855436.79997000
60507.72370100	1215183.00000000	22737008.00215400	28855436.80003300	113927.22960600	105000000.00030001	99999999.99890000	28855436.80032000
60507.72371300	1216238.00000000	22737007.98802100	28855436.80007000	113927.22946000	105000000.00170000	100000000.00060000	28855436.79985000
60507.72372600	1217293.00000000	22737008.00936100	28855436.80008500	113927.22933000	105000000.00010000	100000000.00010000	28855436.80004000
60507.72373800	1218349.00000000	22737007.99991600	28855436.79992500	113927.22962200	105000000.00040001	99999999.99910000	28855436.79977000
60507.72375000	1219404.00000000	22737007.99357400	28855436.80001300	113927.22952700	105000000.00020000	100000000.00130001	28855436.79987000
60507.72376200	1220462.00000000	22737008.00802200	28855436.79999800	113927.22948800	105000000.00010000	99999999.99890000	28855436.80014000
60507.72377500	1221519.00000000	22737007.99618300	28855436.80002100	113927.22929900	105000000.00190000	100000000.00040001	28855436.80008000
60507.72378700	1222573.00000000	22737007.99725800	28855436.79992700	113927.22956800	105000000.00040001	100000000.00080000	28855436.79977000
60507.72379900	1223631.00000000	22737008.00047800	28855436.79998700	113927.22959600	105000000.00030001	99999999.99930000	28855436.80019000
60507.72381100	1224685.00000000	22737008.00532600	28855436.80019300	113927.22952600	105000000.00090000	100000000.00010000	28855436.80008000
60507.72382300	1225740.00000000	22737008.00611100	28855436.79995700	113927.22963600	104999999.99990000	99999999.99980000	28855436.80008000
60507.72383600	1226796.00000000	22737008.00055900	28855436.80059000	113927.22948600	105000000.00020000	100000000.00000000	28855436.80013000
60507.72384800	1227853.00000000	22737007.98988700	28855436.79938500	113927.22923500	105000000.00130001	100000000.00010000	28855436.79982000
60507.72386000	1228909.00000000	22737008.00834600	28855436.80009100	113927.22987400	105000000.00070000	99999999.99910000	28855436.80029000
60507.72387200	1229965.00000000	22737007.99210200	28855436.80017900	113927.22948700	105000000.00070000	100000000.00010000	28855436.79988000
60507.72388500	1231019.00000000	22737008.00463300	28855436.79995400	113927.22927300	104999999.99969999	100000000.00000000	28855436.79987000
60507.72389700	1232074.00000000	22737008.00368600	28855436.79988700	113927.22989500	105000000.00110000	99999999.99990000	28855436.80018000
60507.72390900	1233131.00000000	22737007.98635100	28855436.80007100	113927.22967900	105000000.00100000	100000000.00040001	28855436.79999000
60507.72392100	1234188.00000000	22737008.00754700	28855436.79990700	113927.22937500	105000000.00080000	99999999.99869999	28855436.79995000
60507.72393300	1235244.00000000	22737008.00262600	28855436.79996800	113927.22977200	104999999.99910000	100000000.00010000	28855436.79996000
60507.72394600	1236301.00000000	22737007.99204200	28855436.79995000	113927.22924900	105000000.00139999	100000000.00010000	28855436.79994000
60507.72395800	1237356.00000000	22737007.99335400	28855436.79992600	113927.22955100	104999999.99980000	99999999.99959999	28855436.79986000
60507.72397000	1238413.00000000	22737008.00874700	28855436.79989200	113927.22974200	105000000.00160000	100000000.00110000	28855436.79970000
60507.72398200	1239481.00000000	22737007.99245000	28855436.79979500	113927.22930900	104999999.99950001	99999999.99879999	28855436.79990000
60507.72399500	1240537.00000000	22737008.00539700	28855436.79989900	113927.22960500	105000000.00010000	100000000.00040001	28855436.79991000
60507.72400700	1241591.00000000	22737008.00067800	28855436.79995200	113927.22949300	104999999.99990000	100000000.00070000	28855436.80008000
60507.72401900	1242647.00000000	22737008.00042600	28855436.80024800	113927.22957400	105000000.00049999	99999999.99969999	28855436.79988000
60507.72403100	1243703.00000000	22737007.99504800	28855436.80037600	113927.22960900	105000000.00170000	100000000.00100000	28855436.80027000
60507.72404400	1244759.00000000	22737008.00428900	28855436.79976100	113927.22956100	104999999.99950001	99999999.99830000	28855436.80007000
60507.72405600	1245815.00000000	22737007.98724800	28855436.80022500	113927.22942800	105000000.00020000	99999999.99920000	28855436.79981000
60507.72406800	1246871.00000000	22737008.00864700	28855436.79952700	113927.22946700	104999999.99969999	100000000.00120001	28855436.79981000
60507.72408000	1247926.00000000	22737008.00276000	28855436.79974700	113927.22955900	105000000.00100000	100000000.00010000	28855436.79986000
60507.72409200	1248981.00000000	22737008.00130700	28855436.80009700	113927.22973400	105000000.00000000	100000000.00060000	28855436.80007000
60507.72410500	1250037.00000000	22737007.99485700	28855436.80006600	113927.22950400	105000000.00150000	99999999.99969999	28855436.79985000
60507.72411700	1251091.00000000	22737007.99492500	28855436.79982500	113927.22931800	105000000.00060000	99999999.99940000	28855436.80036000
60507.72412900	1252148.00000000	22737008.00744300	28855436.80022700	113927.22949400	104999999.99980000	100000000.00000000	28855436.80031000
60507.72414100	1253204.00000000	22737008.00128100	28855436.80036000	113927.22953200	105000000.00130001	99999999.99810000	28855436.79996000
60507.72415400	1254262.00000000	22737008.00179500	28855436.79984000	113927.22973000	104999999.99930000	100000000.00110000	28855436.79970000
60507.72416600	1255319.00000000	22737007.99665400	28855436.79981200	113927.22910800	105000000.00139999	100000000.00100000	28855436.79991000
60507.72417800	1256373.00000000	22737008.00529600	28855436.80007900	113927.22962800	104999999.99950001	100000000.00020000	28855436.80013000
60507.72419000	1257430.00000000	22737007.99722200	28855436.79992600	113927.22940400	105000000.00110000	100000000.00000000	28855436.79983000
60507.72420200	1258488.00000000	22737007.99716700	28855436.80004900	113927.22942600	104999999.99980000	99999999.99820000	28855436.80002000
60507.72421500	1259544.00000000	22737008.00688300	28855436.80010400	113927.22975100	105000000.00120001	100000000.00020000	28855436.80007000
60507.72422700	1260601.00000000	22737007.99841400	28855436.80008400	113927.22947000	105000000.00100000	100000000.00130001	28855436.79998000
60507.72423900	1261656.00000000	22737008.00772800	28855436.79974900	113927.22968700	105000000.00080000	99999999.99959999	28855436.79984000
60507.72425100	1262713.00000000	22737007.99062800	28855436.80057800	113927.22946100	105000000.00030001	100000000.00120001	28855436.79974000
60507.72426400	1263770.00000000	22737007.99589200	28855436.79940400	113927.22963200	104999999.99930000	99999999.99710000	28855436.80019000
60507.72427600	1264824.00000000	22737008.01007100	28855436.80013200	113927.22932400	105000000.00130001	100000000.00020000	28855436.79978000
60507.72428800	1265878.00000000	22737007.98502500	28855436.79985800	113927.22959700	105000000.00070000	100000000.00049999	28855436.79976000
60507.72430000	1266935.00000000	22737008.00225200	28855436.79997500	113927.22984800	104999999.99940000	100000000.00000000	28855436.79994000
60507.72431200	1267993.00000000	22737008.00785400	28855436.80008400	113927.22925800	105000000.00110000	100000000.00100000	28855436.79982000
60507.72432500	1269050.00000000	22737007.99958600	28855436.79986300	113927.22934400	104999999.99940000	99999999.99930000	28855436.80005000
60507.72433700	1270106.00000000	22737008.01324800	28855436.79989500	113927.22961400	105000000.00139999	100000000.00020000	28855436.80000000
60507.72434900	1271160.00000000	22737007.99464500	28855436.79999800	113927.22961900	104999999.99910000	100000000.00049999	28855436.79985000
60507.72436100	1272216.00000000	22737007.99458500	28855436.80003200	113927.22944700	104999999.99959999	100000000.00000000	28855436.80011000
60507.72437400	1273270.00000000	22737008.00979600	28855436.80003700	113927.22942200	105000000.00010000	100000000.00070000	28855436.79988000
60507.72438600	1274326.00000000	22737007.99855000	28855436.79998200	113927.22939400	105000000.00160000	99999999.99910000	28855436.79975000
60507.72439800	1275382.00000000	22737008.00130500	28855436.80014200	113927.22962300	105000000.00080000	99999999.99930000	28855436.80025000
60507.72441000	1276437.00000000	22737007.99883500	28855436.80007300	113927.22935200	104999999.99990000	100000000.00020000	28855436.80018000
60507.72442200	1277494.00000000	22737008.01272800	28855436.79999200	113927.22939400	105000000.00080000	99999999.99920000	28855436.80006000
60507.72443500	1278551.00000000	22737007.98676400	28855436.80007200	113927.22987500	105000000.00100000	100000000.00110000	28855436.79987000
60507.72444700	1279612.00000000	22737008.00664800	28855436.80017500	113927.22941700	104999999.99959999	100000000.00000000	28855436.80012000
60507.72445900	1280668.00000000	22737008.00916100	28855436.79975000	113927.22941000	104999999.99990000	100000000.00010000	28855436.80007000
60507.72447100	1281724.00000000	22737007.99420300	28855436.80049900	113927.22959100	105000000.00020000	100000000.00070000	28855436.79999000
60507.72448400	1282781.00000000	22737007.99407200	28855436.79955900	113927.22956300	105000000.00160000	99999999.99869999	28855436.79990000
60507.72449600	1283837.00000000	22737008.00251200	28855436.79998000	113927.22949900	105000000.00090000	99999999.99980000	28855436.80008000
60507.72450800	1284892.00000000	22737007.99715600	28855436.80007500	113927.22962600	105000000.00080000	100000000.00049999	28855436.80014000
60507.72452000	1285949.00000000	22737008.00288800	28855436.79996800	113927.22944400	104999999.99940000	99999999.99959999	28855436.79974000
60507.72453300	1287006.00000000	22737007.99488800	28855436.79989000	113927.22953300	104999999.99980000	100000000.00110000	28855436.79999000
60507.72454500	1288060.00000000	22737008.00558400	28855436.80011700	113927.22936500	105000000.00139999	99999999.99740000	28855436.79995000
60507.72455700	1289117.00000000	22737007.99994600	28855436.80014100	113927.22981900	104999999.99980000	99999999.99969999	28855436.80017000
