fo_ErYb,SDR:fb_Yb_ErYb,SDR:frep_ErYb,fb_Si_ErYb,MJD,nuSi,nuSr,nuYb
105000000.00000000,28855436.79989800,113927.22943800,99999999.99860001,60507.710445,194397939719149.24068800,429228169936071.1372004249302,518295773594728.66101000
105000000.00010000,28855436.79994500,113927.22932300,100000000.00020000,60507.710457,194397939719126.88744800,429228169936021.7814769432943,518295773594669.06366100
105000000.00020000,28855436.80002100,113927.22966100,100000000.00000000,60507.710469,194397939719192.58653600,429228169936166.8443859588851,518295773594844.22761500
105000000.00160000,28855436.80015200,113927.22972700,99999999.99969999,60507.710481,194397939719205.41535200,429228169936195.1702794353022,518295773594878.43099500
105000000.00080000,28855436.80061000,113927.22943600,100000000.00060000,60507.710493,194397939719148.85193600,429228169936070.2788400165540,518295773594727.62311200
105000000.00070000,28855436.80009700,113927.22937200,99999999.99840000,60507.710506,194397939719136.41187200,429228169936042.8113069485131,518295773594694.45697000
104999999.99890000,28855436.80004300,113927.22966100,100000000.00049999,60507.710518,194397939719192.58653600,429228169936166.8443859588851,518295773594844.22757100
105000000.00120001,28855436.80020400,113927.22945500,100000000.00040001,60507.710531,194397939719152.54508000,429228169936078.4332638961286,518295773594737.47042700
,,,,60507.710544,,,
,,,,60507.710556,,,
104999999.99950001,28855436.79987300,113927.22949700,99999999.99810000,60507.710569,194397939719160.70887200,429228169936096.4588324720304,518295773594759.23704300
105000000.00010000,28855436.79981600,113927.22935200,99999999.99980000,60507.710581,194397939719132.52435200,429228169936034.2277028647503,518295773594684.09279200
105000000.00110000,28855436.79982100,113927.22966100,100000000.00080000,60507.710593,194397939719192.58653600,429228169936166.8443859588851,518295773594844.22801500
104999999.99959999,28855436.79989400,113927.22983700,99999999.99959999,60507.710606,194397939719226.79671200,429228169936242.3801018959974,518295773594935.43758100
105000000.00010000,28855436.79988400,113927.22931400,100000000.00070000,60507.710618,194397939719125.13806400,429228169936017.9188551056011,518295773594664.39965000
105000000.00170000,28855436.79974300,113927.22970200,99999999.99830000,60507.71063,194397939719200.55595200,429228169936184.4407743305987,518295773594865.47588800
105000000.00060000,28855436.80082700,113927.22961000,100000000.00020000,60507.710642,194397939719182.67336000,429228169936144.9561955452900,518295773594817.79591600
105000000.00090000,28855436.79965700,113927.22942500,99999999.99969999,60507.710654,194397939719146.71380000,429228169936065.5578577704844,518295773594721.92441100
105000000.00090000,28855436.80025300,113927.22952400,99999999.99879999,60507.710667,194397939719165.95702400,429228169936108.0466979851101,518295773594773.22868200
105000000.00010000,28855436.79994700,113927.22958500,100000000.00100000,60507.710679,194397939719177.81396000,429228169936134.2266904405866,518295773594804.84175100
