"MJD" "shift"
"60507.6910236320" "-165702996.6987505257130"
"60507.6911163475" "-165702996.6240468323231"
"60507.6912090353" "-165702996.6079151034355"
"60507.6913016977" "-165702996.6512292921543"
"60507.6913943994" "-165702996.6553523540497"
"60507.6914871162" "-165702996.6682763397694"
"60507.6915797983" "-165702996.6922187209129"
"60507.6916724854" "-165702996.7368190884590"
"60507.6917651540" "-165702996.7670523822308"
"60507.6918579710" "-165702996.6996124982834"
"60507.6919505777" "-165702996.5959428846836"
"60507.6920432507" "-165702996.6781062185764"
"60507.6921359290" "-165702996.6977093219757"
"60507.6922286254" "-165702996.6611630320549"
"60507.6923213294" "-165702996.6058073937893"
"60507.6924140376" "-165702996.7537238597870"
"60507.6925067049" "-165702996.7902551293373"
"60507.6925993391" "-165702996.7693425714970"
"60507.6926920546" "-165702996.6871643960476"
"60507.6927847811" "-165702996.7016403079033"
"60507.6928774206" "-165702996.7561468780041"
"60507.6929700924" "-165702996.7329770624638"
"60507.6930628435" "-165702996.6871308982372"
"60507.6931554748" "-165702996.6791723072529"
"60507.6932481894" "-165702996.6288162767887"
"60507.6933409197" "-165702996.6655855476856"
"60507.6934335632" "-165702996.6988059878349"
"60507.6935262689" "-165702996.7083103358746"
"60507.6936188975" "-165702996.6483878195286"
"60507.6937116350" "-165702996.6320314407349"
"60507.6938043115" "-165702996.7282814383507"
"60507.6938970214" "-165702996.7337186336517"
"60507.6939896597" "-165702996.6839538812637"
"60507.6940823951" "-165702996.7119544148445"
"60507.6941751021" "-165702996.6906711757183"
"60507.6942678054" "-165702996.6665763258934"
"60507.6943604944" "-165702996.6632530689240"
"60507.6944531257" "-165702996.5824012756348"
"60507.6945458554" "-165702996.6182548403740"
"60507.6946385355" "-165702996.6776215434074"
"60507.6947312531" "-165702996.6666468083858"
"60507.6948239153" "-165702996.6770424842834"
"60507.6949166128" "-165702996.6741671264172"
"60507.6950093100" "-165702996.6766876876354"
"60507.6951020081" "-165702996.6509637236595"
"60507.6951946389" "-165702996.5906234979630"
"60507.6952874081" "-165702996.5258047282696"
"60507.6953800160" "-165702996.6612467467785"
"60507.6954727279" "-165702996.7150264382362"
"60507.6955654387" "-165702996.6461494266987"
"60507.6956580719" "-165702996.6636689603329"
"60507.6957508126" "-165702996.6997314393520"
"60507.6958435004" "-165702996.6611504256725"
"60507.6959362328" "-165702996.5873938500881"
"60507.6960288667" "-165702996.7039599120617"
"60507.6961215890" "-165702996.7585426568985"
"60507.6962142814" "-165702996.6762507855892"
