"MJD" "shift"
"60507.70923411" "63000001.99050188809633"
"60507.70925090" "63000001.98943506181240"
"60507.70926771" "63000001.98836400359869"
"60507.70928453" "63000001.98728879541159"
"60507.70930133" "63000001.98620951175690"
"60507.70931811" "63000001.98512624949217"
"60507.70933493" "63000001.98403909057379"
"60507.70935174" "63000001.98294810950756"
"60507.70936855" "63000001.98185340315104"
"60507.70938534" "63000001.98075505346060"
"60507.70940215" "63000001.97965314239264"
"60507.70941894" "63000001.97854775190353"
"60507.70943576" "63000001.97743897140026"
"60507.70945257" "63000001.97632689028978"
"60507.70946937" "63000001.97521159052849"
"60507.70948617" "63000001.97409314662218"
"60507.70950297" "63000001.97297165542841"
"60507.70951977" "63000001.97184719890356"
"60507.70953659" "63000001.97071985900402"
"60507.70955338" "63000001.96958971768618"
"60507.70957020" "63000001.96845686435699"
"60507.70958699" "63000001.96732138842344"
"60507.70960382" "63000001.96618337184191"
"60507.70962061" "63000001.96504288911819"
"60507.70963741" "63000001.96390003710985"
"60507.70965421" "63000001.96275489777327"
"60507.70967103" "63000001.96160755306482"
"60507.70968782" "63000001.96045809239149"
"60507.70970463" "63000001.95930659025908"
"60507.70972144" "63000001.95815314352512"
"60507.70973824" "63000001.95699783414602"
"60507.70975504" "63000001.95584074407816"
"60507.70977186" "63000001.95468195527792"
"60507.70978865" "63000001.95352155715227"
"60507.70980547" "63000001.95235963165760"
"60507.70982227" "63000001.95119626820087"
"60507.70983908" "63000001.95003154873848"
"60507.70985588" "63000001.94886555522680"
"60507.70987269" "63000001.94769837707281"
"60507.70988949" "63000001.94653009623289"
"60507.70990629" "63000001.94536079466343"
"60507.70992310" "63000001.94419056922197"
"60507.70993990" "63000001.94301948696375"
"60507.70995671" "63000001.94184764474630"
"60507.70997351" "63000001.94067513197660"
"60507.70999032" "63000001.93950201570988"
"60507.71000710" "63000001.93832839280367"
"60507.71002391" "63000001.93715435266495"
"60507.71004073" "63000001.93597996979952"
"60507.71005753" "63000001.93480532616377"
"60507.71007434" "63000001.93363051861525"
"60507.71009113" "63000001.93245562911034"
"60507.71010793" "63000001.93128073960543"
"60507.71012475" "63000001.93010593205690"
"60507.71014156" "63000001.92893129587173"
"60507.71015835" "63000001.92775690555573"
"60507.71017517" "63000001.92658286541700"
"60507.71019196" "63000001.92540924251080"
"60507.71020877" "63000001.92423613369465"
"60507.71022559" "63000001.92306361347437"
"60507.71024239" "63000001.92189177125692"
"60507.71025920" "63000001.92072069644928"
"60507.71027599" "63000001.91955046355724"
"60507.71029280" "63000001.91838116198778"
"60507.71030960" "63000001.91721288114786"
"60507.71032641" "63000001.91604570299387"
"60507.71034322" "63000001.91487971693277"
"60507.71036001" "63000001.91371499001980"
"60507.71037682" "63000001.91255162656307"
"60507.71039361" "63000001.91138970106840"
"60507.71041044" "63000001.91022930294275"
"60507.71042724" "63000001.90907052159309"
"60507.71044404" "63000001.90791342407465"
"60507.71046084" "63000001.90675811469555"
"60507.71047764" "63000001.90560466796160"
"60507.71049446" "63000001.90445317327976"
"60507.71051126" "63000001.90330370515585"
"60507.71052806" "63000001.90215636044741"
