07/16/2024	11:01:52	(analyzed:  7/16/2024)
MJD	timer	SDR:frep_TiS	fo_TiS	fb_Si_TiS	fb_Al_TiS	fb_Yb_TiS
60507.710078	38143.000000	379043.157109	9999999.999990	639999999.998000	43723669.665400	142219674.180300
60507.710090	39198.000000	379043.156793	9999999.999950	639999999.997000	43723670.505400	142219674.151300
60507.710102	40253.000000	379043.156994	10000000.000140	640000000.001000	43723669.896400	142219674.140900
60507.710115	41309.000000	379043.156700	9999999.999970	640000000.000000	43723668.807200	142219674.160500
60507.710127	42365.000000	379043.157211	10000000.000020	640000000.000000	43723669.096100	142219674.155300
60507.710139	43422.000000	379043.157098	9999999.999990	640000000.001000	43723669.980900	142219674.158000
60507.710151	44478.000000	379043.157059	10000000.000090	640000000.001000	43723669.662900	142219674.165400
60507.710164	45534.000000	379043.157177	9999999.999870	639999999.999000	43723669.934300	142219674.129700
60507.710176	46590.000000	379043.156929	9999999.999940	640000000.006000	43723670.109300	142219674.146800
60507.710188	47647.000000	379043.157029	9999999.999990	639999999.998000	43723670.216700	142219674.144400
60507.710200	48703.000000	379043.156820	10000000.000070	639999999.998000	43723669.983500	142219674.142000
60507.710212	49759.000000	379043.157158	10000000.000090	640000000.001000	43723670.023700	142219674.151800
60507.710225	50814.000000	379043.157064	10000000.000040	640000000.001000	43723670.438700	142219674.142000
60507.710237	51867.000000	379043.157056	9999999.999910	639999999.999000	43723670.652300	NaN
60507.710249	52924.000000	379043.156746	9999999.999940	640000000.002000	43723670.833800	142219674.143800
60507.710261	53980.000000	379043.157060	10000000.000020	639999999.999000	43723670.628500	142219674.165900
60507.710273	55034.000000	379043.157016	10000000.000090	639999999.999000	43723670.632700	142219674.167300
60507.710286	56090.000000	379043.157273	10000000.000160	639999999.999000	43723669.928700	142219674.150200
60507.710298	57146.000000	379043.157022	10000000.000050	640000000.006000	43723669.907600	142219674.162300
60507.710310	58203.000000	379043.156952	10000000.000060	639999999.999000	43723670.844500	142219674.153200
60507.710322	59259.000000	379043.156978	9999999.999900	639999999.998000	43723671.127100	142219674.168800
60507.710335	60313.000000	379043.156983	9999999.999970	640000000.000000	43723670.959100	142219674.146900
60507.710347	61369.000000	379043.157315	9999999.999910	640000000.002000	43723671.646700	142219674.160200
60507.710359	62426.000000	379043.157155	10000000.000110	639999999.995000	43723671.066900	142219674.157000
60507.710371	63480.000000	379043.156858	9999999.999880	640000000.006000	43723671.402300	142219674.148300
60507.710383	64536.000000	379043.156847	9999999.999980	639999999.999000	43723671.097600	142219674.154300
60507.710396	65591.000000	379043.157256	10000000.000110	639999999.998000	43723669.930900	142219674.152300
60507.710408	66646.000000	379043.157064	9999999.999920	639999999.998000	43723671.081600	142219674.160000
60507.710420	67702.000000	379043.156911	10000000.000070	640000000.001000	43723671.038900	142219674.169500
60507.710432	68757.000000	379043.156819	10000000.000120	639999999.999000	43723671.988400	142219674.146400
60507.710445	69814.000000	379043.157163	10000000.000040	640000000.005000	43723670.615600	142219674.146900
60507.710457	70871.000000	379043.157210	9999999.999930	640000000.005000	43723671.968800	142219674.145000
60507.710469	71927.000000	379043.156916	9999999.999900	640000000.000000	43723673.204700	142219674.164800
60507.710481	72983.000000	379043.156803	9999999.999980	640000000.001000	43723672.574900	142219674.148400
60507.710493	74039.000000	379043.157060	9999999.999900	640000000.001000	43723671.875200	142219674.156500
60507.710506	75095.000000	379043.157149	9999999.999980	640000000.000000	43723672.192800	142219674.140300
60507.710518	76151.000000	379043.156884	9999999.999990	639999999.997000	43723672.363700	142219674.150900
60507.710531	77291.000000	379043.157121	10000000.000110	639999999.998000	43723672.920000	142219674.153300
60507.710544	78424.000000	NaN	9999999.999890	639999999.999000	43723672.426200	142219674.156900
60507.710556	79479.000000	NaN	9999999.999920	640000000.004000	43723672.866200	142219674.159800
60507.710569	80535.000000	379043.157110	10000000.000080	639999999.995000	43723672.451200	142219674.153800
60507.710581	81610.000000	379043.157214	10000000.000080	639999999.998000	43723673.180000	142219674.147100
60507.710593	82667.000000	379043.156890	10000000.000050	640000000.002000	43723673.514800	142219674.154400
60507.710606	83725.000000	379043.156757	10000000.000040	640000000.000000	43723673.489600	142219674.154900
60507.710618	84780.000000	379043.157285	9999999.999990	639999999.999000	43723674.554100	142219674.165600
