07/16/2024	11:01:52	(analyzed:  7/16/2024)
MJD	timer	SDR:frep_TiS	fo_TiS	fb_Si_TiS	fb_Al_TiS	fb_Yb_TiS
60507.742316	2823500.000000	379043.156898	10000000.000070	639999999.999000	43723959.166300	142219674.149600
60507.742328	2824558.000000	379043.157351	10000000.000030	640000000.004000	43723959.235100	142219674.156200
60507.742341	2825614.000000	379043.157070	10000000.000090	640000000.000000	43723957.511000	142219674.149900
60507.742353	2826668.000000	379043.156726	9999999.999920	639999999.996000	43723958.825100	142219674.160600
60507.742365	2827722.000000	379043.157097	10000000.000060	640000000.001000	43723958.132300	142219674.156200
60507.742377	2828779.000000	379043.157036	10000000.000000	640000000.002000	43723959.554300	142219674.134400
60507.742390	2829836.000000	379043.157214	10000000.000060	640000000.000000	43723960.353100	142219674.175900
60507.742402	2830890.000000	379043.156798	10000000.000170	639999999.998000	43723960.042800	142219674.140800
60507.742414	2831945.000000	379043.156926	10000000.000040	640000000.001000	43723961.493500	142219674.154400
60507.742426	2832999.000000	379043.156840	10000000.000070	640000000.006000	43723959.318700	142219674.149200
60507.742438	2834056.000000	379043.157306	9999999.999980	640000000.003000	43723960.042500	142219674.143300
60507.742451	2835112.000000	379043.156979	10000000.000130	639999999.999000	43723960.766600	142219674.174500
60507.742463	2836166.000000	379043.157215	10000000.000050	640000000.000000	43723960.453200	142219674.153900
60507.742475	2837223.000000	379043.156642	10000000.000070	640000000.006000	43723960.620300	142219674.151500
60507.742487	2838279.000000	379043.156988	9999999.999990	639999999.997000	43723962.383500	142219674.145900
60507.742499	2839334.000000	379043.157141	10000000.000020	640000000.002000	43723961.295200	142219674.155900
60507.742512	2840391.000000	379043.156965	9999999.999920	640000000.001000	43723960.795000	142219674.160600
60507.742524	2841445.000000	379043.157139	10000000.000110	639999999.999000	43723961.854000	142219674.146700
60507.742536	2842500.000000	379043.157433	9999999.999880	639999999.998000	43723959.929700	142219674.161900
60507.742548	2843555.000000	379043.156701	10000000.000040	640000000.003000	43723962.576100	142219674.163200
60507.742561	2844611.000000	379043.157281	10000000.000080	639999999.997000	43723960.682200	142219674.155500
60507.742573	2845667.000000	379043.156819	10000000.000010	640000000.000000	43723962.670700	142219674.135800
60507.742585	2846724.000000	379043.156813	10000000.000110	640000000.000000	43723961.726000	142219674.159300
60507.742597	2847780.000000	379043.157169	10000000.000050	639999999.999000	43723962.946600	142219674.164700
60507.742610	2848899.000000	379043.157177	10000000.000060	640000000.001000	43723962.495300	142219674.163000
60507.742622	2849955.000000	379043.157162	10000000.000010	640000000.000000	43723961.670700	142219674.148700
60507.742635	2851009.000000	379043.156884	9999999.999980	639999999.999000	43723961.565400	142219674.162300
60507.742647	2852064.000000	379043.156937	9999999.999880	640000000.003000	43723963.479900	142219674.143800
60507.742659	2853121.000000	379043.156966	9999999.999980	640000000.004000	43723960.530100	142219674.162700
60507.742671	2854177.000000	379043.157067	10000000.000000	640000000.004000	43723962.833700	142219674.156200
60507.742683	2855232.000000	379043.157013	10000000.000130	639999999.999000	43723962.135800	142219674.141400
60507.742696	2856288.000000	379043.157290	10000000.000140	639999999.998000	43723962.500900	142219674.147600
60507.742708	2857345.000000	379043.157050	9999999.999990	640000000.004000	43723961.963100	142219674.171100
60507.742720	2858401.000000	379043.157102	9999999.999990	640000000.000000	43723963.317300	142219674.163500
60507.742732	2859459.000000	379043.156997	10000000.000070	639999999.997000	43723965.066500	142219674.151500
60507.742745	2860513.000000	379043.156798	9999999.999960	639999999.998000	43723963.827600	142219674.151600
60507.742757	2861568.000000	379043.156923	10000000.000130	640000000.000000	43723965.665600	142219674.147800
60507.742769	2862625.000000	379043.157114	10000000.000030	640000000.003000	43723962.758200	142219674.169900
60507.742781	2863682.000000	379043.157045	10000000.000000	640000000.001000	43723963.326500	142219674.157200
60507.742793	2864736.000000	379043.157021	10000000.000040	640000000.000000	43723963.564700	142219674.134600
60507.742806	2865792.000000	379043.156991	10000000.000020	640000000.001000	43723963.072600	142219674.174500
60507.742818	2866847.000000	379043.156814	9999999.999910	639999999.997000	43723964.823200	142219674.162500
60507.742830	2867901.000000	379043.157277	10000000.000060	640000000.005000	43723963.103800	142219674.130800
60507.742842	2868958.000000	379043.157076	9999999.999960	639999999.999000	43723964.358000	142219674.157400
60507.742855	2870014.000000	379043.156695	10000000.000000	639999999.999000	43723963.939100	142219674.154100
60507.742867	2871070.000000	379043.157101	9999999.999980	639999999.999000	43723963.845000	142219674.148500
60507.742879	2872126.000000	379043.157163	9999999.999920	640000000.006000	43723963.981600	142219674.151600
60507.742891	2873182.000000	379043.156983	10000000.000130	639999999.998000	43723964.322100	142219674.155900
60507.742903	2874238.000000	379043.156834	10000000.000010	639999999.999000	43723963.592100	142219674.154000
60507.742916	2875294.000000	379043.157003	10000000.000030	640000000.001000	43723963.508400	142219674.151400
60507.742928	2876349.000000	379043.156955	9999999.999950	639999999.998000	43723964.849000	142219674.151000
60507.742940	2877406.000000	379043.157289	10000000.000100	640000000.000000	43723965.086000	142219674.139100
60507.742952	2878462.000000	379043.157036	10000000.000040	639999999.999000	43723963.915200	142219674.140600
60507.742965	2879517.000000	379043.156763	9999999.999980	639999999.998000	43723963.376700	142219674.176500
60507.742977	2880571.000000	379043.157136	9999999.999980	640000000.001000	43723964.567900	142219674.163900
60507.742989	2881626.000000	379043.157033	10000000.000050	640000000.001000	43723965.625100	142219674.158700
60507.743001	2882682.000000	379043.157082	10000000.000080	640000000.003000	43723966.906200	142219674.144200
60507.743013	2883738.000000	379043.157018	10000000.000010	639999999.998000	43723964.608100	142219674.146300
60507.743026	2884794.000000	379043.157149	9999999.999920	639999999.996000	43723965.632400	142219674.149400
60507.743038	2885850.000000	379043.157001	9999999.999920	640000000.005000	43723967.309400	142219674.140500
60507.743050	2886907.000000	379043.156841	9999999.999940	639999999.999000	43723967.246500	142219674.156600
60507.743062	2887962.000000	379043.157055	10000000.000090	639999999.999000	43723965.058400	142219674.155100
60507.743075	2889018.000000	379043.157148	9999999.999940	640000000.005000	43723965.606600	142219674.165000
60507.743087	2890074.000000	379043.157126	10000000.000040	639999999.998000	43723965.720100	142219674.163700
60507.743099	2891129.000000	379043.156825	9999999.999970	639999999.996000	43723967.591700	142219674.158400
60507.743111	2892185.000000	379043.157084	9999999.999960	640000000.000000	43723965.759900	142219674.130500
60507.743123	2893243.000000	379043.156938	10000000.000060	639999999.999000	43723966.099300	142219674.155200
60507.743136	2894301.000000	379043.157239	10000000.000000	639999999.999000	43723967.200800	142219674.155800
60507.743148	2895356.000000	379043.156900	10000000.000000	639999999.999000	43723966.539500	142219674.157100
60507.743160	2896412.000000	379043.156833	9999999.999990	640000000.003000	43723967.004800	142219674.166200
60507.743172	2897469.000000	379043.156781	9999999.999960	640000000.001000	43723969.343900	142219674.140900
60507.743185	2898523.000000	379043.157116	10000000.000000	639999999.997000	43723968.176700	142219674.161300
60507.743197	2899579.000000	379043.156794	10000000.000020	639999999.998000	43723967.993100	142219674.175000
60507.743209	2900633.000000	379043.157112	10000000.000030	639999999.998000	43723967.150100	142219674.149300
60507.743221	2901690.000000	379043.157134	10000000.000040	639999999.998000	43723967.375000	142219674.171900
60507.743233	2902746.000000	379043.156545	10000000.000000	640000000.001000	43723965.006100	142219674.147400
60507.743246	2903803.000000	379043.157054	10000000.000100	640000000.001000	43723967.189100	142219674.140200
60507.743258	2904858.000000	379043.157348	10000000.000060	640000000.001000	43723968.760100	142219674.145400
60507.743270	2905914.000000	379043.156913	10000000.000190	640000000.003000	43723967.125700	142219674.160000
60507.743282	2906971.000000	379043.157066	9999999.999890	640000000.000000	43723967.014300	142219674.154800
60507.743295	2908026.000000	379043.157063	10000000.000000	640000000.000000	43723968.175000	142219674.145000
60507.743307	2909082.000000	379043.156581	9999999.999970	640000000.003000	43723967.269100	142219674.161100
60507.743319	2910138.000000	379043.157464	10000000.000020	639999999.997000	43723968.972900	142219674.126900
60507.743331	2911193.000000	379043.157011	9999999.999880	640000000.000000	43723966.483100	142219674.153100
60507.743343	2912249.000000	379043.156778	9999999.999980	640000000.000000	43723967.497200	142219674.160800
60507.743356	2913307.000000	379043.157351	9999999.999980	639999999.999000	43723970.278900	142219674.144300
60507.743368	2914363.000000	379043.157019	10000000.000080	640000000.001000	43723970.119600	142219674.163900
60507.743380	2915419.000000	379043.156736	9999999.999970	640000000.001000	43723967.642100	142219674.151800
60507.743392	2916474.000000	379043.157152	10000000.000040	639999999.997000	43723968.103300	142219674.149000
60507.743405	2917529.000000	379043.157250	10000000.000050	639999999.997000	43723967.121600	142219674.145000
60507.743417	2918585.000000	379043.157054	9999999.999970	640000000.000000	43723968.434600	142219674.162800
60507.743429	2919641.000000	379043.156947	10000000.000100	639999999.999000	43723969.265200	142219674.157400
60507.743441	2920695.000000	379043.157057	10000000.000130	640000000.002000	43723970.594600	142219674.153200
60507.743453	2921752.000000	379043.156970	10000000.000030	639999999.998000	43723969.152100	142219674.149300
60507.743466	2922805.000000	379043.157124	9999999.999960	640000000.004000	43723969.446700	142219674.152300
60507.743478	2923862.000000	379043.156878	10000000.000000	640000000.000000	43723969.134800	142219674.150700
60507.743490	2924919.000000	379043.156825	10000000.000030	640000000.000000	43723969.330700	142219674.155800
60507.743502	2925974.000000	379043.157317	9999999.999890	639999999.994000	43723968.675900	142219674.151800
60507.743514	2927032.000000	379043.157313	10000000.000030	640000000.001000	43723969.810100	142219674.155200
60507.743527	2928087.000000	379043.156750	9999999.999960	639999999.998000	43723969.654400	142219674.160600
60507.743539	2929142.000000	379043.156975	9999999.999980	640000000.004000	43723967.556400	142219674.144300
60507.743551	2930199.000000	379043.156988	9999999.999980	639999999.999000	43723970.011400	142219674.139200
60507.743563	2931253.000000	379043.157151	10000000.000090	640000000.000000	43723970.872300	142219674.165200
60507.743576	2932310.000000	379043.157038	10000000.000030	640000000.001000	43723971.024800	142219674.132200
60507.743588	2933366.000000	379043.157137	10000000.000080	640000000.003000	43723971.847300	142219674.168900
60507.743600	2934421.000000	379043.156867	10000000.000020	640000000.003000	43723969.169200	142219674.155300
60507.743612	2935478.000000	379043.157149	10000000.000070	640000000.000000	43723969.292600	142219674.155300
60507.743624	2936533.000000	379043.157284	10000000.000090	639999999.995000	43723971.598000	142219674.159600
60507.743637	2937588.000000	379043.156959	9999999.999880	640000000.002000	43723971.201800	142219674.153500
60507.743649	2938644.000000	379043.157018	10000000.000090	640000000.002000	43723969.468600	142219674.145300
60507.743661	2939699.000000	379043.157041	10000000.000240	640000000.001000	43723970.567300	142219674.156800
60507.743673	2940754.000000	379043.156977	10000000.000000	639999999.997000	43723969.001800	142219674.154300
60507.743686	2941811.000000	379043.157080	9999999.999940	640000000.001000	43723972.515000	142219674.164400
60507.743698	2942868.000000	379043.156756	9999999.999930	639999999.999000	43723972.092600	142219674.176000
60507.743710	2943926.000000	379043.157465	10000000.000090	640000000.001000	43723970.897700	142219674.137200
60507.743722	2944982.000000	379043.156848	10000000.000030	639999999.998000	43723970.562100	142219674.173400
60507.743734	2946038.000000	379043.156891	10000000.000070	640000000.000000	43723971.617900	142219674.147600
60507.743747	2947095.000000	379043.157198	9999999.999980	639999999.998000	43723971.860000	142219674.147200
60507.743759	2948151.000000	379043.157226	10000000.000010	640000000.000000	43723973.850400	142219674.160300
60507.743771	2949205.000000	379043.156930	9999999.999920	640000000.003000	43723972.049300	142219674.164800
60507.743783	2950262.000000	379043.157039	10000000.000060	639999999.997000	43723971.200400	142219674.148900
60507.743796	2951317.000000	379043.157045	9999999.999980	639999999.999000	43723972.569600	142219674.146000
60507.743808	2952372.000000	379043.156920	9999999.999940	640000000.001000	43723972.830200	142219674.164600
60507.743820	2953430.000000	379043.157115	10000000.000020	639999999.999000	43723972.014600	142219674.160400
60507.743832	2954484.000000	379043.157069	9999999.999910	640000000.000000	43723972.415800	142219674.148100
60507.743844	2955539.000000	379043.157129	10000000.000080	640000000.003000	43723973.058200	142219674.168200
60507.743857	2956596.000000	379043.156917	9999999.999950	639999999.999000	43723974.333000	142219674.165400
60507.743869	2957652.000000	379043.156713	10000000.000050	640000000.005000	43723974.084600	142219674.168600
60507.743881	2958709.000000	379043.157085	10000000.000050	640000000.000000	43723973.875600	142219674.144000
60507.743893	2959765.000000	379043.157115	9999999.999980	639999999.995000	43723971.736800	142219674.133000
60507.743906	2960824.000000	379043.156868	10000000.000150	640000000.002000	43723971.984600	142219674.148700
60507.743918	2961880.000000	379043.157244	10000000.000030	640000000.005000	43723973.098100	142219674.143300
60507.743930	2962934.000000	379043.156927	10000000.000020	639999999.999000	43723971.875400	142219674.140500
60507.743942	2963991.000000	379043.157057	10000000.000050	640000000.000000	43723974.087600	142219674.174500
60507.743954	2965047.000000	379043.157097	9999999.999960	639999999.995000	43723973.639600	142219674.128000
60507.743967	2966102.000000	379043.156946	10000000.000050	640000000.003000	43723974.188900	142219674.183500
60507.743979	2967159.000000	379043.156799	9999999.999880	640000000.001000	43723973.402000	142219674.163100
60507.743991	2968215.000000	379043.156992	9999999.999970	639999999.999000	43723975.303300	142219674.157700
60507.744003	2969269.000000	379043.156980	10000000.000030	639999999.997000	43723974.982600	142219674.142900
60507.744016	2970326.000000	379043.157223	9999999.999930	640000000.000000	43723972.783200	142219674.136100
60507.744028	2971381.000000	379043.157040	10000000.000050	639999999.999000	43723973.343500	142219674.151000
60507.744040	2972435.000000	379043.156818	10000000.000080	640000000.000000	43723977.238200	142219674.140700
60507.744052	2973500.000000	379043.157181	9999999.999990	640000000.000000	43723973.102500	142219674.164400
60507.744065	2974555.000000	379043.156927	9999999.999780	639999999.999000	43723975.385100	142219674.142700
60507.744077	2975610.000000	379043.156893	10000000.000030	640000000.004000	43723976.980100	142219674.152400
60507.744089	2976667.000000	379043.157148	9999999.999970	639999999.998000	43723974.830500	142219674.152800
60507.744101	2977739.000000	379043.157300	9999999.999950	639999999.999000	43723974.187500	142219674.156100
60507.744114	2978794.000000	379043.156946	9999999.999980	639999999.997000	43723974.654900	142219674.163700
60507.744126	2979850.000000	379043.156765	10000000.000140	640000000.004000	43723974.153400	142219674.141500
60507.744138	2980907.000000	379043.157165	10000000.000010	640000000.000000	43723974.820600	142219674.164800
60507.744150	2981963.000000	379043.157133	9999999.999920	640000000.001000	43723974.714300	142219674.149500
60507.744162	2983019.000000	379043.157012	9999999.999970	640000000.001000	43723973.838600	142219674.150800
60507.744175	2984076.000000	379043.156869	10000000.000050	640000000.000000	43723975.392600	142219674.158000
60507.744187	2985133.000000	379043.156965	10000000.000030	640000000.000000	43723974.657000	142219674.161700
60507.744199	2986190.000000	379043.157212	10000000.000110	640000000.001000	43723975.132500	142219674.174800
60507.744211	2987247.000000	379043.156943	10000000.000100	639999999.998000	43723975.339900	142219674.143800
60507.744224	2988301.000000	379043.156789	10000000.000080	639999999.999000	43723974.781300	142219674.143300
60507.744236	2989358.000000	379043.157086	9999999.999960	640000000.003000	43723974.076900	142219674.138800
60507.744248	2990414.000000	379043.157044	10000000.000000	639999999.999000	43723975.406100	142219674.162400
60507.744260	2991469.000000	379043.156847	10000000.000030	640000000.000000	43723976.650700	142219674.161500
60507.744273	2992526.000000	379043.157392	10000000.000090	639999999.998000	43723977.198700	142219674.147200
60507.744285	2993580.000000	379043.156822	9999999.999990	640000000.003000	43723976.029300	142219674.168500
60507.744297	2994637.000000	379043.156951	10000000.000030	640000000.000000	43723977.882400	142219674.161800
60507.744309	2995693.000000	379043.157181	9999999.999920	640000000.000000	43723976.335200	142219674.141100
60507.744321	2996749.000000	379043.157002	10000000.000030	640000000.001000	43723976.711600	142219674.165600
60507.744334	2997806.000000	379043.156954	10000000.000070	640000000.001000	43723977.455900	142219674.163000
60507.744346	2998863.000000	379043.156864	10000000.000120	640000000.002000	43723979.335300	142219674.146400
60507.744358	2999918.000000	379043.157341	10000000.000010	640000000.000000	43723977.908400	142219674.141400
60507.744370	3000974.000000	379043.157075	10000000.000020	640000000.003000	43723978.573600	142219674.159000
60507.744383	3002030.000000	379043.156845	10000000.000020	640000000.000000	43723977.332900	142219674.151900
60507.744395	3003085.000000	379043.156906	10000000.000010	639999999.999000	43723977.337700	142219674.159000
60507.744407	3004141.000000	379043.157142	10000000.000020	640000000.001000	43723978.136900	142219674.152200
60507.744419	3005197.000000	379043.157115	9999999.999940	640000000.000000	43723976.343500	142219674.166200
60507.744431	3006253.000000	379043.157196	9999999.999950	640000000.002000	43723978.159900	142219674.153800
60507.744444	3007309.000000	379043.156818	10000000.000010	640000000.002000	43723976.501000	142219674.129200
60507.744456	3008367.000000	379043.157106	10000000.000060	640000000.001000	43723977.361500	142219674.156200
60507.744468	3009425.000000	379043.156977	10000000.000060	639999999.998000	43723979.040200	142219674.166700
60507.744480	3010480.000000	379043.157009	10000000.000050	640000000.002000	43723978.950000	142219674.145900
60507.744493	3011538.000000	379043.156991	9999999.999960	639999999.999000	43723978.625700	142219674.148800
60507.744505	3012594.000000	379043.157165	10000000.000030	640000000.000000	43723977.088600	142219674.147500
60507.744517	3013657.000000	379043.157025	9999999.999910	640000000.001000	43723979.349500	142219674.130400
60507.744529	3014714.000000	379043.156860	10000000.000090	640000000.000000	43723978.060900	142219674.145300
60507.744542	3015768.000000	379043.156914	10000000.000000	640000000.000000	43723979.206700	142219674.172600
60507.744554	3016824.000000	379043.157223	10000000.000020	639999999.998000	43723978.203400	142219674.154400
60507.744566	3017880.000000	379043.156950	10000000.000000	640000000.000000	43723980.794600	142219674.164800
60507.744578	3018936.000000	379043.156866	10000000.000060	639999999.998000	43723978.765300	142219674.153800
60507.744590	3019992.000000	379043.157300	9999999.999960	640000000.001000	43723977.458000	142219674.145100
60507.744603	3021048.000000	379043.156906	10000000.000130	640000000.004000	43723981.109000	142219674.164000
60507.744615	3022104.000000	379043.157001	9999999.999950	639999999.998000	43723978.935900	142219674.146700
60507.744627	3023159.000000	379043.157025	9999999.999970	639999999.999000	43723978.198300	142219674.144300
60507.744639	3024215.000000	379043.156939	10000000.000030	640000000.001000	43723979.674100	142219674.170000
60507.744652	3025272.000000	379043.157163	10000000.000080	639999999.999000	43723979.758500	142219674.143500
60507.744664	3026329.000000	379043.156978	10000000.000010	640000000.002000	43723979.360300	142219674.158800
60507.744676	3027385.000000	379043.156897	10000000.000020	639999999.996000	43723979.496200	142219674.157500
60507.744688	3028442.000000	379043.157259	10000000.000110	639999999.999000	43723980.330300	142219674.152000
60507.744700	3029498.000000	379043.157110	10000000.000000	639999999.999000	43723980.413700	142219674.160800
60507.744713	3030555.000000	379043.157178	10000000.000040	640000000.000000	43723978.436500	142219674.155200
60507.744725	3031613.000000	379043.157006	9999999.999990	640000000.001000	43723980.660100	142219674.143600
60507.744737	3032667.000000	379043.157042	10000000.000080	639999999.999000	43723981.243100	142219674.168600
60507.744749	3033721.000000	379043.157118	10000000.000060	640000000.003000	43723979.879200	142219674.151500
60507.744762	3034778.000000	379043.156831	10000000.000050	640000000.000000	43723979.764600	142219674.140900
60507.744774	3035834.000000	379043.157054	10000000.000070	639999999.997000	43723979.010400	142219674.155200
60507.744786	3036888.000000	379043.156986	10000000.000030	640000000.003000	43723979.284100	142219674.143500
60507.744798	3037943.000000	379043.156975	10000000.000000	639999999.998000	43723980.486100	142219674.161800
60507.744810	3038999.000000	379043.157055	10000000.000060	640000000.003000	43723983.001900	142219674.161800
60507.744823	3040057.000000	379043.157042	10000000.000000	640000000.003000	43723980.786600	142219674.143400
60507.744835	3041112.000000	379043.157083	9999999.999980	639999999.998000	43723981.501200	142219674.162200
60507.744847	3042167.000000	379043.157013	10000000.000010	640000000.004000	43723983.678100	142219674.140400
60507.744859	3043223.000000	379043.157010	9999999.999970	639999999.999000	43723982.630700	142219674.150600
60507.744872	3044279.000000	379043.156954	10000000.000010	640000000.002000	43723981.454700	142219674.148200
60507.744884	3045335.000000	379043.157038	9999999.999840	640000000.003000	43723983.346200	142219674.147800
60507.744896	3046392.000000	379043.157106	10000000.000000	639999999.996000	43723981.765900	142219674.157500
60507.744908	3047448.000000	379043.157036	10000000.000060	639999999.993000	43723984.298000	142219674.147100
60507.744920	3048505.000000	379043.156700	9999999.999970	640000000.006000	43723981.848300	142219674.149900
60507.744933	3049562.000000	379043.157344	10000000.000100	640000000.001000	43723982.700900	142219674.150900
60507.744945	3050618.000000	379043.156876	9999999.999940	640000000.000000	43723981.409300	142219674.176500
60507.744957	3051673.000000	379043.156990	9999999.999950	640000000.003000	43723982.059500	142219674.159300
60507.744969	3052729.000000	379043.157019	9999999.999920	640000000.000000	43723981.438500	142219674.157900
60507.744982	3053788.000000	379043.157008	9999999.999910	640000000.001000	43723983.438900	142219674.143400
60507.744994	3054844.000000	379043.156940	9999999.999970	639999999.994000	43723983.159800	142219674.139400
60507.745006	3055899.000000	379043.157118	10000000.000020	640000000.000000	43723985.258900	142219674.161800
60507.745018	3056954.000000	379043.157124	9999999.999860	640000000.001000	43723984.276700	142219674.152700
60507.745030	3058009.000000	379043.157210	9999999.999820	640000000.003000	43723984.741500	142219674.145800
60507.745043	3059065.000000	379043.157035	10000000.000040	639999999.997000	43723985.176400	142219674.145400
60507.745055	3060120.000000	379043.157072	9999999.999970	640000000.000000	43723984.755500	142219674.140800
60507.745067	3061176.000000	379043.156870	9999999.999920	639999999.999000	43723983.868800	142219674.140600
60507.745079	3062232.000000	379043.156957	10000000.000120	640000000.001000	43723983.627100	142219674.168000
60507.745092	3063288.000000	379043.157182	10000000.000090	640000000.008000	43723983.402300	142219674.151300
60507.745104	3064345.000000	379043.157233	9999999.999920	639999999.997000	43723984.143900	142219674.153300
60507.745116	3065401.000000	379043.156906	9999999.999890	640000000.000000	43723983.672300	142219674.151600
60507.745128	3066458.000000	379043.157075	10000000.000030	639999999.999000	43723983.101400	142219674.162200
60507.745140	3067513.000000	379043.157395	10000000.000120	639999999.997000	43723985.588000	142219674.166200
60507.745153	3068571.000000	379043.157176	10000000.000000	640000000.000000	43723982.515700	142219674.165100
60507.745165	3069627.000000	379043.156808	10000000.000030	640000000.000000	43723985.946700	142219674.170300
60507.745177	3070683.000000	379043.157185	10000000.000030	639999999.999000	43723983.490600	142219674.163900
60507.745189	3071739.000000	379043.157159	9999999.999990	640000000.001000	43723983.571500	142219674.164100
60507.745202	3072796.000000	379043.156879	10000000.000040	639999999.999000	43723984.139800	142219674.154600
60507.745214	3073853.000000	379043.156802	10000000.000040	639999999.999000	43723984.807400	142219674.144900
60507.745226	3074911.000000	379043.157167	10000000.000020	640000000.000000	43723985.042300	142219674.162700
60507.745238	3075967.000000	379043.157296	10000000.000130	640000000.002000	43723984.609000	142219674.156800
60507.745251	3077024.000000	379043.157030	9999999.999990	640000000.001000	43723984.428800	142219674.159200
60507.745263	3078079.000000	379043.156830	10000000.000030	640000000.001000	43723983.300200	142219674.139700
60507.745275	3079134.000000	379043.157097	9999999.999990	640000000.004000	43723984.592500	142219674.171700
60507.745287	3080192.000000	379043.157226	10000000.000110	640000000.003000	43723984.117500	142219674.154800
60507.745299	3081249.000000	379043.157052	9999999.999970	640000000.001000	43723986.163300	142219674.155500
60507.745312	3082305.000000	379043.156764	9999999.999930	640000000.000000	43723986.389400	142219674.148300
60507.745324	3083361.000000	379043.157324	10000000.000020	640000000.001000	43723984.055600	142219674.150400
60507.745336	3084416.000000	379043.156912	9999999.999930	640000000.001000	43723985.584300	142219674.168200
60507.745348	3085470.000000	379043.156916	10000000.000090	640000000.000000	43723985.382000	142219674.131200
60507.745361	3086528.000000	379043.156942	10000000.000030	640000000.002000	43723987.099900	142219674.140300
60507.745373	3087584.000000	379043.157113	9999999.999990	639999999.995000	43723986.190300	142219674.150700
60507.745385	3088640.000000	379043.156906	9999999.999920	639999999.998000	43723987.279000	142219674.166800
60507.745397	3089697.000000	379043.156844	10000000.000070	639999999.999000	43723985.476100	142219674.162700
60507.745409	3090751.000000	379043.157148	9999999.999890	639999999.999000	43723986.214400	142219674.153400
60507.745422	3091807.000000	379043.156757	9999999.999950	640000000.002000	43723985.355400	142219674.138200
60507.745434	3092863.000000	379043.157107	10000000.000000	639999999.996000	43723987.800700	142219674.151800
60507.745446	3093918.000000	379043.157138	10000000.000040	640000000.005000	43723987.284100	142219674.168600
60507.745458	3094975.000000	379043.156651	10000000.000010	640000000.000000	43723986.875500	142219674.153200
60507.745471	3096031.000000	379043.157218	10000000.000110	639999999.998000	43723989.030500	142219674.150600
60507.745483	3097086.000000	379043.157117	9999999.999850	640000000.000000	43723985.359200	142219674.159100
60507.745495	3098142.000000	379043.156876	9999999.999980	639999999.999000	43723986.927700	142219674.142500
60507.745507	3099197.000000	379043.157076	9999999.999950	639999999.996000	43723986.011100	142219674.146300
60507.745519	3100251.000000	379043.156893	10000000.000060	640000000.000000	43723986.749700	142219674.146300
60507.745532	3101309.000000	379043.156994	9999999.999940	640000000.006000	43723986.238400	142219674.160500
60507.745544	3102366.000000	379043.157251	9999999.999930	640000000.001000	43723987.556200	142219674.153600
60507.745556	3103423.000000	379043.156878	10000000.000000	639999999.999000	43723987.803300	142219674.144000
60507.745568	3104478.000000	379043.157100	10000000.000050	640000000.004000	43723985.280600	142219674.160900
60507.745580	3105532.000000	379043.156915	9999999.999920	640000000.005000	43723985.329900	142219674.157300
60507.745593	3106590.000000	379043.157181	9999999.999980	639999999.995000	43723988.050100	142219674.161800
60507.745605	3107645.000000	379043.156927	10000000.000080	639999999.999000	43723986.953900	142219674.147000
60507.745617	3108700.000000	379043.157102	10000000.000000	639999999.999000	43723985.070400	142219674.157600
60507.745629	3109755.000000	379043.157119	10000000.000020	640000000.001000	43723988.536300	142219674.153500
60507.745642	3110809.000000	379043.156928	9999999.999970	639999999.999000	43723986.319700	142219674.154500
60507.745654	3111866.000000	379043.156786	9999999.999910	640000000.000000	43723988.384600	142219674.152000
60507.745666	3112922.000000	379043.157158	9999999.999960	640000000.001000	43723987.958000	142219674.141700
60507.745678	3113976.000000	379043.157321	10000000.000050	639999999.997000	43723988.410100	142219674.153600
60507.745690	3115030.000000	379043.156770	10000000.000090	639999999.997000	43723987.717200	142219674.141500
60507.745703	3116087.000000	379043.157096	10000000.000010	640000000.003000	43723988.468000	142219674.148500
60507.745715	3117142.000000	379043.157163	9999999.999970	639999999.999000	43723988.196400	142219674.166600
60507.745727	3118196.000000	379043.156955	9999999.999940	640000000.001000	43723988.267400	142219674.131500
60507.745739	3119252.000000	379043.156908	10000000.000070	640000000.001000	43723988.086100	142219674.172000
60507.745752	3120308.000000	379043.157260	9999999.999930	640000000.004000	43723989.842400	142219674.142900
60507.745764	3121365.000000	379043.156886	10000000.000040	640000000.004000	43723988.379400	142219674.148700
60507.745776	3122421.000000	379043.157041	10000000.000120	639999999.998000	43723988.160300	142219674.153000
60507.745788	3123477.000000	379043.157049	10000000.000050	640000000.001000	43723990.972100	142219674.150800
60507.745800	3124534.000000	379043.157005	10000000.000060	639999999.998000	43723990.349100	142219674.149700
60507.745813	3125590.000000	379043.156972	9999999.999920	640000000.003000	43723988.927100	142219674.143000
60507.745825	3126645.000000	379043.156910	9999999.999940	640000000.001000	43723989.831300	142219674.152000
60507.745837	3127702.000000	379043.157302	9999999.999850	640000000.002000	43723990.054400	142219674.143500
60507.745849	3128757.000000	379043.156860	10000000.000010	639999999.996000	43723989.046700	142219674.156300
60507.745862	3129812.000000	379043.157143	10000000.000060	639999999.999000	43723989.018300	142219674.193200
60507.745874	3130869.000000	379043.156865	10000000.000080	640000000.000000	43723991.726700	142219674.159400
60507.745886	3131927.000000	379043.157387	10000000.000120	639999999.996000	43723988.515000	142219674.159600
60507.745898	3132983.000000	379043.156975	9999999.999870	640000000.007000	43723988.969200	142219674.140000
60507.745910	3134039.000000	379043.157261	10000000.000020	640000000.001000	43723990.869000	142219674.158500
60507.745923	3135092.000000	379043.156847	10000000.000030	640000000.001000	43723989.548600	142219674.170100
