Al/Sr = 2.162887127516663703
offset = ( 2024ratio - 2020ratio ) / 2020ratio
mjd	offset from 2020 ratio
60424.742174	-2.820065104170817e-16
60424.742186	-3.009267853363677e-16
60424.742198	-5.007064611514991e-16
60424.74221	2.6522935281123693e-16
60424.742223	9.425373137652528e-16
60424.742235	-1.3770298192581266e-16
60424.742247	-1.8271386744889457e-16
60424.742259	-1.4059203831507255e-16
60424.742271	-1.125067070696805e-15
60424.742284	-5.789647379841611e-16
60424.742296	-9.15471556292641e-16
60424.742308	-6.378387724189603e-16
60424.74232	4.062680877891674e-17
60424.742332	1.4574145751323836e-15
60424.742345	2.8716056237285772e-15
60424.742357	1.7443909855425093e-15
60424.742369	2.1997093520957878e-15
60424.742381	1.920874862956986e-15
60424.742393	1.5572114619083613e-15
60424.742406	2.135660191392217e-15
60424.742418	1.916348098994392e-15
60424.74243	3.7311144563311595e-16
60424.742442	5.219271942827274e-16
60424.742454	5.066311228844084e-16
60424.742467	5.987952693000721e-16
60424.742479	-6.604040525281619e-16
60424.742491	-5.515422418550638e-16
60424.742503	-4.482026086345236e-16
60424.742516	-1.7928346186789743e-15
60424.742528	-8.228273588244788e-16
60424.74254	9.363118518325906e-16
60424.742552	-9.417488266873543e-16
60424.742564	7.635607681831174e-17
60424.742577	3.8256184418926646e-16
60424.742589	-5.0345605751523925e-17
60424.742601	-1.3695436426421556e-15
60424.742613	-2.041345367661579e-15
60424.742625	-2.085019235644906e-15
60424.742638	-7.354253771061593e-16
60424.74265	-5.270474033787588e-16
60424.742662	-1.2685724214468335e-16
60424.742674	1.0165005132298848e-15
60424.742686	2.1737286013316372e-15
60424.742699	1.4487243650230004e-15
60424.742711	6.015856657702427e-16
60424.742723	1.0138322351572207e-15
60424.742735	6.029287218252922e-16
60424.742747	3.3079440903764303e-16
60424.74276	7.017045295043059e-16
60424.742772	5.213139641052827e-16
60424.742784	1.1986986171658304e-15
60424.742796	1.0275217742438008e-15
60424.742808	6.854771074763712e-16
60424.742821	4.494572038209657e-16
60424.742833	1.3177974889787865e-15
60424.742853	8.552813997478229e-16
60424.742865	1.5767920239405673e-15
60424.742878	8.963549451616326e-16
60424.74289	8.960959425947056e-16
60424.742902	5.798650991612309e-16
60424.742914	-3.7122241674898224e-16
60424.742927	-6.514693487994529e-17
60424.742939	2.2013077251130472e-16
60424.742951	-5.02937015452564e-16
60424.742963	-6.274636962679616e-16
60424.742975	-8.041057277116744e-17
60424.742988	-1.3330089530332124e-16
60424.743	1.5173458518420609e-16
60424.743012	-3.478984884620165e-16
60424.743024	1.3628385005066752e-16
60424.743036	3.680146567055971e-16
60424.743049	3.6507683742313846e-16
60424.743061	5.577217174744623e-16
60424.743073	4.827734970358296e-16
60424.743085	8.619655190336031e-16
60424.743098	6.749682805543224e-16
60424.74311	5.380529129928136e-16
60424.743122	1.017895420024889e-16
60424.743134	2.23280832806787e-16
60424.743146	-1.4545697242815374e-15
60424.743159	-1.2554150971084736e-15
60424.743171	-3.6236896507719477e-16
60424.743183	-6.789492313850234e-18
60424.743195	-1.3339743989376399e-15
60424.743207	-2.0455982721904256e-15
60424.74322	-1.971858189011364e-15
60424.743232	-1.2532164542160635e-15
60424.743244	-1.1628065646151584e-15
60424.743256	-7.360949675080693e-16
60424.743268	-3.294989209391877e-16
60424.743281	-1.489466443044971e-16
60424.743293	-5.476728638452141e-16
60424.743305	4.871837546510534e-17
60424.743317	1.2813344353475276e-15
60424.743329	1.7597228607458512e-15
60424.743342	1.0635287947629055e-15
60424.743354	-2.9057869973483295e-16
60424.743366	1.0336118676321338e-16
60424.743378	-1.3855223532356577e-17
60424.74339	6.719759396518959e-16
60424.743403	6.119570093982182e-16
60424.743415	1.1644604454346848e-15
60424.743427	-7.764620606569592e-19
60424.743439	1.161631504179657e-15
60424.743451	7.759683112992541e-16
60424.743464	5.99857816271554e-16
60424.743476	1.5258714580234485e-15
60424.743488	8.457257319313844e-16
60424.7435	4.615132915600143e-16
60424.743512	1.224691877588324e-16
60424.743525	-9.975234390710838e-16
60424.743537	-8.071500555063292e-16
60424.743549	5.157559075312429e-17
60424.743561	-7.129254372975226e-17
60424.743573	1.1595289598350426e-15
60424.743586	1.4892638373359514e-16
60424.743598	-1.6364562495648449e-15
60424.74361	-2.772399298855137e-16
60424.743622	1.4937696938487643e-15
60424.743635	1.2878908721853951e-15
60424.743647	8.165364848464075e-16
60424.743659	1.3518748749220029e-15
60424.743671	1.4922844829400988e-15
60424.743683	1.2729232448241978e-15
60424.743696	1.3840517116577718e-15
60424.743708	6.974063886939373e-16
60424.74372	1.0037448104809962e-15
60424.743732	5.341812842436913e-16
60424.743745	-1.3087475388279093e-16
60424.743757	6.914581388429284e-16
60424.743769	4.918703687327779e-16
60424.743781	-7.109442989775956e-17
60424.743793	-4.783974092106331e-16
60424.743806	-1.6562346815628737e-15
60424.743818	-9.86287760227823e-16
60424.74383	-1.6748165082225685e-15
60424.743842	-6.626212480826549e-16
60424.743854	4.2136495321620914e-16
60424.743867	2.529803809171657e-18
60424.743879	5.835083001178371e-16
60424.743891	1.2245645238491966e-15
60424.743903	1.5418486102869032e-15
60424.743915	9.079683233622046e-16
60424.743928	1.053280552613788e-15
60424.74394	1.4166363641689358e-15
60424.743952	7.629372712318233e-16
60424.743964	1.4245973804235242e-15
60424.743976	7.188938549406668e-16
60424.743989	-6.043788552987857e-16
60424.744001	-8.950182859961035e-16
60424.744013	-4.07035194624236e-16
60424.744025	1.0342116661266995e-15
60424.744037	1.2235490078834968e-15
60424.74405	8.014996444416372e-16
60424.744062	-3.878216597026455e-16
60424.744074	7.653787721186786e-17
60424.744086	1.2838993506694701e-16
60424.744098	4.742892973993608e-16
60424.744111	1.027817185729158e-15
60424.744123	-3.535558616588551e-17
60424.744135	-2.2035076553588123e-16
60424.744147	-1.9150389467090157e-16
60424.744159	2.2380831857637958e-17
60424.744172	-6.464754448723433e-17
60424.744184	-1.0399340173592441e-15
60424.744196	-1.4869644737705904e-15
60424.744208	-7.775345121452915e-16
60424.744221	-1.955260119114754e-16
60424.744233	-8.557153287790976e-16
60424.744245	-2.5232315295556047e-16
60424.744257	1.0831758510791498e-15
60424.744269	7.007714292979546e-17
60424.744282	-3.4098959910811058e-16
60424.744294	-3.932832774226432e-16
60424.744306	-1.9267662513645864e-16
60424.744318	2.715044616804562e-16
60424.74433	1.262987972799313e-15
60424.744342	7.211966652619426e-16
60424.744355	-4.3379819426234543e-16
60424.744367	-5.349033365431994e-16
60424.744379	-4.270080377473995e-16
60424.744391	-9.024408468337708e-16
60424.744404	1.7236859350494596e-17
60424.744416	3.808024737137627e-16
60424.744428	8.483931710693778e-16
60424.74444	8.362171378007175e-16
60424.744452	1.1387621908809127e-15
60424.744465	5.517531921289802e-16
60424.744477	8.147780361180326e-16
60424.744489	1.7175113415493661e-15
60424.744501	2.023216810789996e-15
60424.744513	1.6006335704803566e-15
60424.744526	6.093700963079247e-16
60424.744538	2.9140645431999966e-16
60424.74455	3.1017895475492457e-16
60424.744562	8.486486682804756e-16
60424.744574	1.106756637899292e-15
60424.744587	2.727406161491685e-17
60424.744599	7.202769910146398e-16
60424.744611	6.615410649083796e-16
60424.744623	5.062493651197543e-16
60424.744635	7.509070009398755e-16
60424.744648	-3.4028732925376824e-18
60424.74466	-8.136683975227188e-16
60424.744672	-1.268354433860703e-15
60424.744684	-1.6418585341225304e-15
60424.744697	-1.4413621819287385e-15
60424.744709	-1.219677580423658e-15
60424.744721	-3.5838339748176617e-16
60424.744733	-3.4692229146073133e-16
60424.744745	4.4183264517470177e-16
60424.744758	1.5094249869194098e-16
60424.74477	-8.995075512071589e-16
60424.744782	-1.2973177579375935e-15
60424.744794	-8.856117248542099e-16
60424.744806	-1.2522414295977324e-15
60424.744819	-3.009633951223767e-15
60424.744831	-2.10954120359147e-15
60424.744843	2.4561991352362286e-16
60424.744855	1.8704260898463515e-17
60424.744867	1.1145017742131012e-16
60424.74488	3.323813859946611e-16
60424.744892	1.134323500753785e-16
60424.744904	1.8535852801080172e-16
60424.744916	3.8173071476039796e-16
60424.744928	9.665498814800698e-16
60424.744941	6.302290283340262e-16
60424.744953	4.515694507703686e-16
60424.744965	-4.301097765037361e-16
60424.744977	-3.6581195851742577e-16
60424.744989	-1.6507589740197815e-16
60424.745002	2.672961666810539e-16
60424.745014	-2.274685123323476e-16
60424.745026	-9.781301178245145e-16
60424.745038	-1.4541690083648474e-15
60424.745051	-1.21977062203061e-15
60424.745063	-8.171387040068199e-16
60424.745075	-1.2779971012300105e-15
60424.745087	-1.6855465997191351e-15
60424.745099	-2.124014694378732e-15
60424.745112	-2.869999160770434e-15
60424.745124	-2.340749995931073e-15
60424.745136	-1.0591981513304142e-15
60424.745148	-1.9630159981329347e-15
60424.74516	-2.2283334487092266e-15
60424.745173	-2.0770563780565975e-15
60424.745185	-1.2426902568041162e-15
60424.745197	-1.5902170130861353e-15
60424.745209	-1.6030722554333972e-15
60424.745221	-2.335602797803456e-15
60424.745234	-2.082586300040891e-15
60424.745246	-1.6384089380728435e-15
60424.745258	-1.2583029809127348e-15
60424.74527	-1.363244882970567e-15
60424.745282	-1.048348109399218e-15
60424.745295	-6.112808566349072e-16
60424.745307	1.2138765900495528e-15
60424.745319	1.2742934802610339e-15
60424.745331	1.785286167772641e-15
60424.745343	1.5765808002640342e-15
60424.745356	1.1905346515328786e-15
60424.745368	1.2203530392483065e-15
60424.74538	1.8111420324335993e-15
60424.745392	1.4767165455000807e-15
60424.745404	1.8052867889819726e-15
60424.745417	1.4637008644736175e-15
60424.745429	1.4802071951539387e-15
60424.745441	1.6602035059175018e-15
60424.745453	1.4391341530840095e-15
60424.745465	1.7358961643855239e-15
60424.745478	1.270864749476772e-15
