Al/Sr = 2.611701431781463025
offset = ( 2024ratio - 2020ratio ) / 2020ratio
mjd	offset from 2020 ratio
60426.739597	nan
60426.739609	nan
60426.739621	nan
60426.739633	nan
60426.739645	nan
60426.739658	nan
60426.73967	nan
60426.739682	nan
60426.739694	nan
60426.739706	nan
60426.739719	nan
60426.739731	nan
60426.739743	nan
60426.739755	nan
60426.739768	nan
60426.73978	nan
60426.739792	nan
60426.739804	nan
60426.739816	nan
60426.739829	nan
60426.739841	nan
60426.739853	nan
60426.739865	nan
60426.739877	nan
60426.73989	nan
60426.739902	nan
60426.739914	nan
60426.739926	nan
60426.739939	nan
60426.739951	nan
60426.739963	nan
60426.739975	nan
60426.739987	nan
60426.74	nan
60426.740012	nan
60426.740024	nan
60426.740036	nan
60426.740048	nan
60426.740061	nan
60426.740073	nan
60426.740085	nan
60426.740097	nan
60426.740109	nan
60426.740122	nan
60426.740134	nan
60426.740146	nan
60426.740158	nan
60426.74017	nan
60426.740183	nan
60426.740195	nan
60426.740207	nan
60426.740219	nan
60426.740231	nan
60426.740244	nan
60426.740256	nan
60426.740268	nan
60426.74028	nan
60426.740292	nan
60426.740305	nan
60426.740317	nan
60426.740329	nan
60426.740341	nan
60426.740354	nan
60426.740366	nan
60426.740382	nan
60426.740394	nan
60426.740406	nan
60426.740418	nan
60426.74043	nan
60426.740443	nan
60426.740455	nan
60426.740467	nan
60426.740479	nan
60426.740491	nan
60426.740504	nan
60426.740516	nan
60426.740528	nan
60426.74054	nan
60426.740552	nan
60426.740565	nan
60426.740577	nan
60426.740589	nan
60426.740601	nan
60426.740613	nan
60426.740626	nan
60426.740638	nan
60426.74065	nan
60426.740662	nan
60426.740674	nan
60426.740687	nan
60426.740699	nan
60426.740711	nan
60426.740723	nan
60426.740736	nan
60426.740748	nan
60426.74076	nan
60426.740772	nan
60426.740784	nan
60426.740797	nan
60426.740809	nan
60426.740821	nan
60426.740833	nan
60426.740845	nan
60426.740858	nan
60426.74087	nan
60426.740882	nan
60426.740894	nan
60426.740906	nan
60426.740919	nan
60426.740931	nan
60426.740943	nan
60426.740955	nan
60426.740967	nan
60426.74098	nan
60426.740992	nan
60426.741004	nan
60426.741016	nan
60426.741028	nan
60426.741041	nan
60426.741053	nan
60426.741065	nan
60426.741077	nan
60426.74109	nan
60426.741102	nan
60426.741114	nan
60426.741126	nan
60426.741138	nan
60426.741151	nan
60426.741163	nan
60426.741175	nan
60426.741187	nan
60426.741199	nan
60426.741212	nan
60426.741224	nan
60426.741236	nan
60426.741248	nan
60426.74126	nan
60426.741273	nan
60426.741285	nan
60426.741297	nan
60426.741309	nan
60426.741322	-4.12606527947935e-16
60426.741334	-3.3861786375128063e-16
60426.741346	6.82572594710423e-16
60426.741358	-1.304254681515995e-15
60426.74137	-1.1615247855566655e-15
60426.741383	-8.010951044024503e-16
60426.741395	-3.2163311467192576e-16
60426.741407	5.833289505702882e-16
60426.741419	2.1185305239258976e-16
60426.741431	-1.9226110429226741e-16
60426.741444	6.265013023655277e-16
60426.741456	3.7648308744553137e-16
60426.741468	-4.429394598600498e-16
60426.74148	-2.313816825829904e-16
60426.741492	-5.183608300660766e-16
60426.741505	2.8012660684340355e-16
60426.741517	-1.3735992169261796e-16
60426.741529	3.629286942395463e-17
60426.741541	1.5211965269322705e-16
60426.741553	8.252241704691695e-16
60426.741566	1.1326578049042965e-15
60426.741578	5.070565072580665e-16
60426.74159	9.468295132369928e-16
60426.741602	7.479312069004718e-16
60426.741614	2.753606409150127e-16
60426.741627	5.690220890763567e-16
60426.741639	1.2428762527984916e-15
60426.741651	5.838767319133586e-16
60426.741663	-1.0556041655647753e-17
60426.741676	-1.6337904265685772e-17
60426.741688	-4.7875546993406316e-17
60426.7417	6.387460741816485e-16
60426.741712	-7.166200319013372e-16
60426.741724	-8.40396314538475e-16
60426.741737	-1.0822326958005466e-15
60426.741749	-1.321908493581163e-15
60426.741761	-1.689403440867431e-15
60426.741773	-2.1699832188617574e-15
60426.741785	-1.605567366299884e-15
60426.741798	-9.372361989227644e-16
60426.74181	-2.816908220761583e-16
60426.741822	-3.7615481144829565e-16
60426.741834	-6.637491391029929e-16
60426.741846	-8.256438241354204e-16
60426.741859	-9.760119543872482e-16
60426.741871	-6.7104846229477e-17
60426.741883	2.534870462235119e-16
60426.741895	-1.0363549556048495e-15
60426.741907	-1.6180720307192482e-15
60426.74192	-7.335683843628232e-16
60426.741932	7.943486032175957e-16
60426.741944	1.081071181730031e-15
60426.741956	-9.89096878642426e-16
60426.741968	-2.280238128989285e-15
60426.741981	-1.656189748590274e-15
60426.741993	-1.3212770341593732e-15
60426.742005	-7.126452249143383e-16
60426.742017	-7.640399319790896e-16
60426.74203	-1.1407134307947524e-15
60426.742042	1.0595167432375722e-16
60426.742054	2.7524765154325334e-16
60426.742066	4.510767014495312e-16
60426.742078	5.675869988013388e-17
60426.742091	-8.101819878938806e-16
60426.742103	-6.163231937714424e-16
60426.742115	3.514423484896275e-16
60426.742127	1.0989108763559282e-15
60426.742139	1.1958910361922818e-15
60426.742152	1.06770337353605e-15
60426.742164	5.020803085360957e-16
60426.742176	6.655068811136747e-16
60426.742188	6.104836502043979e-16
60426.7422	-4.920088819813927e-16
60426.742213	-4.580720696833105e-16
