Al/Sr = 2.611701431781463025
offset = ( 2024ratio - 2020ratio ) / 2020ratio
mjd	offset from 2020 ratio
60424.743159	-7.996037249459007e-16
60424.743171	2.5146196259617234e-16
60424.743183	4.694430140380574e-16
60424.743195	-7.978782662226476e-16
60424.743207	-2.0267159600944435e-15
60424.74322	-1.7474244581847274e-15
60424.743232	-9.062202315716473e-16
60424.743244	-7.381601143657508e-16
60424.743256	-2.2209985477793967e-16
60424.743268	1.0146981799992171e-16
60424.743281	1.4144098792220216e-16
60424.743293	-3.256816177367603e-16
60424.743305	-4.400048483279912e-16
60424.743317	6.528281404563196e-16
60424.743329	1.2435511923182045e-15
60424.743342	5.326948839676608e-16
60424.743354	-6.565007379968652e-16
60424.743366	-3.819523830568818e-16
60424.743378	-1.0352873499769359e-16
60424.74339	2.815298498873453e-16
60424.743403	3.589610057232018e-16
60424.743415	8.283925457674729e-16
60424.743427	1.2065555176613607e-16
60424.743439	1.1375008649325525e-15
60424.743451	8.286233506070555e-16
60424.743464	7.481736935933585e-16
60424.743476	1.6322659059554823e-15
60424.743488	1.1190273216443023e-15
60424.7435	8.341273748967672e-16
60424.743512	2.733564057756884e-16
60424.743525	-4.6257547889612284e-17
60424.743537	-6.446620326916766e-16
60424.743549	-1.067665113769147e-15
60424.743561	-1.3992218145308202e-15
60424.743573	1.7897662414235448e-16
60424.743586	-3.5499015500121627e-16
60424.743598	-1.1168303063185167e-15
60424.74361	-3.57510826835634e-16
60424.743622	1.733756370636278e-15
60424.743635	1.4410787248808037e-15
60424.743647	2.2169422014715516e-16
60424.743659	2.8604366493126427e-16
60424.743671	1.0280765493755233e-15
60424.743683	8.417476242770436e-16
60424.743696	8.816312257237638e-16
60424.743708	4.2607159130244426e-16
60424.74372	4.895287979675083e-16
60424.743732	4.278937252642708e-16
60424.743745	1.3610062062934267e-16
60424.743757	9.392301984269298e-16
60424.743769	7.460300561481008e-16
60424.743781	4.1846279620389994e-16
60424.743793	6.095591685344725e-16
60424.743806	-4.482011795508134e-16
60424.743818	-1.089021019418728e-15
60424.74383	-2.2946265406441225e-15
60424.743842	-1.0519216881709331e-15
60424.743854	1.133210887146938e-15
60424.743867	7.505156171492329e-16
60424.743879	1.3400042085954794e-15
60424.743891	8.626113648776804e-16
60424.743903	1.4977672178254246e-15
60424.743915	1.442095032347155e-15
60424.743928	9.180647257242194e-16
60424.74394	1.4390450036202625e-15
60424.743952	6.765260485969079e-16
60424.743964	1.2506265733526267e-15
60424.743976	5.448756193717458e-16
60424.743989	-6.671234455209316e-16
60424.744001	-1.0174034105198364e-15
60424.744013	-4.758007245339596e-16
60424.744025	7.42456806013366e-16
60424.744037	1.087736207071816e-15
60424.74405	4.479488897737425e-16
60424.744062	-4.0196689497501665e-16
60424.744074	3.7931903195353273e-16
60424.744086	7.68648915538818e-17
60424.744098	4.166043759633867e-16
60424.744111	6.674898853705844e-16
60424.744123	-1.8336339177267475e-16
60424.744135	-4.600321964400309e-16
60424.744147	-3.2799623028834764e-16
60424.744159	-1.971067991982765e-17
60424.744172	1.8829628159010395e-16
60424.744184	-8.265305606600547e-16
60424.744196	-1.3552249540023864e-15
60424.744208	-6.423029885731467e-16
60424.744221	-1.7730090522297758e-16
60424.744233	-1.0254391041246311e-15
60424.744245	-4.1315477758113414e-16
60424.744257	8.698997752845377e-16
60424.744269	1.69987074073844e-16
60424.744282	-7.658791648870118e-16
60424.744294	-9.47836305073151e-16
60424.744306	-7.551922591008624e-16
60424.744318	-8.871990800799491e-17
60424.74433	1.1008536728793956e-15
60424.744342	8.93278051934389e-16
60424.744355	-9.471825627145402e-17
60424.744367	4.240109253624141e-17
60424.744379	-3.2449020456826595e-17
60424.744391	-2.8544298472681615e-16
60424.744404	1.6463597088649872e-16
60424.744416	4.757190116963424e-16
60424.744428	6.837268729683875e-16
60424.74444	8.457779490564807e-16
60424.744452	1.1722946844247815e-15
60424.744465	5.328634786644519e-16
60424.744477	1.1016675474207708e-15
60424.744489	1.532714786711866e-15
60424.744501	1.6385028036891904e-15
60424.744513	1.2416891899634089e-15
60424.744526	5.095025103085156e-16
60424.744538	4.0532225280587814e-16
60424.74455	4.2935676546385197e-16
60424.744562	9.386622695423527e-16
60424.744574	1.0652345938212102e-15
60424.744587	6.10946484425527e-16
60424.744599	7.783737341631566e-16
60424.744611	2.713451837228609e-16
60424.744623	2.1604634795759232e-16
60424.744635	5.233258037434679e-16
60424.744648	2.908459398116839e-16
60424.74466	-4.375915897555131e-18
60424.744672	-3.3838929000746153e-16
60424.744684	-6.996654901523609e-16
60424.744697	-9.435526562579153e-16
60424.744709	-7.640732225550881e-16
60424.744721	-9.923752602310748e-17
60424.744733	-5.175485774570358e-16
60424.744745	2.631719320439967e-16
60424.744758	7.409143583001709e-18
60424.74477	-9.939890321663779e-16
60424.744782	-1.2864260668484145e-15
60424.744794	-8.516635361051944e-16
60424.744806	-1.6152705077637665e-15
60424.744819	-3.398310179678554e-15
60424.744831	-2.251471540583062e-15
60424.744843	2.1526724713188572e-16
60424.744855	3.9589616211403064e-17
60424.744867	2.9073514472405296e-16
60424.74488	2.829388234255226e-16
60424.744892	2.1757776651307085e-16
60424.744904	2.566990813673139e-16
60424.744916	2.287006683266158e-16
60424.744928	6.189630143489795e-16
60424.744941	1.693412742823841e-16
60424.744953	-4.430358584536778e-16
60424.744965	-9.858379930158273e-16
60424.744977	-7.718656338511672e-16
60424.744989	-6.03413976881745e-16
60424.745002	-3.90871679792922e-16
60424.745014	-5.583325638100796e-16
60424.745026	-9.047090194912879e-16
60424.745038	-1.4993367614107356e-15
60424.745051	-1.527840395974822e-15
60424.745063	-9.66396988844318e-16
60424.745075	-1.7066870055638788e-15
60424.745087	-1.928113716851293e-15
60424.745099	-2.4491248715405323e-15
