08/13/2024	10:22:34	(analyzed:  8/14/2024)
MJD	timer	SDR:frep_ErYb	fo_ErYb	fb_Si_ErYb	fb_Al_ErYb	fb_Yb_ErYb
60535.684434	180436.000000	113927.229193	104999999.998800	100000000.000800	22737007.999100	28855374.100020
60535.684446	181492.000000	113927.229508	104999999.999600	100000000.000800	22737007.999870	28855374.100160
60535.684458	182545.000000	113927.229494	105000000.000300	99999999.999300	22737008.001060	28855374.100010
60535.684470	183599.000000	113927.229175	105000000.000600	100000000.000400	22737008.001240	28855374.099900
60535.684482	184654.000000	113927.229191	105000000.001300	99999999.999300	22737008.001460	28855374.100610
60535.684495	185706.000000	113927.229356	105000000.001000	99999999.999900	22737008.001340	28855374.099870
60535.684507	186759.000000	113927.229192	104999999.999400	100000000.000600	22737008.000170	28855374.100360
60535.684519	187814.000000	113927.229333	105000000.000200	99999999.998400	22737007.998930	28855374.099460
60535.684531	188868.000000	113927.229610	105000000.000400	100000000.000400	22737007.998510	28855374.099870
60535.684543	189921.000000	113927.229040	105000000.000400	100000000.000300	22737007.998560	28855374.099730
60535.684556	190976.000000	113927.229559	105000000.001300	99999999.999700	22737007.999210	28855374.099610
60535.684568	192030.000000	113927.229207	104999999.999700	100000000.000800	22737007.999620	28855374.100530
60535.684580	193085.000000	113927.229010	104999999.999800	99999999.998300	22737008.000730	28855374.100230
60535.684592	194141.000000	113927.229543	105000000.001100	99999999.999900	22737008.001050	28855374.100150
60535.684604	195197.000000	113927.229730	105000000.001100	100000000.000700	22737008.001320	28855374.100010
60535.684617	196250.000000	113927.229140	105000000.000600	99999999.999400	22737008.001380	28855374.099830
60535.684629	197306.000000	113927.229144	104999999.999400	100000000.000500	22737008.000570	28855374.099840
60535.684641	198360.000000	113927.229392	105000000.001400	99999999.998200	22737007.999560	28855374.099390
60535.684653	199415.000000	113927.229431	105000000.000000	100000000.000200	22737007.998750	28855374.100140
60535.684665	200469.000000	113927.229370	105000000.001000	100000000.000600	22737007.998680	28855374.099830
60535.684678	201525.000000	113927.228965	104999999.999300	99999999.999500	22737007.998680	28855374.100500
60535.684690	202580.000000	113927.229470	104999999.999500	100000000.000800	22737007.999610	28855374.099930
60535.684702	203636.000000	113927.229160	105000000.001900	99999999.998100	22737008.000160	28855374.100300
60535.684714	204689.000000	113927.229495	104999999.999800	100000000.000500	22737008.000960	28855374.100320
60535.684727	205745.000000	113927.229389	105000000.001200	100000000.000000	22737008.001290	28855374.099900
60535.684739	206800.000000	113927.228906	105000000.001100	99999999.999600	22737008.001180	28855374.100180
60535.684751	207854.000000	113927.229701	104999999.999300	100000000.001300	22737008.001190	28855374.100400
60535.684763	208910.000000	113927.229157	105000000.001300	99999999.998500	22737008.000020	28855374.099810
60535.684775	209966.000000	113927.229324	104999999.999500	99999999.999800	22737007.998640	28855374.100020
60535.684788	211019.000000	113927.229321	105000000.000900	100000000.000800	22737007.998370	28855374.099600
60535.684800	212073.000000	113927.229498	104999999.999400	99999999.999800	22737007.998730	28855374.100450
60535.684812	213127.000000	113927.229447	105000000.000000	100000000.000000	22737007.999100	28855374.100120
60535.684824	214181.000000	113927.229330	105000000.000300	99999999.999200	22737007.999800	28855374.099700
60535.684836	215234.000000	113927.229182	105000000.000000	100000000.000600	22737008.000630	28855374.100120
60535.684849	216288.000000	113927.229216	105000000.001700	100000000.000900	22737008.001240	28855374.099930
60535.684861	217343.000000	113927.229598	105000000.001500	99999999.998800	22737008.001510	28855374.099930
60535.684873	218398.000000	113927.229489	104999999.999400	100000000.000500	22737008.001280	28855374.099940
60535.684885	219453.000000	113927.229427	105000000.001600	99999999.999100	22737008.000200	28855374.100020
60535.684897	220506.000000	113927.229157	104999999.999300	100000000.000200	22737007.999400	28855374.100420
60535.684910	221561.000000	113927.229329	105000000.001500	99999999.999700	22737007.998790	28855374.099770
60535.684922	222614.000000	113927.229315	105000000.001000	99999999.998600	22737007.998660	28855374.099990
60535.684934	223669.000000	113927.229370	105000000.001300	99999999.999400	22737007.998930	28855374.099700
60535.684946	224722.000000	113927.229170	104999999.999300	99999999.999500	22737007.999510	28855374.100030
60535.684958	225775.000000	113927.229516	105000000.001600	100000000.000000	22737008.000420	28855374.100040
60535.684971	226831.000000	113927.228891	104999999.999100	100000000.000600	22737008.000940	28855374.100610
60535.684983	227884.000000	113927.229625	105000000.000000	99999999.998300	22737008.001420	28855374.099850
60535.684995	228939.000000	113927.229533	105000000.000600	100000000.001600	22737008.001300	28855374.099740
60535.685007	229994.000000	113927.229107	105000000.000600	99999999.999800	22737008.000670	28855374.099770
60535.685019	231050.000000	113927.229276	104999999.999700	100000000.000200	22737007.999650	28855374.100460
60535.685032	232103.000000	113927.229336	105000000.001300	100000000.001100	22737007.998520	28855374.100240
60535.685044	233158.000000	113927.229822	104999999.999300	99999999.999200	22737007.998910	28855374.100170
60535.685056	234213.000000	113927.229194	105000000.000300	100000000.000400	22737007.998440	28855374.099890
60535.685068	235268.000000	113927.229045	105000000.000700	100000000.000500	22737007.999230	28855374.100500
60535.685080	236323.000000	113927.229466	105000000.000800	99999999.999100	22737008.000420	28855374.099700
60535.685093	237378.000000	113927.229352	105000000.000700	100000000.000600	22737008.001000	28855374.100080
60535.685105	238432.000000	113927.229583	105000000.002000	99999999.998400	22737008.001460	28855374.100350
60535.685117	239485.000000	113927.229059	105000000.001100	100000000.000300	22737008.001330	28855374.100160
60535.685129	240538.000000	113927.229236	105000000.000700	100000000.000900	22737008.001030	28855374.099800
60535.685141	241592.000000	113927.229348	104999999.999200	99999999.998900	22737007.999880	28855374.100340
60535.685154	242647.000000	113927.229437	104999999.999900	100000000.001600	22737007.998830	28855374.100200
60535.685166	243701.000000	113927.229336	105000000.001800	99999999.998900	22737007.998720	28855374.100160
60535.685178	244754.000000	113927.229261	105000000.000500	99999999.999600	22737007.998510	28855374.099720
60535.685190	245809.000000	113927.229329	104999999.999900	100000000.001000	22737007.998900	28855374.099970
60535.685202	246863.000000	113927.229237	105000000.001100	99999999.999300	22737007.999890	28855374.099540
60535.685215	247919.000000	113927.229075	104999999.999800	100000000.001000	22737008.000750	28855374.099810
60535.685227	248975.000000	113927.229601	105000000.001200	99999999.999500	22737008.001220	28855374.100240
60535.685239	250030.000000	113927.229347	105000000.001100	99999999.999800	22737008.001530	28855374.100230
60535.685251	251083.000000	113927.229038	104999999.999500	100000000.000500	22737008.001230	28855374.099970
60535.685263	252138.000000	113927.229182	105000000.001600	99999999.998700	22737008.000570	28855374.099470
60535.685276	253192.000000	113927.229485	105000000.000800	99999999.999800	22737007.999130	28855374.099890
