"","method","parameter","estimate","ci.lb","ci.ub","inInt","bad.rhat","min.neff","num.Divergent","tree.Depth.Ex","min.bfmi","rsession","simulation","N","mu","tau","num.iters","alpha","nu","tdf","maxtree","adaptDelta","Iteration","lb","ub"
"11","DL","tau",0.679954954857544,0,2.65802847799241,TRUE,0,NA,NA,NA,NA,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,2,0.1,1
"12","SJ","tau",0.756886866134683,0,2.65802847799241,TRUE,0,NA,NA,NA,NA,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,2,0.1,1
"13","REML","tau",0.710916603060389,0,2.65802847799241,TRUE,0,NA,NA,NA,NA,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,2,0.1,1
"14","PM","tau",0.700883864214439,0,2.65802519172219,TRUE,0,NA,NA,NA,NA,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,2,0.1,1
"15","DL","mu",9.70667201005571,8.9160806912832,10.4972633288282,TRUE,0,NA,NA,NA,NA,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,2,0.1,1
"16","SJ","mu",9.71393859410316,8.86539075222866,10.5624864359777,TRUE,0,NA,NA,NA,NA,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,2,0.1,1
"17","REML","mu",9.70983758881979,8.89595590615255,10.523719271487,TRUE,0,NA,NA,NA,NA,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,2,0.1,1
"18","PM","mu",9.70885087424718,8.90252029175946,10.5151814567349,TRUE,0,NA,NA,NA,NA,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,2,0.1,1
"19","GaussGauss","tau",0.934653036650443,0.104110115525281,2.35783364894671,TRUE,0,1229.89513167045,0,0,0.653497352314772,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,2,0.1,1
"20","GaussGauss","mu",9.68184687352774,8.61969499253202,10.8408867897657,TRUE,0,1229.89513167045,0,0,0.653497352314772,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,2,0.1,1
"21","DL","tau",0.780651127071791,0,2.86686743798373,TRUE,0,NA,NA,NA,NA,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,3,0.1,1
"22","SJ","tau",0.822469591756696,0,2.86686743798373,TRUE,0,NA,NA,NA,NA,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,3,0.1,1
"23","REML","tau",0.78176860797983,0,2.86686743798373,TRUE,0,NA,NA,NA,NA,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,3,0.1,1
"24","PM","tau",0.767740325036542,0,2.86686776871059,TRUE,0,NA,NA,NA,NA,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,3,0.1,1
"25","DL","mu",9.15784454112243,8.26064575563318,10.0550433266117,TRUE,0,NA,NA,NA,NA,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,3,0.1,1
"26","SJ","mu",9.16967923962509,8.24260876944977,10.0967497098004,TRUE,0,NA,NA,NA,NA,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,3,0.1,1
"27","REML","mu",9.15817146926376,8.26017971702736,10.0561632215002,TRUE,0,NA,NA,NA,NA,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,3,0.1,1
"28","PM","mu",9.15402388370644,8.26596477782084,10.042082989592,TRUE,0,NA,NA,NA,NA,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,3,0.1,1
"29","GaussGauss","tau",0.998864520850828,0.101415092679782,2.54700184824007,TRUE,0,1504.4653597474,0,0,0.670321295933365,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,3,0.1,1
"30","GaussGauss","mu",9.15367491269808,8.03063528840398,10.4616641464966,TRUE,0,1504.4653597474,0,0,0.670321295933365,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,3,0.1,1
"31","DL","tau",0.873430606609677,0.34873130036096,3.09816339331848,TRUE,0,NA,NA,NA,NA,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,4,0.1,1
"32","SJ","tau",0.942928037112372,0.34873130036096,3.09816339331848,TRUE,0,NA,NA,NA,NA,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,4,0.1,1
"33","REML","tau",0.977691921843874,0.34873130036096,3.09816339331848,TRUE,0,NA,NA,NA,NA,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,4,0.1,1
"34","PM","tau",0.929233840024264,0.348728976726491,3.09816066830246,TRUE,0,NA,NA,NA,NA,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,4,0.1,1
"35","DL","mu",10.7736809737699,9.83213820754141,11.7152237399983,TRUE,0,NA,NA,NA,NA,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,4,0.1,1
"36","SJ","mu",10.8039631075108,9.80822246951873,11.7997037455029,TRUE,0,NA,NA,NA,NA,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,4,0.1,1
"37","REML","mu",10.8175752961934,9.79463555526077,11.840515037126,TRUE,0,NA,NA,NA,NA,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,4,0.1,1
"38","PM","mu",10.7983317877763,9.81328845359075,11.7833751219619,TRUE,0,NA,NA,NA,NA,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,4,0.1,1
"39","GaussGauss","tau",1.22931404830048,0.366553862946519,2.82305367569923,TRUE,0,1523.07403095314,0,0,0.69651761591194,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,4,0.1,1
"40","GaussGauss","mu",10.8270790675267,9.59588320554955,12.2955028360617,TRUE,0,1523.07403095314,0,0,0.69651761591194,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,4,0.1,1
"41","DL","tau",0.879242872654989,0.299238399295537,1.88534831712259,TRUE,0,NA,NA,NA,NA,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,5,0.1,1
"42","SJ","tau",0.592860216643402,0.299238399295537,1.88534831712259,TRUE,0,NA,NA,NA,NA,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,5,0.1,1
"43","REML","tau",0.658303467608512,0.299238399295537,1.88534831712259,TRUE,0,NA,NA,NA,NA,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,5,0.1,1
"44","PM","tau",0.592018188584959,0.299260970689276,1.88534713213638,TRUE,0,NA,NA,NA,NA,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,5,0.1,1
"45","DL","mu",10.0441241422671,9.18824042282529,10.9000078617089,TRUE,0,NA,NA,NA,NA,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,5,0.1,1
"46","SJ","mu",10.0359452256773,9.40702673672054,10.6648637146341,TRUE,0,NA,NA,NA,NA,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,5,0.1,1
"47","REML","mu",10.0379291227156,9.3579119373449,10.7179463080863,TRUE,0,NA,NA,NA,NA,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,5,0.1,1
"48","PM","mu",10.0359202896093,9.40765625681095,10.6641843224076,TRUE,0,NA,NA,NA,NA,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,5,0.1,1
"49","GaussGauss","tau",0.936082636786831,0.372939672593884,2.19981573079042,TRUE,0,1343.60229262027,0,0,0.824360873237754,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,5,0.1,1
"50","GaussGauss","mu",10.0237202106557,9.03836177168014,10.9929506495686,TRUE,0,1343.60229262027,0,0,0.824360873237754,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,5,0.1,1
"51","DL","tau",2.2984641287731,0.954777074369058,5.12038689276543,TRUE,0,NA,NA,NA,NA,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,6,0.1,1
"52","SJ","tau",1.70621250253434,0.954777074369058,5.12038689276543,TRUE,0,NA,NA,NA,NA,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,6,0.1,1
"53","REML","tau",1.77055342831164,0.954777074369058,5.12038689276543,TRUE,0,NA,NA,NA,NA,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,6,0.1,1
"54","PM","tau",1.71584500884126,0.954764279441944,5.12038731701212,TRUE,0,NA,NA,NA,NA,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,6,0.1,1
"55","DL","mu",10.2256006742547,8.12598052622787,12.3252208222816,TRUE,0,NA,NA,NA,NA,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,6,0.1,1
"56","SJ","mu",10.21328957967,8.60761339609267,11.8189657632472,TRUE,0,NA,NA,NA,NA,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,6,0.1,1
"57","REML","mu",10.2152525423956,8.55655926155039,11.8739458232408,TRUE,0,NA,NA,NA,NA,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,6,0.1,1
"58","PM","mu",10.2135976368091,8.59999664300592,11.8271986306122,TRUE,0,NA,NA,NA,NA,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,6,0.1,1
"59","GaussGauss","tau",2.05265567114523,0.971598240073509,4.01125984574293,TRUE,0,1625.85328966038,0,0,0.783670552986763,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,6,0.1,1
"60","GaussGauss","mu",10.2248295967793,8.10328097118338,12.3465701124611,TRUE,0,1625.85328966038,0,0,0.783670552986763,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,6,0.1,1
"61","DL","tau",0.895113560335747,0.363064423244084,2.54296448428775,TRUE,0,NA,NA,NA,NA,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,7,0.1,1
"62","SJ","tau",0.783865497337453,0.363064423244084,2.54296448428775,TRUE,0,NA,NA,NA,NA,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,7,0.1,1
"63","REML","tau",0.811953944664779,0.363064423244084,2.54296448428775,TRUE,0,NA,NA,NA,NA,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,7,0.1,1
"64","PM","tau",0.7776545222779,0.363034837686665,2.54296941371551,TRUE,0,NA,NA,NA,NA,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,7,0.1,1
"65","DL","mu",10.2677006547029,9.37948064744048,11.1559206619653,TRUE,0,NA,NA,NA,NA,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,7,0.1,1
"66","SJ","mu",10.2814422472904,9.483064264948,11.0798202296328,TRUE,0,NA,NA,NA,NA,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,7,0.1,1
"67","REML","mu",10.2776577292713,9.45668203721114,11.0986334213314,TRUE,0,NA,NA,NA,NA,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,7,0.1,1
"68","PM","mu",10.2823119022525,9.48892243718153,11.0757013673234,TRUE,0,NA,NA,NA,NA,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,7,0.1,1
"69","GaussGauss","tau",1.08377618455576,0.401695407966639,2.50720938194216,TRUE,0,1419.30395931629,0,0,0.728354463546603,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,7,0.1,1
"70","GaussGauss","mu",10.2855248851198,9.11277649874258,11.4447645852128,TRUE,0,1419.30395931629,0,0,0.728354463546603,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,7,0.1,1
"71","DL","tau",0.163403127608062,0,1.35915785177242,TRUE,0,NA,NA,NA,NA,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,8,0.1,1
"72","SJ","tau",0.325770500094717,0,1.35915785177242,TRUE,0,NA,NA,NA,NA,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,8,0.1,1
"73","REML","tau",0.158094269465061,0,1.35915785177242,TRUE,0,NA,NA,NA,NA,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,8,0.1,1
"74","PM","tau",0.158339393207254,0,1.35915426435365,TRUE,0,NA,NA,NA,NA,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,8,0.1,1
"75","DL","mu",10.6352435196348,10.3758003790835,10.8946866601861,FALSE,0,NA,NA,NA,NA,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,8,0.1,1
"76","SJ","mu",10.5966126895451,10.2000063764041,10.9932190026862,FALSE,0,NA,NA,NA,NA,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,8,0.1,1
"77","REML","mu",10.6362325479733,10.3812222380864,10.8912428578601,FALSE,0,NA,NA,NA,NA,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,8,0.1,1
"78","PM","mu",10.6361878035493,10.3809733404603,10.8914022666383,FALSE,0,NA,NA,NA,NA,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,8,0.1,1
"79","GaussGauss","tau",0.366282642070159,0.0180660231704883,1.19408212629913,TRUE,0,1279.13247455668,0,0,0.750038921122952,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,8,0.1,1
"80","GaussGauss","mu",10.5896136254644,10.03291882614,11.0430982747563,FALSE,0,1279.13247455668,0,0,0.750038921122952,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,8,0.1,1
"81","DL","tau",1.88011080402804,0.987625275726227,5.28596781019227,TRUE,0,NA,NA,NA,NA,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,9,0.1,1
"82","SJ","tau",1.76809265868085,0.987625275726227,5.28596781019227,TRUE,0,NA,NA,NA,NA,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,9,0.1,1
"83","REML","tau",1.81301790104477,0.987625275726227,5.28596781019227,TRUE,0,NA,NA,NA,NA,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,9,0.1,1
"84","PM","tau",1.77831292338126,0.987626146395885,5.28596565819666,TRUE,0,NA,NA,NA,NA,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,9,0.1,1
"85","DL","mu",10.0610993372421,8.32750969072354,11.7946889837607,TRUE,0,NA,NA,NA,NA,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,9,0.1,1
"86","SJ","mu",10.0586344248577,8.41855229860147,11.698716551114,TRUE,0,NA,NA,NA,NA,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,9,0.1,1
"87","REML","mu",10.0596784931029,8.38215106796938,11.7372059182365,TRUE,0,NA,NA,NA,NA,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,9,0.1,1
"88","PM","mu",10.058878971309,8.41028512746894,11.707472815149,TRUE,0,NA,NA,NA,NA,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,9,0.1,1
"89","GaussGauss","tau",2.06077848682882,0.999438565309314,4.07500955243105,TRUE,0,1698.0665870197,0,0,0.840644477270905,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,9,0.1,1
"90","GaussGauss","mu",10.0132973968757,7.73899160592209,12.0203487462586,TRUE,0,1698.0665870197,0,0,0.840644477270905,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,9,0.1,1
"91","DL","tau",0.628665024475427,0.143990515304612,2.38478182282002,TRUE,0,NA,NA,NA,NA,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,10,0.1,1
"92","SJ","tau",0.710751388943217,0.143990515304612,2.38478182282002,TRUE,0,NA,NA,NA,NA,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,10,0.1,1
"93","REML","tau",0.70555121126643,0.143990515304612,2.38478182282002,TRUE,0,NA,NA,NA,NA,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,10,0.1,1
"94","PM","tau",0.690013615830437,0.143991458235192,2.38478315055692,TRUE,0,NA,NA,NA,NA,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,10,0.1,1
"95","DL","mu",10.3937306741338,9.69274874089672,11.0947126073709,TRUE,0,NA,NA,NA,NA,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,10,0.1,1
"96","SJ","mu",10.4012582315388,9.63866301437167,11.163853448706,TRUE,0,NA,NA,NA,NA,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,10,0.1,1
"97","REML","mu",10.4008127242229,9.64215350003957,11.1594719484062,TRUE,0,NA,NA,NA,NA,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,10,0.1,1
"98","PM","mu",10.3994563453345,9.65253163530074,11.1463810553683,TRUE,0,NA,NA,NA,NA,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,10,0.1,1
"99","GaussGauss","tau",0.951569810217384,0.121671735350757,2.45393609593557,TRUE,0,1252.66669784643,0,0,0.629927047249097,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,10,0.1,1
"100","GaussGauss","mu",10.414136396954,9.28685207353926,11.5956224534048,TRUE,0,1252.66669784643,0,0,0.629927047249097,1,"normal",5,10,1,5000,NA,NA,2,17,0.99,10,0.1,1
