"","method","parameter","estimate","ci.lb","ci.ub","inInt","bad.rhat","min.neff","num.Divergent","tree.Depth.Ex","min.bfmi","rsession","simulation","N","mu","tau","num.iters","alpha","nu","tdf","maxtree","adaptDelta","Iteration","lb","ub"
"67","REML","mu",9.43243986860509,8.48962805314581,10.3752516840644,TRUE,0,NA,NA,NA,NA,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,7,0.1,1
"68","PM","mu",9.43550203051963,8.45419598736532,10.4168080736739,TRUE,0,NA,NA,NA,NA,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,7,0.1,1
"69","GaussGauss","tau",1.63345017259039,0.877596720990435,2.9181768025082,TRUE,0,1109.03189505232,0,0,0.661936435034641,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,7,0.1,1
"70","GaussGauss","mu",9.43967149202648,8.31844784699855,10.599637713024,TRUE,0,1109.03189505232,0,0,0.661936435034641,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,7,0.1,1
"71","DL","tau",1.09755212987448,0.439527264701009,1.63467884263289,TRUE,0,NA,NA,NA,NA,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,8,0.1,1
"72","SJ","tau",0.806181478354519,0.439527264701009,1.63467884263289,TRUE,0,NA,NA,NA,NA,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,8,0.1,1
"73","REML","tau",0.833553062190698,0.439527264701009,1.63467884263289,TRUE,0,NA,NA,NA,NA,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,8,0.1,1
"74","PM","tau",0.772100332120606,0.439554626282154,1.63468268649749,TRUE,0,NA,NA,NA,NA,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,8,0.1,1
"75","DL","mu",9.49989384820672,8.71813424536371,10.2816534510497,TRUE,0,NA,NA,NA,NA,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,8,0.1,1
"76","SJ","mu",9.58288613704229,8.96485116505159,10.200921109033,TRUE,0,NA,NA,NA,NA,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,8,0.1,1
