,Timestamp + left,Timestamp + right,Timestamp - left,Timestamp - right,probe frequency,splitting,density + servo shift,Z2 shift,Z2 shift uncertainty
1706,1740775854.488604,1740775857.642071,1740775852.903139,1740775856.053082,-235611461.84586793,-44.795035898685455,-0.051203852319182314,-0.24661641283788427,0.00028555981077610344
1707,1740775860.813464,1740775863.977266,1740775859.228459,1740775862.399113,-235611461.88491604,-44.76156675815582,-0.036815306968780055,-0.24560830614551032,0.00028441148010191654
1708,1740775867.156806,1740775870.331354,1740775865.564504,1740775868.733468,-235611461.91176072,-44.785768270492554,0.0005146852032066567,-0.24544322456519563,0.0002842234361461569
1709,1740775873.496597,1740775876.656302,1740775871.892328,1740775875.057163,-235611461.91215974,-44.76691007614136,0.010611656819841572,-0.24527587347066507,0.0002840328069566264
1710,1740775879.81236,1740775882.985927,1740775878.228122,1740775881.397471,-235611461.8936646,-44.714731603860855,-4.214484954502526e-05,-0.24499852760339397,0.0002837168829307595
1711,1740775886.150057,1740775889.317532,1740775884.565138,1740775887.736332,-235611461.88533142,-44.70409470796585,0.012447702912122603,-0.2460632537329374,0.00028492970941182476
1712,1740775892.490961,1740775895.656734,1740775890.905856,1740775894.074213,-235611461.8731205,-44.76368314027786,-0.02367690282356905,-0.24553819313430372,0.00028433161457585627
1713,1740775898.837861,1740775901.994989,1740775897.230683,1740775900.411701,-235611461.87425163,-44.75079280138016,0.022653412026163087,-0.24618051022208878,0.00028506327585148044
1714,1740775905.16072,1740775908.322466,1740775903.557341,1740775906.746238,-235611461.87539488,-44.781650215387344,0.03823587929516938,-0.24497792651590042,0.0002836934162763339
1715,1740775911.501433,1740775914.661907,1740775909.892847,1740775913.072034,-235611461.847993,-44.76884227991104,-0.018771466893126712,-0.24563837906127792,0.00028444573607035666
1716,1740775917.840939,1740775920.998938,1740775916.232015,1740775919.401612,-235611461.84020764,-44.715762823820114,-0.028666847545984923,-0.2459075424107114,0.0002847523391841172
1717,1740775924.177592,1740775927.33342,1740775922.562716,1740775925.734372,-235611461.8529288,-44.739065408706665,-0.04636604479995051,-0.24596543359762454,0.0002848182828382782
1718,1740775930.508717,1740775933.675904,1740775928.911951,1740775932.066844,-235611461.88937837,-44.77951601147652,-0.02261819233225418,-0.24462926466642798,0.0002832962562286692
1719,1740775936.826672,1740775939.992209,1740775935.233121,1740775938.414343,-235611461.9055602,-44.741369783878326,0.01937447316392247,-0.24530517819001396,0.00028406618788766097
1720,1740775943.15977,1740775946.347219,1740775941.571883,1740775944.741748,-235611461.89768034,-44.69357618689537,-0.021354202059101546,-0.24521658187286288,0.0002839652680453968
1721,1740775949.513825,1740775952.664645,1740775947.921024,1740775951.089362,-235611461.89298487,-44.70861265063286,-0.01764811092043209,-0.2445108458259421,0.00028316136551662406
1722,1740775955.840143,1740775958.999774,1740775954.240932,1740775957.406624,-235611461.91714472,-44.69040432572365,0.05769429335786639,-0.245976103002155,0.0002848304363202202
1723,1740775962.178439,1740775965.34965,1740775960.56729,1740775963.754006,-235611461.8951529,-44.729374289512634,-0.011886643265088735,-0.24575808215513775,0.000284582089494919
1724,1740775968.499746,1740775971.682731,1740775966.912828,1740775970.07445,-235611461.86987177,-44.733431339263916,-0.07204988317136302,-0.24538935189187303,0.00028416206993036913
1725,1740775974.837699,1740775978.007583,1740775973.252205,1740775976.417927,-235611461.90130955,-44.75713935494423,0.0011711133149443652,-0.24498491845507758,0.0002837013807792653
1726,1740775981.183809,1740775984.348547,1740775979.57564,1740775982.752271,-235611461.94067028,-44.72925668954849,0.05538426681866793,-0.2453416100650613,0.00028410768734198657
1727,1740775987.50658,1740775990.667844,1740775985.904149,1740775989.08063,-235611461.91746432,-44.73418715596199,0.02186814871757508,-0.2453800052710833,0.000284151423219637
1728,1740775993.856032,1740775997.006826,1740775992.248265,1740775995.416723,-235611461.92090303,-44.710626631975174,0.034906145310292215,-0.24566385880865532,0.0002844747599734865
1729,1740776000.169491,1740776003.347191,1740775998.584994,1740776001.758104,-235611461.87919074,-44.752487391233444,0.0004445580282741203,-0.24559820640241525,0.00028439997551448615
1730,1740776006.510527,1740776009.679692,1740776004.909646,1740776008.077985,-235611461.86103588,-44.75902405381203,-0.040265898941626965,-0.24540831556072626,0.00028418367139446376
1731,1740776012.855542,1740776016.012478,1740776011.259351,1740776014.419394,-235611461.9002386,-44.7506685256958,0.060730259691282346,-0.2452828804515143,0.00028404078859073535
1732,1740776019.180871,1740776022.356974,1740776017.597353,1740776020.750461,-235611461.8681311,-44.733547389507294,-0.005131716023283079,-0.24554944632676987,0.0002843444330549264
1733,1740776025.506663,1740776028.683048,1740776023.930372,1740776027.099328,-235611461.8498193,-44.73232886195183,-0.018305521018345667,-0.24525534888635522,0.0002840094274543363
1734,1740776031.851465,1740776035.023113,1740776030.244966,1740776033.417763,-235611461.85004735,-44.71680372953415,-0.03095870505115276,-0.2462163374468412,0.0002851040865091061
1735,1740776038.181832,1740776041.360946,1740776036.578747,1740776039.748399,-235611461.86989415,-44.73395490646362,0.05475753918414473,-0.24629042888417543,0.00028518848378276186
1736,1740776044.5245,1740776047.679884,1740776042.91921,1740776046.092501,-235611461.8516832,-44.807819575071335,0.03512336157732432,-0.2449425281903974,0.00028365309411862666
1737,1740776050.852086,1740776054.015183,1740776049.257887,1740776052.436546,-235611461.82273707,-44.777701020240784,0.0026582913133317075,-0.24589567158699716,0.00028473881716864757
1738,1740776057.186029,1740776060.353766,1740776055.597664,1740776058.753607,-235611461.81702465,-44.740320056676865,-0.036073113707181935,-0.2455258982711825,0.0002843176095325582
1739,1740776063.521644,1740776066.684792,1740776061.91514,1740776065.104037,-235611461.83720168,-44.751790046691895,0.010076535071910576,-0.24605544604527216,0.00028492081570260906
1740,1740776069.854019,1740776073.029959,1740776068.265735,1740776071.434167,-235611461.84414077,-44.77326864004135,0.006406974404521927,-0.24620776128250607,0.0002850943174325623
1741,1740776076.193649,1740776079.362509,1740776074.60549,1740776077.755877,-235611461.85267586,-44.794569820165634,-0.014527668200085875,-0.24535334726944566,0.00028412105716067005
1742,1740776082.536148,1740776085.681366,1740776080.937749,1740776084.100799,-235611461.84260547,-44.782822132110596,-0.04582269249734968,-0.24556661246190284,0.0002843639869496072
1743,1740776088.867556,1740776092.038844,1740776087.25894,1740776090.423088,-235611461.84922612,-44.747596859931946,0.01524965755160489,-0.24558659134831862,0.0002843867448406186
1744,1740776095.192728,1740776098.371946,1740776093.606624,1740776096.771355,-235611461.86278892,-44.732395231723785,0.009277462403083098,-0.24583323801019594,0.0002846676992877222
1745,1740776101.521533,1740776104.694239,1740776099.941646,1740776103.106931,-235611461.85746282,-44.7733616232872,0.05176795228125677,-0.24516052884376974,0.0002839014181754419
1746,1740776107.855455,1740776111.032749,1740776106.256635,1740776109.435005,-235611461.84222424,-44.74357423186302,-0.007752633763705616,-0.2456252109133186,0.000284430736272532
1747,1740776114.18672,1740776117.368492,1740776112.602994,1740776115.769094,-235611461.8079335,-44.708420276641846,-0.08076729282817571,-0.2461724849309532,0.0002850541342721544
1748,1740776120.524977,1740776123.707687,1740776118.927222,1740776122.098012,-235611461.86185676,-44.763944298028946,-0.026118573070806273,-0.24633678820139632,0.0002852412915005375
1749,1740776126.865361,1740776130.027855,1740776125.261563,1740776128.437548,-235611461.8880729,-44.82061341404915,0.025342244097035876,-0.24640062391323206,0.0002853140065068042
1750,1740776133.195744,1740776136.355205,1740776131.61088,1740776134.766331,-235611461.88066083,-44.81505197286606,-0.0014532227421205875,-0.24509697985313136,0.00028382902966878895
1751,1740776139.535401,1740776142.710889,1740776137.934206,1740776141.116121,-235611461.86208433,-44.78565952181816,0.006185559131328648,-0.24525469467258898,0.0002840086822410739
1752,1740776145.861609,1740776149.04359,1740776144.271336,1740776147.45072,-235611461.8675384,-44.724980890750885,-0.029127677502727475,-0.24555201407238228,0.00028434735796652156
1753,1740776152.197693,1740776155.369201,1740776150.607903,1740776153.775483,-235611461.86624968,-44.7186344563961,0.017316294894112565,-0.24630580617698358,0.00028520599999744826
1754,1740776158.5411,1740776161.703165,1740776156.949656,1740776160.106933,-235611461.87396616,-44.758373618125916,-0.029198935245330043,-0.24530738099544855,0.00028406869709766497
1755,1740776164.873237,1740776168.046436,1740776163.284314,1740776166.437973,-235611461.8830973,-44.773829102516174,0.018840279473055232,-0.24547134057700268,0.000284255463017286
1756,1740776171.201789,1740776174.372768,1740776169.613439,1740776172.78422,-235611461.8682098,-44.739280700683594,-0.01824659312906162,-0.24529427718679297,0.00028405377058283993
1757,1740776177.529855,1740776180.701683,1740776175.94212,1740776179.118572,-235611461.87313908,-44.71194788813591,0.00806758294202526,-0.24633987397553753,0.0002852448064937498
1758,1740776183.874088,1740776187.043292,1740776182.288253,1740776185.457886,-235611461.87302184,-44.772704005241394,-0.00863570337525896,-0.2452089041528246,0.00028395652237330415
1759,1740776190.217321,1740776193.384317,1740776188.625536,1740776191.777334,-235611461.892761,-44.76287513971329,0.0009386598453713957,-0.24557431962657084,0.00028437276615837353
1760,1740776196.548902,1740776199.700882,1740776194.955871,1740776198.121918,-235611461.87906617,-44.753235310316086,-0.051557436321056624,-0.24559440477029526,0.00028439564508656907
1761,1740776202.867918,1740776206.046303,1740776201.281348,1740776204.462814,-235611461.8978807,-44.74281758069992,-0.06879084010338976,-0.2455173017914609,0.0002843078173070589
1762,1740776209.204969,1740776212.37088,1740776207.612731,1740776210.784946,-235611461.93312055,-44.75995847582817,-0.052101851559062516,-0.24562385037165674,0.00028442918648359473
1763,1740776215.548466,1740776218.70878,1740776213.948617,1740776217.11836,-235611461.95377773,-44.73777461051941,0.004025794317839231,-0.24544404761621882,0.00028422437368131123
1764,1740776221.877801,1740776225.054448,1740776220.279745,1740776223.453486,-235611461.94559985,-44.76183059811592,0.005940208679325441,-0.24550382983477118,0.00028429247143947427
1765,1740776228.21143,1740776231.384526,1740776226.619874,1740776229.788333,-235611461.95830417,-44.75525039434433,0.058542836669585756,-0.2454192544173543,0.00028419613181635944
1766,1740776234.551177,1740776237.710124,1740776232.949322,1740776236.123783,-235611461.9230091,-44.731887727975845,0.0332530895522707,-0.24540772960575982,0.0002841830039347474
1767,1740776240.881179,1740776244.050651,1740776239.284724,1740776242.469442,-235611461.9092853,-44.716818392276764,0.035445588042777434,-0.2457437286857438,0.0002845657395032493
1768,1740776247.224675,1740776250.387048,1740776245.633883,1740776248.802914,-235611461.8963226,-44.73631510138512,0.011776976381502921,-0.24572658733796632,0.00028454621384776073
1769,1740776253.558356,1740776256.715784,1740776251.964413,1740776255.118397,-235611461.87705818,-44.75159287452698,-0.014974768748573725,-0.24490042127253497,0.00028360513021539145
