# Readme Information 
# Data taken on 240426, analyzed on 30-Apr-2024 by  SaveShifts_forTara_v3_240429.m.
# Gravitational Redshift Corrected to Marker on floor of 1G104 labeled 811G104 
# Frhy778 zers.
# v_yb_ideal=2*v_comb+f_shift 
# f_shift includes: Blackbody radation based on real time temperature measurement (avg shift = -1.2130), 2nd order zeeman based on real time B field measurement by atoms (avg shift = -0.0620), background gas collisions (avg shift = -0.0016), lattice AC stark shift (avg shift = -0.0007), probe AC stark shift (avg shift = 0.0000), graviational red shift (avg shift = 0.0803), and AOMs between atoms and combs (shift of 63000000)
# Run Duration 1.234323e+04 s, uptime fraction 9.346147e-01. 
 t_mjd	   f_shift[Hz]  	IS_GOOD
   6.0426718497809998e+04	   6.3000001181236580e+07	   0.0000000000000000e+00	
   6.0426718516399997e+04	   6.3000001181184478e+07	   0.0000000000000000e+00	
   6.0426718535009997e+04	   6.3000001181146674e+07	   0.0000000000000000e+00	
   6.0426718553619998e+04	   6.3000001181119196e+07	   0.0000000000000000e+00	
   6.0426718572250000e+04	   6.3000001181095116e+07	   0.0000000000000000e+00	
   6.0426718590800003e+04	   6.3000001181397267e+07	   0.0000000000000000e+00	
   6.0426718609399999e+04	   6.3000001181369781e+07	   0.0000000000000000e+00	
   6.0426718628010000e+04	   6.3000001181370527e+07	   0.0000000000000000e+00	
   6.0426718646599998e+04	   6.3000001181413598e+07	   0.0000000000000000e+00	
   6.0426718665189997e+04	   6.3000001181446359e+07	   0.0000000000000000e+00	
   6.0426718683780004e+04	   6.3000001181479581e+07	   0.0000000000000000e+00	
   6.0426718702400001e+04	   6.3000001181502335e+07	   0.0000000000000000e+00	
   6.0426718720999997e+04	   6.3000001181494378e+07	   0.0000000000000000e+00	
   6.0426718739589996e+04	   6.3000001181487039e+07	   0.0000000000000000e+00	
   6.0426718758180003e+04	   6.3000001181508794e+07	   0.0000000000000000e+00	
   6.0426718776790003e+04	   6.3000001181506388e+07	   0.0000000000000000e+00	
   6.0426718795389999e+04	   6.3000001181488447e+07	   0.0000000000000000e+00	
   6.0426718813979998e+04	   6.3000001181461468e+07	   0.0000000000000000e+00	
   6.0426718832580002e+04	   6.3000001181449182e+07	   0.0000000000000000e+00	
   6.0426718851179998e+04	   6.3000001181420900e+07	   0.0000000000000000e+00	
   6.0426718869789998e+04	   6.3000001181434631e+07	   0.0000000000000000e+00	
   6.0426718888379997e+04	   6.3000001181430042e+07	   0.0000000000000000e+00	
   6.0426718906980001e+04	   6.3000001181442112e+07	   0.0000000000000000e+00	
   6.0426718925579997e+04	   6.3000001181459382e+07	   0.0000000000000000e+00	
   6.0426718944170003e+04	   6.3000001181524828e+07	   0.0000000000000000e+00	
   6.0426718962780003e+04	   6.3000001181583025e+07	   0.0000000000000000e+00	
   6.0426718981359998e+04	   6.3000001181623399e+07	   0.0000000000000000e+00	
   6.0426718999969999e+04	   6.3000001181633994e+07	   0.0000000000000000e+00	
   6.0426719018559997e+04	   6.3000001181608163e+07	   0.0000000000000000e+00	
   6.0426719037169998e+04	   6.3000001181597874e+07	   0.0000000000000000e+00	
   6.0426719055779999e+04	   6.3000001181607649e+07	   0.0000000000000000e+00	
   6.0426719074369998e+04	   6.3000001181607455e+07	   0.0000000000000000e+00	
   6.0426719092959996e+04	   6.3000001181563742e+07	   0.0000000000000000e+00	
   6.0426719111550003e+04	   6.3000001181530476e+07	   0.0000000000000000e+00	
   6.0426719130160003e+04	   6.3000001181489371e+07	   0.0000000000000000e+00	
   6.0426719148759999e+04	   6.3000001181449227e+07	   0.0000000000000000e+00	
   6.0426719167370000e+04	   6.3000001181420244e+07	   0.0000000000000000e+00	
   6.0426719185959999e+04	   6.3000001181384936e+07	   0.0000000000000000e+00	
   6.0426719204560002e+04	   6.3000001181338258e+07	   0.0000000000000000e+00	
   6.0426719223150001e+04	   6.3000001181335971e+07	   0.0000000000000000e+00	
   6.0426719241740000e+04	   6.3000001181344554e+07	   0.0000000000000000e+00	
   6.0426719260359998e+04	   6.3000001181371674e+07	   0.0000000000000000e+00	
   6.0426719278960001e+04	   6.3000001181398690e+07	   0.0000000000000000e+00	
   6.0426719297550000e+04	   6.3000001181448728e+07	   0.0000000000000000e+00	
   6.0426719316139999e+04	   6.3000001181495741e+07	   0.0000000000000000e+00	
   6.0426719334750000e+04	   6.3000001181545720e+07	   0.0000000000000000e+00	
   6.0426719353350003e+04	   6.3000001181560345e+07	   0.0000000000000000e+00	
   6.0426719371940002e+04	   6.3000001181543618e+07	   0.0000000000000000e+00	
   6.0426719390550003e+04	   6.3000001181489475e+07	   0.0000000000000000e+00	
