#Frequency shifts file for ErYb measurement of Al+ frequency
#  Data recorded on 04-26-2024, analyzed on 04-26-2024.
#
#  All shifts are in Hz as referenced to the Al+ resonance near 267.4 nm.
#
#  To calculate the clock frequency use: f_atom = (M/N)*f_comb + f_shift.
#    - Here, M = 4, N = 1, f_comb is the frequency measured at the comb and f_shift is given in the data columns.
#    - Frequencies are not corrected for maser offsets.
#    - Data taken using maser ST008 to reference all synthesizers.
#
#  Static shifts are compiled in static_shifts_MgAl.m for reference.
#
#  First 120 seconds and last 60 seconds of lock times removed.
#
#  Gravitational redshift of the atoms with respect to geodetic marker 1H116 included.
#
#  Total lock duration: 17040.856 s
#
#  2nd-order Zeeman shifts calculated based on real-time B-field calibration.
#  - Delta_ZS2 = -0.7365+/-0.00025 Hz
#
t_mjd	f_shift[Hz]	IS_GOOD
60426.7027119	204500000.589377	1
60426.7027697	204500000.589410	1
60426.7028252	204500000.589375	1
60426.7028823	204500000.589413	1
60426.7029412	204500000.589445	1
60426.7029953	204500000.589424	1
60426.7030536	204500000.589429	1
60426.7031138	204500000.589397	1
60426.7031671	204500000.589399	1
60426.7032312	204500000.589444	1
60426.7032958	204500000.589429	1
60426.7033520	204500000.589394	1
60426.7034116	204500000.589374	1
60426.7034740	204500000.589370	1
60426.7035391	204500000.589350	1
60426.7036007	204500000.589327	1
60426.7036562	204500000.589342	1
60426.7037105	204500000.589312	1
60426.7037661	204500000.589292	1
60426.7038210	204500000.589287	1
60426.7038816	204500000.589266	1
60426.7039477	204500000.589251	1
60426.7040028	204500000.589254	1
60426.7040632	204500000.589292	1
60426.7041238	204500000.589342	1
60426.7041803	204500000.589360	1
60426.7042330	204500000.589339	1
60426.7042883	204500000.589377	1
60426.7043413	204500000.589422	1
60426.7043966	204500000.589395	1
60426.7044521	204500000.589329	1
60426.7045063	204500000.589278	1
60426.7045628	204500000.589336	1
60426.7046160	204500000.589377	1
60426.7046691	204500000.589415	1
60426.7047277	204500000.589358	1
60426.7047878	204500000.589354	1
60426.7048488	204500000.589322	1
60426.7049050	204500000.589296	1
60426.7049641	204500000.589321	1
60426.7050187	204500000.589345	1
60426.7050759	204500000.589303	1
60426.7051316	204500000.589307	1
60426.7051906	204500000.589286	1
60426.7052481	204500000.589298	1
60426.7053110	204500000.589315	1
60426.7053775	204500000.589296	1
60426.7054367	204500000.589295	1
60426.7055073	204500000.589291	1
60426.7055672	204500000.589275	1
60426.7056323	204500000.589270	1
60426.7056949	204500000.589299	1
60426.7057602	204500000.589246	1
60426.7058159	204500000.589246	1
60426.7058719	204500000.589236	1
60426.7059338	204500000.589260	1
60426.7059964	204500000.589269	1
60426.7060528	204500000.589311	1
60426.7061074	204500000.589387	1
60426.7061687	204500000.589393	1
60426.7062251	204500000.589366	1
60426.7062786	204500000.589328	1
60426.7063400	204500000.589311	1
60426.7063966	204500000.589309	1
60426.7064486	204500000.589329	1
60426.7065070	204500000.589314	1
60426.7065721	204500000.589283	1
60426.7066329	204500000.589277	1
60426.7066898	204500000.589263	1
60426.7067507	204500000.589256	1
60426.7068090	204500000.589283	1
60426.7068658	204500000.589315	1
60426.7069236	204500000.589308	1
60426.7069780	204500000.589298	1
60426.7070310	204500000.589340	1
60426.7070901	204500000.589378	1
60426.7071573	204500000.589359	1
60426.7072280	204500000.589371	1
60426.7072921	204500000.589399	1
60426.7073546	204500000.589365	1
60426.7074126	204500000.589372	1
60426.7074728	204500000.589338	1
60426.7075300	204500000.589353	1
